County,State,State_FIPS,County_FIPS,housing_cost_burden
Autauga County,Alabama,01,001,589
Baldwin County,Alabama,01,003,1729
Barbour County,Alabama,01,005,154
Bibb County,Alabama,01,007,109
Blount County,Alabama,01,009,198
Bullock County,Alabama,01,011,71
Butler County,Alabama,01,013,112
Calhoun County,Alabama,01,015,982
Chambers County,Alabama,01,017,422
Cherokee County,Alabama,01,019,214
Chilton County,Alabama,01,021,321
Choctaw County,Alabama,01,023,69
Clarke County,Alabama,01,025,300
Clay County,Alabama,01,027,64
Cleburne County,Alabama,01,029,77
Coffee County,Alabama,01,031,410
Colbert County,Alabama,01,033,433
Conecuh County,Alabama,01,035,98
Coosa County,Alabama,01,037,5
Covington County,Alabama,01,039,322
Crenshaw County,Alabama,01,041,88
Cullman County,Alabama,01,043,611
Dale County,Alabama,01,045,697
Dallas County,Alabama,01,047,558
DeKalb County,Alabama,01,049,463
Elmore County,Alabama,01,051,581
Escambia County,Alabama,01,053,190
Etowah County,Alabama,01,055,877
Fayette County,Alabama,01,057,154
Franklin County,Alabama,01,059,233
Geneva County,Alabama,01,061,251
Greene County,Alabama,01,063,65
Hale County,Alabama,01,065,45
Henry County,Alabama,01,067,47
Houston County,Alabama,01,069,1058
Jackson County,Alabama,01,071,427
Jefferson County,Alabama,01,073,7429
Lamar County,Alabama,01,075,39
Lauderdale County,Alabama,01,077,899
Lawrence County,Alabama,01,079,140
Lee County,Alabama,01,081,1548
Limestone County,Alabama,01,083,646
Lowndes County,Alabama,01,085,62
Macon County,Alabama,01,087,214
Madison County,Alabama,01,089,2812
Marengo County,Alabama,01,091,179
Marion County,Alabama,01,093,266
Marshall County,Alabama,01,095,614
Mobile County,Alabama,01,097,4248
Monroe County,Alabama,01,099,154
Montgomery County,Alabama,01,101,2937
Morgan County,Alabama,01,103,954
Perry County,Alabama,01,105,99
Pickens County,Alabama,01,107,166
Pike County,Alabama,01,109,368
Randolph County,Alabama,01,111,158
Russell County,Alabama,01,113,919
Saint Clair County,Alabama,01,115,357
Shelby County,Alabama,01,117,1249
Sumter County,Alabama,01,119,108
Talladega County,Alabama,01,121,821
Tallapoosa County,Alabama,01,123,396
Tuscaloosa County,Alabama,01,125,1733
Walker County,Alabama,01,127,406
Washington County,Alabama,01,129,52
Wilcox County,Alabama,01,131,115
Winston County,Alabama,01,133,117
Anchorage Municipality,Alaska,02,020,4182
Bethel Census Area,Alaska,02,050,73
Bristol Bay Borough,Alaska,02,060,14
Fairbanks North Star Borough,Alaska,02,090,1357
Haines Borough,Alaska,02,100,30
Juneau City and Borough,Alaska,02,110,476
Kenai Peninsula Borough,Alaska,02,122,306
Kodiak Island Borough,Alaska,02,150,132
Matanuska-Susitna Borough,Alaska,02,170,532
Nome Census Area,Alaska,02,180,80
North Slope Borough,Alaska,02,185,12
Sitka City and Borough,Alaska,02,220,75
Southeast Fairbanks Census Area,Alaska,02,240,38
Valdez-Cordova Census Area,Alaska,02,261,60
Wade Hampton Census Area,Alaska,02,270,15
Northwest Arctic Borough,Alaska,02,188,24
Aleutians East Borough,Alaska,02,013,6
Aleutians West Census Area,Alaska,02,016,40
Dillingham Census Area,Alaska,02,070,38
Lake and Peninsula Borough,Alaska,02,164,3
Denali Borough,Alaska,02,068,10
Yukon-Koyukuk Census Area,Alaska,02,290,24
Hoonah-Angoon Census Area,Alaska,02,105,19
