County,State,State_FIPS,County_FIPS,median_gross_rent
Autauga County,Alabama,01,001,876.0
Baldwin County,Alabama,01,003,882.0
Barbour County,Alabama,01,005,608.0
Bibb County,Alabama,01,007,610.0
Blount County,Alabama,01,009,609.0
Bullock County,Alabama,01,011,570.0
Butler County,Alabama,01,013,581.0
Calhoun County,Alabama,01,015,634.0
Chambers County,Alabama,01,017,664.0
Cherokee County,Alabama,01,019,619.0
Chilton County,Alabama,01,021,629.0
Choctaw County,Alabama,01,023,573.0
Clarke County,Alabama,01,025,557.0
Clay County,Alabama,01,027,451.0
Cleburne County,Alabama,01,029,604.0
Coffee County,Alabama,01,031,676.0
Colbert County,Alabama,01,033,655.0
Conecuh County,Alabama,01,035,521.0
Coosa County,Alabama,01,037,612.0
Covington County,Alabama,01,039,585.0
Crenshaw County,Alabama,01,041,507.0
Cullman County,Alabama,01,043,621.0
Dale County,Alabama,01,045,621.0
Dallas County,Alabama,01,047,564.0
DeKalb County,Alabama,01,049,528.0
Elmore County,Alabama,01,051,792.0
Escambia County,Alabama,01,053,579.0
Etowah County,Alabama,01,055,627.0
Fayette County,Alabama,01,057,474.0
Franklin County,Alabama,01,059,546.0
Geneva County,Alabama,01,061,572.0
Greene County,Alabama,01,063,434.0
Hale County,Alabama,01,065,442.0
Henry County,Alabama,01,067,570.0
Houston County,Alabama,01,069,682.0
Jackson County,Alabama,01,071,550.0
Jefferson County,Alabama,01,073,811.0
Lamar County,Alabama,01,075,473.0
Lauderdale County,Alabama,01,077,587.0
Lawrence County,Alabama,01,079,564.0
Lee County,Alabama,01,081,777.0
Limestone County,Alabama,01,083,626.0
Lowndes County,Alabama,01,085,566.0
Macon County,Alabama,01,087,595.0
Madison County,Alabama,01,089,751.0
Marengo County,Alabama,01,091,517.0
Marion County,Alabama,01,093,482.0
Marshall County,Alabama,01,095,593.0
Mobile County,Alabama,01,097,773.0
Monroe County,Alabama,01,099,529.0
Montgomery County,Alabama,01,101,816.0
Morgan County,Alabama,01,103,609.0
Perry County,Alabama,01,105,478.0
Pickens County,Alabama,01,107,454.0
Pike County,Alabama,01,109,592.0
Randolph County,Alabama,01,111,633.0
Russell County,Alabama,01,113,724.0
Saint Clair County,Alabama,01,115,732.0
Shelby County,Alabama,01,117,948.0
Sumter County,Alabama,01,119,569.0
Talladega County,Alabama,01,121,599.0
Tallapoosa County,Alabama,01,123,581.0
Tuscaloosa County,Alabama,01,125,782.0
Walker County,Alabama,01,127,598.0
Washington County,Alabama,01,129,579.0
Wilcox County,Alabama,01,131,470.0
Winston County,Alabama,01,133,499.0
Anchorage Municipality,Alaska,02,020,1172.0
Bethel Census Area,Alaska,02,050,1212.0
Bristol Bay Borough,Alaska,02,060,1043.0
Fairbanks North Star Borough,Alaska,02,090,1221.0
Haines Borough,Alaska,02,100,824.0
Juneau City and Borough,Alaska,02,110,1169.0
Kenai Peninsula Borough,Alaska,02,122,938.0
Kodiak Island Borough,Alaska,02,150,972.0
Matanuska-Susitna Borough,Alaska,02,170,1073.0
Nome Census Area,Alaska,02,180,1168.0
North Slope Borough,Alaska,02,185,1109.0
Sitka City and Borough,Alaska,02,220,1101.0
Southeast Fairbanks Census Area,Alaska,02,240,1165.0
Valdez-Cordova Census Area,Alaska,02,261,861.0
Wade Hampton Census Area,Alaska,02,270,711.0
Northwest Arctic Borough,Alaska,02,188,1126.0
Aleutians East Borough,Alaska,02,013,922.0
Aleutians West Census Area,Alaska,02,016,1272.0
Dillingham Census Area,Alaska,02,070,997.0
Lake and Peninsula Borough,Alaska,02,164,710.0
Denali Borough,Alaska,02,068,1200.0
Yukon-Koyukuk Census Area,Alaska,02,290,658.0
Hoonah-Angoon Census Area,Alaska,02,105,731.0
Skagway Municipality,Alaska,02,230,1038.0
Yakutat City and Borough,Alaska,02,282,1000.0
Ketchikan Gateway Borough,Alaska,02,130,1054.0
Petersburg Borough,Alaska,02,195,898.0
Prince of Wales-Hyder Census Area,Alaska,02,198,789.0
Wrangell City and Borough,Alaska,02,275,692.0
Apache County,Arizona,04,001,539.0
Cochise County,Arizona,04,003,792.0
Coconino County,Arizona,04,005,990.0
Gila County,Arizona,04,007,735.0
Graham County,Arizona,04,009,732.0
Greenlee County,Arizona,04,011,415.0
Maricopa County,Arizona,04,013,952.0
Mohave County,Arizona,04,015,799.0
Navajo County,Arizona,04,017,667.0
Pima County,Arizona,04,019,813.0
Pinal County,Arizona,04,021,979.0
Santa Cruz County,Arizona,04,023,616.0
Yavapai County,Arizona,04,025,850.0
La Paz County,Arizona,04,012,588.0
Yuma County,Arizona,04,027,847.0
Arkansas County,Arkansas,05,001,639.0
Ashley County,Arkansas,05,003,577.0
Baxter County,Arkansas,05,005,611.0
Benton County,Arkansas,05,007,787.0
Boone County,Arkansas,05,009,596.0
Bradley County,Arkansas,05,011,611.0
Calhoun County,Arkansas,05,013,598.0
Carroll County,Arkansas,05,015,638.0
Chicot County,Arkansas,05,017,566.0
Clark County,Arkansas,05,019,604.0
Clay County,Arkansas,05,021,513.0
Cleburne County,Arkansas,05,023,650.0
Cleveland County,Arkansas,05,025,644.0
Columbia County,Arkansas,05,027,604.0
Conway County,Arkansas,05,029,628.0
Craighead County,Arkansas,05,031,670.0
Crawford County,Arkansas,05,033,615.0
Crittenden County,Arkansas,05,035,681.0
Cross County,Arkansas,05,037,644.0
Dallas County,Arkansas,05,039,504.0
Desha County,Arkansas,05,041,551.0
Drew County,Arkansas,05,043,600.0
Faulkner County,Arkansas,05,045,726.0
Franklin County,Arkansas,05,047,568.0
Fulton County,Arkansas,05,049,493.0
Garland County,Arkansas,05,051,709.0
Grant County,Arkansas,05,053,700.0
Greene County,Arkansas,05,055,662.0
Hempstead County,Arkansas,05,057,571.0
Hot Spring County,Arkansas,05,059,677.0
Howard County,Arkansas,05,061,553.0
Independence County,Arkansas,05,063,590.0
Izard County,Arkansas,05,065,547.0
Jackson County,Arkansas,05,067,537.0
