County,State,State_FIPS,County_FIPS,median_home_value
Autauga County,Alabama,01,001,136200
Baldwin County,Alabama,01,003,168600
Barbour County,Alabama,01,005,89200
Bibb County,Alabama,01,007,90500
Blount County,Alabama,01,009,117100
Bullock County,Alabama,01,011,70600
Butler County,Alabama,01,013,74700
Calhoun County,Alabama,01,015,100600
Chambers County,Alabama,01,017,81200
Cherokee County,Alabama,01,019,99400
Chilton County,Alabama,01,021,102600
Choctaw County,Alabama,01,023,58200
Clarke County,Alabama,01,025,85600
Clay County,Alabama,01,027,79900
Cleburne County,Alabama,01,029,100800
Coffee County,Alabama,01,031,131000
Colbert County,Alabama,01,033,99300
Conecuh County,Alabama,01,035,69600
Coosa County,Alabama,01,037,75100
Covington County,Alabama,01,039,88800
Crenshaw County,Alabama,01,041,70800
Cullman County,Alabama,01,043,106100
Dale County,Alabama,01,045,99400
Dallas County,Alabama,01,047,75700
DeKalb County,Alabama,01,049,93400
Elmore County,Alabama,01,051,144600
Escambia County,Alabama,01,053,84100
Etowah County,Alabama,01,055,100000
Fayette County,Alabama,01,057,71400
Franklin County,Alabama,01,059,82300
Geneva County,Alabama,01,061,78100
Greene County,Alabama,01,063,72700
Hale County,Alabama,01,065,79900
Henry County,Alabama,01,067,97000
Houston County,Alabama,01,069,122300
Jackson County,Alabama,01,071,93400
Jefferson County,Alabama,01,073,140800
Lamar County,Alabama,01,075,66800
Lauderdale County,Alabama,01,077,114300
Lawrence County,Alabama,01,079,94200
Lee County,Alabama,01,081,146900
Limestone County,Alabama,01,083,134500
Lowndes County,Alabama,01,085,71400
Macon County,Alabama,01,087,75700
Madison County,Alabama,01,089,164500
Marengo County,Alabama,01,091,89600
Marion County,Alabama,01,093,78700
Marshall County,Alabama,01,095,114000
Mobile County,Alabama,01,097,124300
Monroe County,Alabama,01,099,76900
Montgomery County,Alabama,01,101,122900
Morgan County,Alabama,01,103,120500
Perry County,Alabama,01,105,58000
Pickens County,Alabama,01,107,81900
Pike County,Alabama,01,109,101000
Randolph County,Alabama,01,111,88600
Russell County,Alabama,01,113,104400
Saint Clair County,Alabama,01,115,134600
Shelby County,Alabama,01,117,193000
Sumter County,Alabama,01,119,74100
Talladega County,Alabama,01,121,92600
Tallapoosa County,Alabama,01,123,94900
Tuscaloosa County,Alabama,01,125,153300
Walker County,Alabama,01,127,82100
Washington County,Alabama,01,129,83900
Wilcox County,Alabama,01,131,67000
Winston County,Alabama,01,133,82500
Anchorage Municipality,Alaska,02,020,282800
Bethel Census Area,Alaska,02,050,189600
Bristol Bay Borough,Alaska,02,060,175000
Fairbanks North Star Borough,Alaska,02,090,212500
Haines Borough,Alaska,02,100,171900
Juneau City and Borough,Alaska,02,110,309900
Kenai Peninsula Borough,Alaska,02,122,204900
Kodiak Island Borough,Alaska,02,150,224500
Matanuska-Susitna Borough,Alaska,02,170,218900
Nome Census Area,Alaska,02,180,142800
North Slope Borough,Alaska,02,185,154600
Sitka City and Borough,Alaska,02,220,323200
Southeast Fairbanks Census Area,Alaska,02,240,175000
Valdez-Cordova Census Area,Alaska,02,261,177700
Wade Hampton Census Area,Alaska,02,270,109300
Northwest Arctic Borough,Alaska,02,188,131000
Aleutians East Borough,Alaska,02,013,118500
Aleutians West Census Area,Alaska,02,016,218400
Dillingham Census Area,Alaska,02,070,194000
Lake and Peninsula Borough,Alaska,02,164,136400
Denali Borough,Alaska,02,068,192500
Yukon-Koyukuk Census Area,Alaska,02,290,106500
Hoonah-Angoon Census Area,Alaska,02,105,200500
Skagway Municipality,Alaska,02,230,305600
Yakutat City and Borough,Alaska,02,282,147500
Ketchikan Gateway Borough,Alaska,02,130,265600
Petersburg Borough,Alaska,02,195,215100
Prince of Wales-Hyder Census Area,Alaska,02,198,162500
