County,State,State_FIPS,County_FIPS,median_household_income
Autauga County,Alabama,01,001,53899
Baldwin County,Alabama,01,003,51321
Barbour County,Alabama,01,005,34041
Bibb County,Alabama,01,007,40506
Blount County,Alabama,01,009,45404
Bullock County,Alabama,01,011,31955
Butler County,Alabama,01,013,31273
Calhoun County,Alabama,01,015,39467
Chambers County,Alabama,01,017,32186
Cherokee County,Alabama,01,019,37833
Chilton County,Alabama,01,021,40418
Choctaw County,Alabama,01,023,32188
Clarke County,Alabama,01,025,29668
Clay County,Alabama,01,027,35410
Cleburne County,Alabama,01,029,38785
Coffee County,Alabama,01,031,42065
Colbert County,Alabama,01,033,40247
Conecuh County,Alabama,01,035,27977
Coosa County,Alabama,01,037,37191
Covington County,Alabama,01,039,33544
Crenshaw County,Alabama,01,041,38041
Cullman County,Alabama,01,043,38703
Dale County,Alabama,01,045,45491
Dallas County,Alabama,01,047,26909
DeKalb County,Alabama,01,049,36853
Elmore County,Alabama,01,051,54831
Escambia County,Alabama,01,053,31638
Etowah County,Alabama,01,055,37772
Fayette County,Alabama,01,057,33378
Franklin County,Alabama,01,059,35831
Geneva County,Alabama,01,061,35237
Greene County,Alabama,01,063,23004
Hale County,Alabama,01,065,29236
Henry County,Alabama,01,067,39948
Houston County,Alabama,01,069,41766
Jackson County,Alabama,01,071,36383
Jefferson County,Alabama,01,073,45750
Lamar County,Alabama,01,075,34711
Lauderdale County,Alabama,01,077,39702
Lawrence County,Alabama,01,079,40009
Lee County,Alabama,01,081,42320
Limestone County,Alabama,01,083,47199
Lowndes County,Alabama,01,085,27905
Macon County,Alabama,01,087,29355
Madison County,Alabama,01,089,57453
Marengo County,Alabama,01,091,35165
Marion County,Alabama,01,093,31799
Marshall County,Alabama,01,095,38563
Mobile County,Alabama,01,097,42187
Monroe County,Alabama,01,099,29849
Montgomery County,Alabama,01,101,44587
Morgan County,Alabama,01,103,45564
Perry County,Alabama,01,105,27222
Pickens County,Alabama,01,107,29096
Pike County,Alabama,01,109,31179
Randolph County,Alabama,01,111,35823
Russell County,Alabama,01,113,33754
Saint Clair County,Alabama,01,115,49200
Shelby County,Alabama,01,117,68883
Sumter County,Alabama,01,119,21964
Talladega County,Alabama,01,121,36609
Tallapoosa County,Alabama,01,123,39423
Tuscaloosa County,Alabama,01,125,43538
Walker County,Alabama,01,127,37161
Washington County,Alabama,01,129,40286
Wilcox County,Alabama,01,131,23750
Winston County,Alabama,01,133,32557
Anchorage Municipality,Alaska,02,020,75485
Bethel Census Area,Alaska,02,050,52063
Bristol Bay Borough,Alaska,02,060,80000
Fairbanks North Star Borough,Alaska,02,090,68922
Haines Borough,Alaska,02,100,51667
Juneau City and Borough,Alaska,02,110,77465
Kenai Peninsula Borough,Alaska,02,122,59256
Kodiak Island Borough,Alaska,02,150,66326
Matanuska-Susitna Borough,Alaska,02,170,70343
Nome Census Area,Alaska,02,180,52435
North Slope Borough,Alaska,02,185,76667
Sitka City and Borough,Alaska,02,220,69798
Southeast Fairbanks Census Area,Alaska,02,240,59917
Valdez-Cordova Census Area,Alaska,02,261,62238
Wade Hampton Census Area,Alaska,02,270,39583
Northwest Arctic Borough,Alaska,02,188,59893
Aleutians East Borough,Alaska,02,013,57083
Aleutians West Census Area,Alaska,02,016,75179
Dillingham Census Area,Alaska,02,070,57681
Lake and Peninsula Borough,Alaska,02,164,51429
Denali Borough,Alaska,02,068,82898
Yukon-Koyukuk Census Area,Alaska,02,290,35335
