County,State,State_FIPS,County_FIPS,per_capita_income
Autauga County,Alabama,01,001,27824.0
Baldwin County,Alabama,01,003,29364.0
Barbour County,Alabama,01,005,17561.0
Bibb County,Alabama,01,007,20911.0
Blount County,Alabama,01,009,22021.0
Bullock County,Alabama,01,011,20856.0
Butler County,Alabama,01,013,19004.0
Calhoun County,Alabama,01,015,23638.0
Chambers County,Alabama,01,017,22002.0
Cherokee County,Alabama,01,019,23010.0
Chilton County,Alabama,01,021,23368.0
Choctaw County,Alabama,01,023,20994.0
Clarke County,Alabama,01,025,20765.0
Clay County,Alabama,01,027,21330.0
Cleburne County,Alabama,01,029,20873.0
Coffee County,Alabama,01,031,26216.0
Colbert County,Alabama,01,033,23675.0
Conecuh County,Alabama,01,035,16337.0
Coosa County,Alabama,01,037,20342.0
Covington County,Alabama,01,039,22431.0
Crenshaw County,Alabama,01,041,21580.0
Cullman County,Alabama,01,043,21857.0
Dale County,Alabama,01,045,23194.0
Dallas County,Alabama,01,047,18248.0
DeKalb County,Alabama,01,049,20020.0
Elmore County,Alabama,01,051,26251.0
Escambia County,Alabama,01,053,18164.0
Etowah County,Alabama,01,055,22278.0
Fayette County,Alabama,01,057,21191.0
Franklin County,Alabama,01,059,19314.0
Geneva County,Alabama,01,061,21084.0
Greene County,Alabama,01,063,14197.0
Hale County,Alabama,01,065,20269.0
Henry County,Alabama,01,067,23983.0
Houston County,Alabama,01,069,24781.0
Jackson County,Alabama,01,071,20946.0
Jefferson County,Alabama,01,073,29456.0
Lamar County,Alabama,01,075,21152.0
Lauderdale County,Alabama,01,077,25803.0
Lawrence County,Alabama,01,079,22419.0
Lee County,Alabama,01,081,26170.0
Limestone County,Alabama,01,083,26685.0
Lowndes County,Alabama,01,085,18976.0
Macon County,Alabama,01,087,19564.0
Madison County,Alabama,01,089,34232.0
Marengo County,Alabama,01,091,22996.0
Marion County,Alabama,01,093,21835.0
Marshall County,Alabama,01,095,22710.0
Mobile County,Alabama,01,097,24347.0
Monroe County,Alabama,01,099,17264.0
Montgomery County,Alabama,01,101,26712.0
Morgan County,Alabama,01,103,25013.0
Perry County,Alabama,01,105,13449.0
Pickens County,Alabama,01,107,20089.0
Pike County,Alabama,01,109,20808.0
Randolph County,Alabama,01,111,20983.0
Russell County,Alabama,01,113,21279.0
Saint Clair County,Alabama,01,115,24686.0
Shelby County,Alabama,01,117,35330.0
Sumter County,Alabama,01,119,14739.0
Talladega County,Alabama,01,121,21382.0
Tallapoosa County,Alabama,01,123,22430.0
Tuscaloosa County,Alabama,01,125,24895.0
Walker County,Alabama,01,127,21217.0
Washington County,Alabama,01,129,23239.0
Wilcox County,Alabama,01,131,15774.0
Winston County,Alabama,01,133,20580.0
Anchorage Municipality,Alaska,02,020,38977.0
Bethel Census Area,Alaska,02,050,18654.0
Bristol Bay Borough,Alaska,02,060,42002.0
Fairbanks North Star Borough,Alaska,02,090,35328.0
Haines Borough,Alaska,02,100,35907.0
Juneau City and Borough,Alaska,02,110,41904.0
Kenai Peninsula Borough,Alaska,02,122,33336.0
Kodiak Island Borough,Alaska,02,150,32625.0
Matanuska-Susitna Borough,Alaska,02,170,30409.0
Nome Census Area,Alaska,02,180,20952.0
North Slope Borough,Alaska,02,185,48777.0
Sitka City and Borough,Alaska,02,220,36617.0
Southeast Fairbanks Census Area,Alaska,02,240,31051.0
Valdez-Cordova Census Area,Alaska,02,261,37935.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,21879.0
Aleutians East Borough,Alaska,02,013,31254.0
Aleutians West Census Area,Alaska,02,016,35998.0
Dillingham Census Area,Alaska,02,070,24647.0
Lake and Peninsula Borough,Alaska,02,164,23434.0
Denali Borough,Alaska,02,068,33084.0
Yukon-Koyukuk Census Area,Alaska,02,290,21057.0
Hoonah-Angoon Census Area,Alaska,02,105,33704.0
Skagway Municipality,Alaska,02,230,39376.0
Yakutat City and Borough,Alaska,02,282,32393.0
Ketchikan Gateway Borough,Alaska,02,130,33771.0
Petersburg Borough,Alaska,02,195,35044.0
Prince of Wales-Hyder Census Area,Alaska,02,198,26695.0
Wrangell City and Borough,Alaska,02,275,29943.0
Apache County,Arizona,04,001,13865.0
Cochise County,Arizona,04,003,24896.0
Coconino County,Arizona,04,005,25722.0
Gila County,Arizona,04,007,22433.0
Graham County,Arizona,04,009,17874.0
Greenlee County,Arizona,04,011,24935.0
Maricopa County,Arizona,04,013,30186.0
Mohave County,Arizona,04,015,23527.0
Navajo County,Arizona,04,017,17685.0
Pima County,Arizona,04,019,27323.0
Pinal County,Arizona,04,021,22944.0
Santa Cruz County,Arizona,04,023,19482.0
Yavapai County,Arizona,04,025,27504.0
La Paz County,Arizona,04,012,21707.0
Yuma County,Arizona,04,027,20600.0
Arkansas County,Arkansas,05,001,23766.0
Ashley County,Arkansas,05,003,20703.0
Baxter County,Arkansas,05,005,24737.0
Benton County,Arkansas,05,007,30611.0
Boone County,Arkansas,05,009,22288.0
Bradley County,Arkansas,05,011,21575.0
Calhoun County,Arkansas,05,013,22866.0
Carroll County,Arkansas,05,015,21754.0
Chicot County,Arkansas,05,017,20560.0
Clark County,Arkansas,05,019,20382.0
Clay County,Arkansas,05,021,19171.0
Cleburne County,Arkansas,05,023,26189.0
Cleveland County,Arkansas,05,025,23171.0
Columbia County,Arkansas,05,027,20296.0
Conway County,Arkansas,05,029,22365.0
Craighead County,Arkansas,05,031,25594.0
Crawford County,Arkansas,05,033,22104.0
Crittenden County,Arkansas,05,035,20721.0
Cross County,Arkansas,05,037,22894.0
Dallas County,Arkansas,05,039,18309.0
Desha County,Arkansas,05,041,18187.0
Drew County,Arkansas,05,043,20300.0
Faulkner County,Arkansas,05,045,25240.0
Franklin County,Arkansas,05,047,19988.0
Fulton County,Arkansas,05,049,19674.0
Garland County,Arkansas,05,051,25690.0
Grant County,Arkansas,05,053,25814.0
Greene County,Arkansas,05,055,22094.0
Hempstead County,Arkansas,05,057,18817.0
Hot Spring County,Arkansas,05,059,20868.0
Howard County,Arkansas,05,061,23627.0
Independence County,Arkansas,05,063,23056.0
Izard County,Arkansas,05,065,19737.0
Jackson County,Arkansas,05,067,19458.0
Jefferson County,Arkansas,05,069,20371.0
Johnson County,Arkansas,05,071,18757.0
Lafayette County,Arkansas,05,073,25140.0
Lawrence County,Arkansas,05,075,19422.0
Lee County,Arkansas,05,077,15610.0
Lincoln County,Arkansas,05,079,13142.0
Little River County,Arkansas,05,081,23412.0
Logan County,Arkansas,05,083,19708.0
Lonoke County,Arkansas,05,085,25184.0
Madison County,Arkansas,05,087,23203.0
Marion County,Arkansas,05,089,19200.0
Miller County,Arkansas,05,091,22227.0
Mississippi County,Arkansas,05,093,20378.0
Monroe County,Arkansas,05,095,20486.0
Montgomery County,Arkansas,05,097,21480.0
Nevada County,Arkansas,05,099,18644.0
Newton County,Arkansas,05,101,18053.0
Ouachita County,Arkansas,05,103,19780.0
Perry County,Arkansas,05,105,21781.0
Phillips County,Arkansas,05,107,17287.0
Pike County,Arkansas,05,109,20180.0
Poinsett County,Arkansas,05,111,18361.0
Polk County,Arkansas,05,113,18735.0
Pope County,Arkansas,05,115,21650.0
Prairie County,Arkansas,05,117,22653.0
Pulaski County,Arkansas,05,119,29855.0
Randolph County,Arkansas,05,121,20932.0
Saint Francis County,Arkansas,05,123,16518.0
Saline County,Arkansas,05,125,28410.0
Scott County,Arkansas,05,127,18077.0
Searcy County,Arkansas,05,129,21475.0
Sebastian County,Arkansas,05,131,23916.0
Sevier County,Arkansas,05,133,18388.0
Sharp County,Arkansas,05,135,20078.0
Stone County,Arkansas,05,137,19881.0
Union County,Arkansas,05,139,23463.0
Van Buren County,Arkansas,05,141,20568.0
Washington County,Arkansas,05,143,26371.0
White County,Arkansas,05,145,23120.0
Woodruff County,Arkansas,05,147,19987.0
Yell County,Arkansas,05,149,20209.0
Alameda County,California,06,001,41363.0
Alpine County,California,06,003,27448.0
Amador County,California,06,005,29628.0
Butte County,California,06,007,26304.0
Calaveras County,California,06,009,31652.0
Colusa County,California,06,011,25676.0
Contra Costa County,California,06,013,42898.0
Del Norte County,California,06,015,20809.0
El Dorado County,California,06,017,38156.0
Fresno County,California,06,019,22234.0
Glenn County,California,06,021,21029.0
Humboldt County,California,06,023,25208.0
Imperial County,California,06,025,17303.0
Inyo County,California,06,027,30323.0
Kern County,California,06,029,21716.0
Kings County,California,06,031,19835.0
Lake County,California,06,033,23345.0
Lassen County,California,06,035,20974.0
Los Angeles County,California,06,037,30798.0
Madera County,California,06,039,19975.0
Marin County,California,06,041,66748.0
Mariposa County,California,06,043,28241.0
Mendocino County,California,06,045,27093.0
Merced County,California,06,047,20120.0
Modoc County,California,06,049,22052.0
Mono County,California,06,051,30888.0
Monterey County,California,06,053,27168.0
Napa County,California,06,055,40632.0
Nevada County,California,06,057,35581.0
Orange County,California,06,059,37603.0
Placer County,California,06,061,39734.0
Plumas County,California,06,063,32056.0
Riverside County,California,06,065,25700.0
Sacramento County,California,06,067,29693.0
San Benito County,California,06,069,30012.0
San Bernardino County,California,06,071,22867.0
San Diego County,California,06,073,34350.0
San Francisco County,California,06,075,59508.0
San Joaquin County,California,06,077,24694.0
San Luis Obispo County,California,06,079,33972.0
San Mateo County,California,06,081,53516.0
Santa Barbara County,California,06,083,32872.0
Santa Clara County,California,06,085,48689.0
Santa Cruz County,California,06,087,36388.0
Shasta County,California,06,089,26455.0
Sierra County,California,06,091,31750.0
Siskiyou County,California,06,093,24605.0
Solano County,California,06,095,31934.0
Sonoma County,California,06,097,37767.0
Stanislaus County,California,06,099,24007.0
Sutter County,California,06,101,24849.0
Tehama County,California,06,103,22631.0
Trinity County,California,06,105,23575.0
