County,State,State_FIPS,County_FIPS,total_population
Autauga County,Alabama,01,001,55380.0
Baldwin County,Alabama,01,003,212830.0
Barbour County,Alabama,01,005,25361.0
Bibb County,Alabama,01,007,22493.0
Blount County,Alabama,01,009,57681.0
Bullock County,Alabama,01,011,10248.0
Butler County,Alabama,01,013,19828.0
Calhoun County,Alabama,01,015,114618.0
Chambers County,Alabama,01,017,33660.0
Cherokee County,Alabama,01,019,25903.0
Chilton County,Alabama,01,021,44055.0
Choctaw County,Alabama,01,023,12925.0
Clarke County,Alabama,01,025,24128.0
Clay County,Alabama,01,027,13337.0
Cleburne County,Alabama,01,029,14916.0
Coffee County,Alabama,01,031,51662.0
Colbert County,Alabama,01,033,54771.0
Conecuh County,Alabama,01,035,12394.0
Coosa County,Alabama,01,037,10757.0
Covington County,Alabama,01,039,37200.0
Crenshaw County,Alabama,01,041,13844.0
Cullman County,Alabama,01,043,82853.0
Dale County,Alabama,01,045,49277.0
Dallas County,Alabama,01,047,39149.0
DeKalb County,Alabama,01,049,71310.0
Elmore County,Alabama,01,051,81144.0
Escambia County,Alabama,01,053,37057.0
Etowah County,Alabama,01,055,102748.0
Fayette County,Alabama,01,057,16494.0
Franklin County,Alabama,01,059,31466.0
Geneva County,Alabama,01,061,26417.0
Greene County,Alabama,01,063,8324.0
Hale County,Alabama,01,065,14809.0
Henry County,Alabama,01,067,17133.0
Houston County,Alabama,01,069,104702.0
Jackson County,Alabama,01,071,51852.0
Jefferson County,Alabama,01,073,659680.0
Lamar County,Alabama,01,075,13885.0
Lauderdale County,Alabama,01,077,92556.0
Lawrence County,Alabama,01,079,33058.0
Lee County,Alabama,01,081,161152.0
Limestone County,Alabama,01,083,94727.0
Lowndes County,Alabama,01,085,10079.0
Macon County,Alabama,01,087,18708.0
Madison County,Alabama,01,089,362276.0
Marengo County,Alabama,01,091,19321.0
Marion County,Alabama,01,093,29866.0
Marshall County,Alabama,01,095,95643.0
Mobile County,Alabama,01,097,414114.0
Monroe County,Alabama,01,099,21270.0
Montgomery County,Alabama,01,101,226941.0
Morgan County,Alabama,01,103,119213.0
Perry County,Alabama,01,105,9293.0
Pickens County,Alabama,01,107,20243.0
Pike County,Alabama,01,109,33333.0
Randolph County,Alabama,01,111,22647.0
Russell County,Alabama,01,113,57952.0
Saint Clair County,Alabama,01,115,87989.0
Shelby County,Alabama,01,117,213432.0
Sumter County,Alabama,01,119,12797.0
Talladega County,Alabama,01,121,80387.0
Tallapoosa County,Alabama,01,123,40541.0
Tuscaloosa County,Alabama,01,125,207305.0
Walker County,Alabama,01,127,64110.0
Washington County,Alabama,01,129,16541.0
Wilcox County,Alabama,01,131,10681.0
Winston County,Alabama,01,133,23784.0
Anchorage Municipality,Alaska,02,020,293531.0
Bethel Census Area,Alaska,02,050,18134.0
Bristol Bay Borough,Alaska,02,060,875.0
Fairbanks North Star Borough,Alaska,02,090,99072.0
Haines Borough,Alaska,02,100,2518.0
Juneau City and Borough,Alaska,02,110,32227.0
Kenai Peninsula Borough,Alaska,02,122,58464.0
Kodiak Island Borough,Alaska,02,150,13451.0
Matanuska-Susitna Borough,Alaska,02,170,105369.0
Nome Census Area,Alaska,02,180,9988.0
North Slope Borough,Alaska,02,185,9792.0
Sitka City and Borough,Alaska,02,220,8640.0
Southeast Fairbanks Census Area,Alaska,02,240,6878.0
Valdez-Cordova Census Area,Alaska,02,261,9243.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,7715.0
Aleutians East Borough,Alaska,02,013,3385.0
Aleutians West Census Area,Alaska,02,016,5698.0
Dillingham Census Area,Alaska,02,070,4961.0
Lake and Peninsula Borough,Alaska,02,164,1393.0
Denali Borough,Alaska,02,068,2246.0
Yukon-Koyukuk Census Area,Alaska,02,290,5377.0
Hoonah-Angoon Census Area,Alaska,02,105,2139.0
Skagway Municipality,Alaska,02,230,1107.0
Yakutat City and Borough,Alaska,02,282,649.0
Ketchikan Gateway Borough,Alaska,02,130,13800.0
Petersburg Borough,Alaska,02,195,3257.0
Prince of Wales-Hyder Census Area,Alaska,02,198,6407.0
Wrangell City and Borough,Alaska,02,275,2502.0
Apache County,Arizona,04,001,71511.0
Cochise County,Arizona,04,003,125867.0
Coconino County,Arizona,04,005,141274.0
