County,State,State_FIPS,County_FIPS,disability_rate
Autauga County,Alabama,01,001,15.0
Baldwin County,Alabama,01,003,14.0
Barbour County,Alabama,01,005,20.5
Bibb County,Alabama,01,007,16.2
Blount County,Alabama,01,009,17.3
Bullock County,Alabama,01,011,19.1
Butler County,Alabama,01,013,19.0
Calhoun County,Alabama,01,015,18.9
Chambers County,Alabama,01,017,21.0
Cherokee County,Alabama,01,019,20.5
Chilton County,Alabama,01,021,17.5
Choctaw County,Alabama,01,023,25.0
Clarke County,Alabama,01,025,17.5
Clay County,Alabama,01,027,19.7
Cleburne County,Alabama,01,029,18.0
Coffee County,Alabama,01,031,17.2
Colbert County,Alabama,01,033,19.2
Conecuh County,Alabama,01,035,21.5
Coosa County,Alabama,01,037,19.5
Covington County,Alabama,01,039,23.0
Crenshaw County,Alabama,01,041,20.4
Cullman County,Alabama,01,043,17.6
Dale County,Alabama,01,045,20.0
Dallas County,Alabama,01,047,22.3
DeKalb County,Alabama,01,049,16.1
Elmore County,Alabama,01,051,15.0
Escambia County,Alabama,01,053,19.0
Etowah County,Alabama,01,055,19.3
Fayette County,Alabama,01,057,24.1
Franklin County,Alabama,01,059,18.4
Geneva County,Alabama,01,061,23.3
Greene County,Alabama,01,063,23.3
Hale County,Alabama,01,065,21.6
Henry County,Alabama,01,067,18.3
Houston County,Alabama,01,069,17.0
Jackson County,Alabama,01,071,18.5
Jefferson County,Alabama,01,073,14.2
Lamar County,Alabama,01,075,21.1
Lauderdale County,Alabama,01,077,17.7
Lawrence County,Alabama,01,079,19.8
Lee County,Alabama,01,081,12.3
Limestone County,Alabama,01,083,13.3
Lowndes County,Alabama,01,085,21.0
Macon County,Alabama,01,087,20.2
Madison County,Alabama,01,089,12.2
Marengo County,Alabama,01,091,23.3
Marion County,Alabama,01,093,22.8
Marshall County,Alabama,01,095,16.9
Mobile County,Alabama,01,097,15.6
Monroe County,Alabama,01,099,18.7
Montgomery County,Alabama,01,101,16.0
Morgan County,Alabama,01,103,15.5
Perry County,Alabama,01,105,28.3
Pickens County,Alabama,01,107,24.1
Pike County,Alabama,01,109,14.9
Randolph County,Alabama,01,111,20.8
Russell County,Alabama,01,113,21.2
Saint Clair County,Alabama,01,115,16.2
Shelby County,Alabama,01,117,11.1
Sumter County,Alabama,01,119,25.6
Talladega County,Alabama,01,121,20.2
Tallapoosa County,Alabama,01,123,20.2
Tuscaloosa County,Alabama,01,125,12.6
Walker County,Alabama,01,127,23.2
Washington County,Alabama,01,129,22.0
Wilcox County,Alabama,01,131,16.4
Winston County,Alabama,01,133,24.3
Anchorage Municipality,Alaska,02,020,10.7
Bethel Census Area,Alaska,02,050,10.1
Bristol Bay Borough,Alaska,02,060,14.1
Fairbanks North Star Borough,Alaska,02,090,10.1
Haines Borough,Alaska,02,100,15.5
Juneau City and Borough,Alaska,02,110,9.7
Kenai Peninsula Borough,Alaska,02,122,15.6
Kodiak Island Borough,Alaska,02,150,11.4
Matanuska-Susitna Borough,Alaska,02,170,11.2
Nome Census Area,Alaska,02,180,10.4
North Slope Borough,Alaska,02,185,8.7
Sitka City and Borough,Alaska,02,220,9.1
Southeast Fairbanks Census Area,Alaska,02,240,12.2
Valdez-Cordova Census Area,Alaska,02,261,11.5
Wade Hampton Census Area,Alaska,02,270,10.9
Northwest Arctic Borough,Alaska,02,188,10.2
Aleutians East Borough,Alaska,02,013,6.4
Aleutians West Census Area,Alaska,02,016,7.3
Dillingham Census Area,Alaska,02,070,12.3
Lake and Peninsula Borough,Alaska,02,164,15.8
Denali Borough,Alaska,02,068,10.4
Yukon-Koyukuk Census Area,Alaska,02,290,16.5
Hoonah-Angoon Census Area,Alaska,02,105,18.6
Skagway Municipality,Alaska,02,230,6.0
Yakutat City and Borough,Alaska,02,282,7.0
Ketchikan Gateway Borough,Alaska,02,130,12.7
Petersburg Borough,Alaska,02,195,10.1
Prince of Wales-Hyder Census Area,Alaska,02,198,14.9
Wrangell City and Borough,Alaska,02,275,23.5
Apache County,Arizona,04,001,14.4
Cochise County,Arizona,04,003,16.6
Coconino County,Arizona,04,005,10.9
Gila County,Arizona,04,007,18.7
Graham County,Arizona,04,009,13.2
Greenlee County,Arizona,04,011,10.4
Maricopa County,Arizona,04,013,9.8
Mohave County,Arizona,04,015,18.4
Navajo County,Arizona,04,017,18.8
Pima County,Arizona,04,019,13.2
Pinal County,Arizona,04,021,12.0
Santa Cruz County,Arizona,04,023,8.3
Yavapai County,Arizona,04,025,17.0
La Paz County,Arizona,04,012,17.1
Yuma County,Arizona,04,027,11.5
Arkansas County,Arkansas,05,001,19.3
Ashley County,Arkansas,05,003,18.9
Baxter County,Arkansas,05,005,22.0
Benton County,Arkansas,05,007,10.2
Boone County,Arkansas,05,009,19.9
Bradley County,Arkansas,05,011,19.1
Calhoun County,Arkansas,05,013,26.3
Carroll County,Arkansas,05,015,16.5
Chicot County,Arkansas,05,017,25.7
Clark County,Arkansas,05,019,17.6
Clay County,Arkansas,05,021,23.8
Cleburne County,Arkansas,05,023,18.2
Cleveland County,Arkansas,05,025,21.8
Columbia County,Arkansas,05,027,20.2
Conway County,Arkansas,05,029,19.5
Craighead County,Arkansas,05,031,14.5
Crawford County,Arkansas,05,033,17.0
Crittenden County,Arkansas,05,035,15.6
Cross County,Arkansas,05,037,19.5
Dallas County,Arkansas,05,039,25.5
Desha County,Arkansas,05,041,20.6
Drew County,Arkansas,05,043,17.2
Faulkner County,Arkansas,05,045,12.5
Franklin County,Arkansas,05,047,19.6
Fulton County,Arkansas,05,049,26.6
Garland County,Arkansas,05,051,18.7
Grant County,Arkansas,05,053,16.7
Greene County,Arkansas,05,055,19.4
Hempstead County,Arkansas,05,057,19.1
Hot Spring County,Arkansas,05,059,22.0
Howard County,Arkansas,05,061,18.0
Independence County,Arkansas,05,063,17.1
Izard County,Arkansas,05,065,24.8
Jackson County,Arkansas,05,067,21.7
Jefferson County,Arkansas,05,069,18.0
Johnson County,Arkansas,05,071,15.8
Lafayette County,Arkansas,05,073,22.5
Lawrence County,Arkansas,05,075,20.5
Lee County,Arkansas,05,077,23.0
Lincoln County,Arkansas,05,079,20.4
Little River County,Arkansas,05,081,17.2
Logan County,Arkansas,05,083,20.7
Lonoke County,Arkansas,05,085,16.1
Madison County,Arkansas,05,087,19.0
Marion County,Arkansas,05,089,25.2
Miller County,Arkansas,05,091,18.0
Mississippi County,Arkansas,05,093,19.7
Monroe County,Arkansas,05,095,25.6
Montgomery County,Arkansas,05,097,29.7
Nevada County,Arkansas,05,099,23.8
Newton County,Arkansas,05,101,22.0
Ouachita County,Arkansas,05,103,21.2
Perry County,Arkansas,05,105,20.2
Phillips County,Arkansas,05,107,23.7
Pike County,Arkansas,05,109,28.3
Poinsett County,Arkansas,05,111,19.6
Polk County,Arkansas,05,113,25.0
Pope County,Arkansas,05,115,17.1
Prairie County,Arkansas,05,117,22.8
Pulaski County,Arkansas,05,119,13.2
Randolph County,Arkansas,05,121,19.7
Saint Francis County,Arkansas,05,123,21.3
Saline County,Arkansas,05,125,16.9
Scott County,Arkansas,05,127,20.3
Searcy County,Arkansas,05,129,25.5
Sebastian County,Arkansas,05,131,16.8
Sevier County,Arkansas,05,133,16.1
Sharp County,Arkansas,05,135,19.7
Stone County,Arkansas,05,137,24.2
Union County,Arkansas,05,139,21.2
Van Buren County,Arkansas,05,141,20.3
Washington County,Arkansas,05,143,11.8
White County,Arkansas,05,145,17.1
Woodruff County,Arkansas,05,147,20.8
Yell County,Arkansas,05,149,21.5
Alameda County,California,06,001,9.2
Alpine County,California,06,003,13.9
Amador County,California,06,005,17.0
Butte County,California,06,007,16.7
Calaveras County,California,06,009,17.8
Colusa County,California,06,011,12.4
Contra Costa County,California,06,013,9.8
Del Norte County,California,06,015,21.1
El Dorado County,California,06,017,11.4
Fresno County,California,06,019,11.6
Glenn County,California,06,021,15.0
Humboldt County,California,06,023,15.5
Imperial County,California,06,025,13.4
Inyo County,California,06,027,12.3
Kern County,California,06,029,12.0
Kings County,California,06,031,10.4
Lake County,California,06,033,20.1
Lassen County,California,06,035,15.8
Los Angeles County,California,06,037,9.4
Madera County,California,06,039,11.7
Marin County,California,06,041,8.6
Mariposa County,California,06,043,17.9
Mendocino County,California,06,045,16.0
Merced County,California,06,047,14.7
Modoc County,California,06,049,20.9
Mono County,California,06,051,10.1
Monterey County,California,06,053,8.4
Napa County,California,06,055,10.7
Nevada County,California,06,057,12.8
Orange County,California,06,059,7.6
Placer County,California,06,061,10.5
Plumas County,California,06,063,17.9
Riverside County,California,06,065,10.5
Sacramento County,California,06,067,12.9
San Benito County,California,06,069,8.3
San Bernardino County,California,06,071,10.7
San Diego County,California,06,073,9.3
San Francisco County,California,06,075,10.6
San Joaquin County,California,06,077,11.6
San Luis Obispo County,California,06,079,11.1
San Mateo County,California,06,081,7.8
Santa Barbara County,California,06,083,10.4
Santa Clara County,California,06,085,7.7
Santa Cruz County,California,06,087,8.8
Shasta County,California,06,089,17.7
Sierra County,California,06,091,14.5
Siskiyou County,California,06,093,19.5
Solano County,California,06,095,10.7
Sonoma County,California,06,097,10.7
Stanislaus County,California,06,099,13.0
Sutter County,California,06,101,13.8
Tehama County,California,06,103,19.0
Trinity County,California,06,105,21.8
Tulare County,California,06,107,10.4
Tuolumne County,California,06,109,17.5
Ventura County,California,06,111,9.8
Yolo County,California,06,113,9.9
Yuba County,California,06,115,15.9
Alamosa County,Colorado,08,003,15.3
Archuleta County,Colorado,08,007,13.7
Baca County,Colorado,08,009,19.3
Bent County,Colorado,08,011,26.3
Chaffee County,Colorado,08,015,12.9
Cheyenne County,Colorado,08,017,19.2
Clear Creek County,Colorado,08,019,11.9
Conejos County,Colorado,08,021,18.9
Costilla County,Colorado,08,023,26.0
Crowley County,Colorado,08,025,21.5
Custer County,Colorado,08,027,15.0
Delta County,Colorado,08,029,16.3
Dolores County,Colorado,08,033,19.2
Douglas County,Colorado,08,035,5.9
Eagle County,Colorado,08,037,4.1
Elbert County,Colorado,08,039,10.7
El Paso County,Colorado,08,041,10.8
Fremont County,Colorado,08,043,17.3
Garfield County,Colorado,08,045,8.1
Gilpin County,Colorado,08,047,11.0
Grand County,Colorado,08,049,9.3
Gunnison County,Colorado,08,051,6.3
Huerfano County,Colorado,08,055,23.2
Jackson County,Colorado,08,057,13.6
Kiowa County,Colorado,08,061,15.0
Kit Carson County,Colorado,08,063,16.4
Lake County,Colorado,08,065,6.0
La Plata County,Colorado,08,067,9.0
Larimer County,Colorado,08,069,8.9
Las Animas County,Colorado,08,071,18.2
Lincoln County,Colorado,08,073,18.4
Logan County,Colorado,08,075,13.2
Mesa County,Colorado,08,077,12.4
Moffat County,Colorado,08,081,11.4
Montezuma County,Colorado,08,083,14.3
Montrose County,Colorado,08,085,13.9
Morgan County,Colorado,08,087,10.7
Otero County,Colorado,08,089,18.4
Ouray County,Colorado,08,091,8.4
Park County,Colorado,08,093,8.9
Phillips County,Colorado,08,095,13.8
Pitkin County,Colorado,08,097,6.4
Prowers County,Colorado,08,099,15.9
Pueblo County,Colorado,08,101,16.2
Rio Blanco County,Colorado,08,103,12.4
Rio Grande County,Colorado,08,105,17.8
Routt County,Colorado,08,107,7.3
Saguache County,Colorado,08,109,16.2
San Miguel County,Colorado,08,113,6.9
Sedgwick County,Colorado,08,115,14.5
Summit County,Colorado,08,117,3.7
Teller County,Colorado,08,119,14.2
Washington County,Colorado,08,121,12.6
Yuma County,Colorado,08,125,7.4
