County,State,State_FIPS,County_FIPS,health_insurance_rate
Autauga County,Alabama,01,001,91.2
Baldwin County,Alabama,01,003,89.2
Barbour County,Alabama,01,005,87.7
Bibb County,Alabama,01,007,91.9
Blount County,Alabama,01,009,89.0
Bullock County,Alabama,01,011,85.9
Butler County,Alabama,01,013,88.6
Calhoun County,Alabama,01,015,89.6
Chambers County,Alabama,01,017,87.8
Cherokee County,Alabama,01,019,91.0
Chilton County,Alabama,01,021,85.2
Choctaw County,Alabama,01,023,89.0
Clarke County,Alabama,01,025,89.1
Clay County,Alabama,01,027,86.8
Cleburne County,Alabama,01,029,85.6
Coffee County,Alabama,01,031,89.5
Colbert County,Alabama,01,033,91.4
Conecuh County,Alabama,01,035,84.3
Coosa County,Alabama,01,037,90.0
Covington County,Alabama,01,039,88.2
Crenshaw County,Alabama,01,041,89.3
Cullman County,Alabama,01,043,86.6
Dale County,Alabama,01,045,87.7
Dallas County,Alabama,01,047,87.9
DeKalb County,Alabama,01,049,84.9
Elmore County,Alabama,01,051,92.3
Escambia County,Alabama,01,053,84.4
Etowah County,Alabama,01,055,88.3
Fayette County,Alabama,01,057,91.7
Franklin County,Alabama,01,059,88.0
Geneva County,Alabama,01,061,86.1
Greene County,Alabama,01,063,86.9
Hale County,Alabama,01,065,89.3
Henry County,Alabama,01,067,89.2
Houston County,Alabama,01,069,89.0
Jackson County,Alabama,01,071,89.4
Jefferson County,Alabama,01,073,89.7
Lamar County,Alabama,01,075,89.4
Lauderdale County,Alabama,01,077,89.7
Lawrence County,Alabama,01,079,90.3
Lee County,Alabama,01,081,91.3
Limestone County,Alabama,01,083,88.8
Lowndes County,Alabama,01,085,87.7
Macon County,Alabama,01,087,89.9
Madison County,Alabama,01,089,90.3
Marengo County,Alabama,01,091,89.3
Marion County,Alabama,01,093,90.4
Marshall County,Alabama,01,095,84.6
Mobile County,Alabama,01,097,87.9
Monroe County,Alabama,01,099,85.0
Montgomery County,Alabama,01,101,88.9
Morgan County,Alabama,01,103,88.8
Perry County,Alabama,01,105,85.8
Pickens County,Alabama,01,107,91.1
Pike County,Alabama,01,109,91.2
Randolph County,Alabama,01,111,87.7
Russell County,Alabama,01,113,86.2
Saint Clair County,Alabama,01,115,92.1
Shelby County,Alabama,01,117,92.6
Sumter County,Alabama,01,119,83.1
Talladega County,Alabama,01,121,89.8
Tallapoosa County,Alabama,01,123,90.6
Tuscaloosa County,Alabama,01,125,91.4
Walker County,Alabama,01,127,88.4
Washington County,Alabama,01,129,90.5
Wilcox County,Alabama,01,131,85.1
Winston County,Alabama,01,133,88.3
Anchorage Municipality,Alaska,02,020,86.8
Bethel Census Area,Alaska,02,050,76.6
Bristol Bay Borough,Alaska,02,060,79.9
Fairbanks North Star Borough,Alaska,02,090,89.8
Haines Borough,Alaska,02,100,80.6
Juneau City and Borough,Alaska,02,110,88.4
Kenai Peninsula Borough,Alaska,02,122,81.8
Kodiak Island Borough,Alaska,02,150,78.0
Matanuska-Susitna Borough,Alaska,02,170,83.7
Nome Census Area,Alaska,02,180,73.9
North Slope Borough,Alaska,02,185,77.7
Sitka City and Borough,Alaska,02,220,82.1
Southeast Fairbanks Census Area,Alaska,02,240,82.3
Valdez-Cordova Census Area,Alaska,02,261,83.4
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,68.5
Aleutians East Borough,Alaska,02,013,51.8
Aleutians West Census Area,Alaska,02,016,78.8
Dillingham Census Area,Alaska,02,070,76.1
Lake and Peninsula Borough,Alaska,02,164,67.7
Denali Borough,Alaska,02,068,79.2
Yukon-Koyukuk Census Area,Alaska,02,290,67.7
Hoonah-Angoon Census Area,Alaska,02,105,74.2
Skagway Municipality,Alaska,02,230,78.5
Yakutat City and Borough,Alaska,02,282,79.9
Ketchikan Gateway Borough,Alaska,02,130,85.9
Petersburg Borough,Alaska,02,195,87.3
Prince of Wales-Hyder Census Area,Alaska,02,198,72.1
Wrangell City and Borough,Alaska,02,275,84.9
Apache County,Arizona,04,001,77.1
Cochise County,Arizona,04,003,91.0
Coconino County,Arizona,04,005,86.3
Gila County,Arizona,04,007,87.6
Graham County,Arizona,04,009,91.2
Greenlee County,Arizona,04,011,92.4
Maricopa County,Arizona,04,013,87.7
Mohave County,Arizona,04,015,87.7
Navajo County,Arizona,04,017,84.9
Pima County,Arizona,04,019,89.0
Pinal County,Arizona,04,021,89.7
Santa Cruz County,Arizona,04,023,87.4
Yavapai County,Arizona,04,025,88.7
La Paz County,Arizona,04,012,87.7
Yuma County,Arizona,04,027,84.9
Arkansas County,Arkansas,05,001,91.6
