County,State,State_FIPS,County_FIPS,high_school_and_above_percentage
Autauga County,Alabama,01,001,24.6
Baldwin County,Alabama,01,003,29.5
Barbour County,Alabama,01,005,12.9
Bibb County,Alabama,01,007,12.0
Blount County,Alabama,01,009,13.0
Bullock County,Alabama,01,011,10.3
Butler County,Alabama,01,013,16.1
Calhoun County,Alabama,01,015,17.7
Chambers County,Alabama,01,017,12.5
Cherokee County,Alabama,01,019,14.0
Chilton County,Alabama,01,021,14.9
Choctaw County,Alabama,01,023,12.0
Clarke County,Alabama,01,025,12.1
Clay County,Alabama,01,027,11.1
Cleburne County,Alabama,01,029,11.5
Coffee County,Alabama,01,031,23.7
Colbert County,Alabama,01,033,18.5
Conecuh County,Alabama,01,035,8.7
Coosa County,Alabama,01,037,9.9
Covington County,Alabama,01,039,14.9
Crenshaw County,Alabama,01,041,14.6
Cullman County,Alabama,01,043,15.0
Dale County,Alabama,01,045,16.1
Dallas County,Alabama,01,047,13.8
DeKalb County,Alabama,01,049,11.4
Elmore County,Alabama,01,051,22.2
Escambia County,Alabama,01,053,11.6
Etowah County,Alabama,01,055,16.5
Fayette County,Alabama,01,057,14.1
Franklin County,Alabama,01,059,12.4
Geneva County,Alabama,01,061,11.7
Greene County,Alabama,01,063,10.0
Hale County,Alabama,01,065,14.0
Henry County,Alabama,01,067,16.1
Houston County,Alabama,01,069,21.0
Jackson County,Alabama,01,071,12.6
Jefferson County,Alabama,01,073,31.4
Lamar County,Alabama,01,075,13.1
Lauderdale County,Alabama,01,077,21.7
Lawrence County,Alabama,01,079,10.3
Lee County,Alabama,01,081,34.4
Limestone County,Alabama,01,083,23.3
Lowndes County,Alabama,01,085,12.3
Macon County,Alabama,01,087,20.0
Madison County,Alabama,01,089,40.7
Marengo County,Alabama,01,091,14.8
Marion County,Alabama,01,093,12.5
Marshall County,Alabama,01,095,16.6
Mobile County,Alabama,01,097,22.5
Monroe County,Alabama,01,099,12.4
Montgomery County,Alabama,01,101,31.5
Morgan County,Alabama,01,103,21.4
Perry County,Alabama,01,105,14.5
Pickens County,Alabama,01,107,11.1
Pike County,Alabama,01,109,24.0
Randolph County,Alabama,01,111,15.4
Russell County,Alabama,01,113,17.0
Saint Clair County,Alabama,01,115,16.1
Shelby County,Alabama,01,117,41.4
Sumter County,Alabama,01,119,18.1
Talladega County,Alabama,01,121,13.1
Tallapoosa County,Alabama,01,123,17.3
Tuscaloosa County,Alabama,01,125,29.4
Walker County,Alabama,01,127,10.5
Washington County,Alabama,01,129,9.6
Wilcox County,Alabama,01,131,11.3
Winston County,Alabama,01,133,13.1
Anchorage Municipality,Alaska,02,020,34.3
Bethel Census Area,Alaska,02,050,11.4
Bristol Bay Borough,Alaska,02,060,19.1
Fairbanks North Star Borough,Alaska,02,090,33.4
Haines Borough,Alaska,02,100,40.4
Juneau City and Borough,Alaska,02,110,39.4
Kenai Peninsula Borough,Alaska,02,122,23.7
Kodiak Island Borough,Alaska,02,150,24.8
Matanuska-Susitna Borough,Alaska,02,170,20.6
Nome Census Area,Alaska,02,180,13.9
North Slope Borough,Alaska,02,185,14.2
Sitka City and Borough,Alaska,02,220,32.4
Southeast Fairbanks Census Area,Alaska,02,240,19.2
Valdez-Cordova Census Area,Alaska,02,261,30.1
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,10.8
Aleutians East Borough,Alaska,02,013,11.9
Aleutians West Census Area,Alaska,02,016,15.7
Dillingham Census Area,Alaska,02,070,17.6
Lake and Peninsula Borough,Alaska,02,164,12.5
Denali Borough,Alaska,02,068,38.5
Yukon-Koyukuk Census Area,Alaska,02,290,12.3
Hoonah-Angoon Census Area,Alaska,02,105,24.3
Skagway Municipality,Alaska,02,230,33.7
Yakutat City and Borough,Alaska,02,282,19.7
Ketchikan Gateway Borough,Alaska,02,130,23.8
Petersburg Borough,Alaska,02,195,25.0
Prince of Wales-Hyder Census Area,Alaska,02,198,15.8
Wrangell City and Borough,Alaska,02,275,20.3
Apache County,Arizona,04,001,11.1
Cochise County,Arizona,04,003,23.2
Coconino County,Arizona,04,005,34.2
Gila County,Arizona,04,007,17.7
Graham County,Arizona,04,009,13.3
Greenlee County,Arizona,04,011,12.2
Maricopa County,Arizona,04,013,31.0
Mohave County,Arizona,04,015,11.9
Navajo County,Arizona,04,017,14.5
Pima County,Arizona,04,019,30.8
Pinal County,Arizona,04,021,18.5
Santa Cruz County,Arizona,04,023,22.5
Yavapai County,Arizona,04,025,25.5
La Paz County,Arizona,04,012,10.4
Yuma County,Arizona,04,027,14.4
Arkansas County,Arkansas,05,001,14.4
Ashley County,Arkansas,05,003,13.6
Baxter County,Arkansas,05,005,17.7
Benton County,Arkansas,05,007,30.7
Boone County,Arkansas,05,009,15.0
Bradley County,Arkansas,05,011,14.2
Calhoun County,Arkansas,05,013,12.0
Carroll County,Arkansas,05,015,17.7
Chicot County,Arkansas,05,017,13.1
Clark County,Arkansas,05,019,24.7
Clay County,Arkansas,05,021,11.3
Cleburne County,Arkansas,05,023,15.4
Cleveland County,Arkansas,05,025,15.7
Columbia County,Arkansas,05,027,21.9
Conway County,Arkansas,05,029,16.9
Craighead County,Arkansas,05,031,25.4
Crawford County,Arkansas,05,033,13.5
Crittenden County,Arkansas,05,035,17.4
Cross County,Arkansas,05,037,14.7
Dallas County,Arkansas,05,039,12.7
Desha County,Arkansas,05,041,13.2
Drew County,Arkansas,05,043,19.8
Faulkner County,Arkansas,05,045,29.1
Franklin County,Arkansas,05,047,13.0
Fulton County,Arkansas,05,049,11.0
Garland County,Arkansas,05,051,20.6
Grant County,Arkansas,05,053,19.8
Greene County,Arkansas,05,055,16.4
Hempstead County,Arkansas,05,057,12.6
Hot Spring County,Arkansas,05,059,13.5
Howard County,Arkansas,05,061,15.7
Independence County,Arkansas,05,063,17.6
Izard County,Arkansas,05,065,12.4
Jackson County,Arkansas,05,067,8.6
Jefferson County,Arkansas,05,069,17.0
Johnson County,Arkansas,05,071,15.9
Lafayette County,Arkansas,05,073,13.7
Lawrence County,Arkansas,05,075,13.4
Lee County,Arkansas,05,077,8.2
Lincoln County,Arkansas,05,079,7.8
Little River County,Arkansas,05,081,9.7
Logan County,Arkansas,05,083,13.0
Lonoke County,Arkansas,05,085,19.5
Madison County,Arkansas,05,087,11.3
Marion County,Arkansas,05,089,15.3
Miller County,Arkansas,05,091,14.5
Mississippi County,Arkansas,05,093,12.6
Monroe County,Arkansas,05,095,9.1
Montgomery County,Arkansas,05,097,12.5
Nevada County,Arkansas,05,099,15.1
Newton County,Arkansas,05,101,14.8
Ouachita County,Arkansas,05,103,16.6
Perry County,Arkansas,05,105,10.6
Phillips County,Arkansas,05,107,11.7
Pike County,Arkansas,05,109,14.8
Poinsett County,Arkansas,05,111,9.6
Polk County,Arkansas,05,113,12.3
Pope County,Arkansas,05,115,21.3
Prairie County,Arkansas,05,117,13.0
Pulaski County,Arkansas,05,119,32.9
Randolph County,Arkansas,05,121,13.7
Saint Francis County,Arkansas,05,123,10.4
Saline County,Arkansas,05,125,24.5
Scott County,Arkansas,05,127,10.6
Searcy County,Arkansas,05,129,14.4
Sebastian County,Arkansas,05,131,18.8
Sevier County,Arkansas,05,133,9.4
Sharp County,Arkansas,05,135,10.1
Stone County,Arkansas,05,137,14.4
Union County,Arkansas,05,139,19.2
Van Buren County,Arkansas,05,141,13.6
Washington County,Arkansas,05,143,31.2
White County,Arkansas,05,145,19.3
Woodruff County,Arkansas,05,147,10.2
Yell County,Arkansas,05,149,14.4
Alameda County,California,06,001,43.9
Alpine County,California,06,003,29.7
Amador County,California,06,005,21.5
Butte County,California,06,007,26.1
Calaveras County,California,06,009,20.2
Colusa County,California,06,011,14.4
Contra Costa County,California,06,013,40.3
Del Norte County,California,06,015,14.9
El Dorado County,California,06,017,33.0
Fresno County,California,06,019,19.7
Glenn County,California,06,021,12.7
Humboldt County,California,06,023,28.2
Imperial County,California,06,025,14.0
Inyo County,California,06,027,24.5
Kern County,California,06,029,15.7
Kings County,California,06,031,12.8
Lake County,California,06,033,16.2
Lassen County,California,06,035,12.5
