County,State,mean_life_expectancy,State_FIPS,County_FIPS,poverty_rate
Autauga County,Alabama,76.0037780188588,01,001,12.9
Baldwin County,Alabama,77.883491815899,01,003,13.4
Barbour County,Alabama,75.0673228497808,01,005,26.7
Bibb County,Alabama,73.9292406132677,01,007,16.8
Blount County,Alabama,75.4045795365122,01,009,16.7
Bullock County,Alabama,73.9942587358532,01,011,24.6
Butler County,Alabama,73.8747097831596,01,013,25.4
Calhoun County,Alabama,73.4914898222883,01,015,20.5
Chambers County,Alabama,74.3558450542163,01,017,21.6
Cherokee County,Alabama,74.3869269438084,01,019,19.2
Chilton County,Alabama,74.1846042084152,01,021,19.1
Choctaw County,Alabama,74.4079125158607,01,023,23.4
Clarke County,Alabama,75.0600852353112,01,025,24.7
Clay County,Alabama,74.5433505768891,01,027,16.7
Cleburne County,Alabama,73.9868040627659,01,029,17.0
Coffee County,Alabama,76.3605391350353,01,031,17.1
Colbert County,Alabama,74.4371800102949,01,033,17.4
Conecuh County,Alabama,73.5347778763338,01,035,33.8
Coosa County,Alabama,75.1708542815166,01,037,19.3
Covington County,Alabama,74.5258130018285,01,039,20.2
Crenshaw County,Alabama,74.3461382236033,01,041,16.7
Cullman County,Alabama,74.594611891369,01,043,18.5
Dale County,Alabama,75.8955853753065,01,045,19.1
Dallas County,Alabama,72.0822622575986,01,047,35.0
DeKalb County,Alabama,74.708246577618,01,049,18.7
Elmore County,Alabama,75.7371836971991,01,051,13.6
Escambia County,Alabama,73.4683660064676,01,053,24.2
Etowah County,Alabama,73.1955443341744,01,055,19.7
Fayette County,Alabama,73.9431045571677,01,057,18.3
Franklin County,Alabama,73.589235938182,01,059,22.5
Geneva County,Alabama,74.6570847479417,01,061,23.2
Greene County,Alabama,74.2538349549859,01,063,40.2
Hale County,Alabama,73.9653852957873,01,065,26.8
Henry County,Alabama,75.6190349537947,01,067,15.6
Houston County,Alabama,76.3382467172531,01,069,18.3
Jackson County,Alabama,73.4843045744864,01,071,18.0
Jefferson County,Alabama,74.806564666839,01,073,18.8
Lamar County,Alabama,74.4774859000498,01,075,24.1
Lauderdale County,Alabama,75.9992408194207,01,077,17.9
Lawrence County,Alabama,73.7066029348587,01,079,18.7
Lee County,Alabama,77.5898607027561,01,081,23.8
