County,State,State_FIPS,County_FIPS,poverty_rate
Autauga County,Alabama,01,001,15.4
Baldwin County,Alabama,01,003,10.6
Barbour County,Alabama,01,005,28.9
Bibb County,Alabama,01,007,14.0
Blount County,Alabama,01,009,14.4
Bullock County,Alabama,01,011,31.4
Butler County,Alabama,01,013,23.5
Calhoun County,Alabama,01,015,18.6
Chambers County,Alabama,01,017,16.6
Cherokee County,Alabama,01,019,15.0
Chilton County,Alabama,01,021,18.6
Choctaw County,Alabama,01,023,22.2
Clarke County,Alabama,01,025,25.4
Clay County,Alabama,01,027,18.4
Cleburne County,Alabama,01,029,18.5
Coffee County,Alabama,01,031,15.1
Colbert County,Alabama,01,033,16.3
Conecuh County,Alabama,01,035,22.2
Coosa County,Alabama,01,037,14.0
Covington County,Alabama,01,039,18.3
Crenshaw County,Alabama,01,041,15.7
Cullman County,Alabama,01,043,15.8
Dale County,Alabama,01,045,18.4
Dallas County,Alabama,01,047,31.1
DeKalb County,Alabama,01,049,22.1
Elmore County,Alabama,01,051,12.3
Escambia County,Alabama,01,053,24.0
Etowah County,Alabama,01,055,17.3
Fayette County,Alabama,01,057,20.0
Franklin County,Alabama,01,059,20.2
Geneva County,Alabama,01,061,24.0
Greene County,Alabama,01,063,38.7
Hale County,Alabama,01,065,26.0
Henry County,Alabama,01,067,13.5
Houston County,Alabama,01,069,18.3
Jackson County,Alabama,01,071,20.2
Jefferson County,Alabama,01,073,17.0
Lamar County,Alabama,01,075,21.2
Lauderdale County,Alabama,01,077,15.2
Lawrence County,Alabama,01,079,16.8
Lee County,Alabama,01,081,21.4
Limestone County,Alabama,01,083,13.7
Lowndes County,Alabama,01,085,27.9
Macon County,Alabama,01,087,25.8
Madison County,Alabama,01,089,13.2
Marengo County,Alabama,01,091,21.8
Marion County,Alabama,01,093,17.5
Marshall County,Alabama,01,095,21.7
Mobile County,Alabama,01,097,19.3
Monroe County,Alabama,01,099,30.9
Montgomery County,Alabama,01,101,20.7
Morgan County,Alabama,01,103,15.3
Perry County,Alabama,01,105,41.8
Pickens County,Alabama,01,107,23.5
Pike County,Alabama,01,109,26.6
Randolph County,Alabama,01,111,17.7
Russell County,Alabama,01,113,20.1
Saint Clair County,Alabama,01,115,13.2
Shelby County,Alabama,01,117,8.4
Sumter County,Alabama,01,119,31.3
Talladega County,Alabama,01,121,19.9
Tallapoosa County,Alabama,01,123,20.3
Tuscaloosa County,Alabama,01,125,17.4
Walker County,Alabama,01,127,19.7
Washington County,Alabama,01,129,21.0
Wilcox County,Alabama,01,131,31.1
Winston County,Alabama,01,133,16.2
Anchorage Municipality,Alaska,02,020,9.2
Bethel Census Area,Alaska,02,050,27.8
Bristol Bay Borough,Alaska,02,060,5.8
Fairbanks North Star Borough,Alaska,02,090,8.1
Haines Borough,Alaska,02,100,9.0
Juneau City and Borough,Alaska,02,110,7.9
Kenai Peninsula Borough,Alaska,02,122,12.0
Kodiak Island Borough,Alaska,02,150,9.3
Matanuska-Susitna Borough,Alaska,02,170,10.3
Nome Census Area,Alaska,02,180,23.1
North Slope Borough,Alaska,02,185,9.3
Sitka City and Borough,Alaska,02,220,7.5
Southeast Fairbanks Census Area,Alaska,02,240,10.8
Valdez-Cordova Census Area,Alaska,02,261,8.1
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,25.1
Aleutians East Borough,Alaska,02,013,15.4
Aleutians West Census Area,Alaska,02,016,8.5
Dillingham Census Area,Alaska,02,070,17.2
Lake and Peninsula Borough,Alaska,02,164,15.9
Denali Borough,Alaska,02,068,16.9
Yukon-Koyukuk Census Area,Alaska,02,290,25.1
Hoonah-Angoon Census Area,Alaska,02,105,9.7
Skagway Municipality,Alaska,02,230,5.3
Yakutat City and Borough,Alaska,02,282,6.7
Ketchikan Gateway Borough,Alaska,02,130,10.5
Petersburg Borough,Alaska,02,195,8.2
Prince of Wales-Hyder Census Area,Alaska,02,198,15.2
Wrangell City and Borough,Alaska,02,275,7.8
Apache County,Arizona,04,001,35.3
Cochise County,Arizona,04,003,17.2
Coconino County,Arizona,04,005,18.9
Gila County,Arizona,04,007,22.5
Graham County,Arizona,04,009,21.3
Greenlee County,Arizona,04,011,11.9
Maricopa County,Arizona,04,013,14.7
Mohave County,Arizona,04,015,17.5
Navajo County,Arizona,04,017,28.5
Pima County,Arizona,04,019,17.8
Pinal County,Arizona,04,021,14.2
Santa Cruz County,Arizona,04,023,24.0
Yavapai County,Arizona,04,025,14.0
La Paz County,Arizona,04,012,22.1
Yuma County,Arizona,04,027,20.1
Arkansas County,Arkansas,05,001,20.0
Ashley County,Arkansas,05,003,20.2
Baxter County,Arkansas,05,005,14.0
Benton County,Arkansas,05,007,9.9
Boone County,Arkansas,05,009,14.9
Bradley County,Arkansas,05,011,23.2
Calhoun County,Arkansas,05,013,15.6
Carroll County,Arkansas,05,015,15.0
Chicot County,Arkansas,05,017,29.2
Clark County,Arkansas,05,019,19.8
Clay County,Arkansas,05,021,22.6
Cleburne County,Arkansas,05,023,14.6
Cleveland County,Arkansas,05,025,19.4
Columbia County,Arkansas,05,027,25.2
Conway County,Arkansas,05,029,18.2
Craighead County,Arkansas,05,031,18.4
Crawford County,Arkansas,05,033,15.9
Crittenden County,Arkansas,05,035,22.2
Cross County,Arkansas,05,037,16.7
Dallas County,Arkansas,05,039,14.3
Desha County,Arkansas,05,041,29.1
Drew County,Arkansas,05,043,21.4
Faulkner County,Arkansas,05,045,16.8
Franklin County,Arkansas,05,047,21.9
Fulton County,Arkansas,05,049,23.9
Garland County,Arkansas,05,051,18.6
Grant County,Arkansas,05,053,14.5
Greene County,Arkansas,05,055,16.3
Hempstead County,Arkansas,05,057,24.3
Hot Spring County,Arkansas,05,059,17.6
Howard County,Arkansas,05,061,19.2
Independence County,Arkansas,05,063,17.3
Izard County,Arkansas,05,065,17.1
Jackson County,Arkansas,05,067,23.3
Jefferson County,Arkansas,05,069,23.2
Johnson County,Arkansas,05,071,22.4
Lafayette County,Arkansas,05,073,22.2
Lawrence County,Arkansas,05,075,17.7
Lee County,Arkansas,05,077,26.0
Lincoln County,Arkansas,05,079,18.6
Little River County,Arkansas,05,081,15.8
Logan County,Arkansas,05,083,21.1
Lonoke County,Arkansas,05,085,12.2
Madison County,Arkansas,05,087,16.8
Marion County,Arkansas,05,089,20.6
Miller County,Arkansas,05,091,21.2
Mississippi County,Arkansas,05,093,25.8
Monroe County,Arkansas,05,095,28.1
Montgomery County,Arkansas,05,097,18.9
Nevada County,Arkansas,05,099,27.7
Newton County,Arkansas,05,101,14.2
Ouachita County,Arkansas,05,103,24.1
Perry County,Arkansas,05,105,17.0
Phillips County,Arkansas,05,107,33.2
Pike County,Arkansas,05,109,16.6
Poinsett County,Arkansas,05,111,21.8
Polk County,Arkansas,05,113,24.5
Pope County,Arkansas,05,115,18.5
Prairie County,Arkansas,05,117,15.7
Pulaski County,Arkansas,05,119,17.0
Randolph County,Arkansas,05,121,18.3
Saint Francis County,Arkansas,05,123,26.6
Saline County,Arkansas,05,125,8.5
Scott County,Arkansas,05,127,22.1
