County,State,State_FIPS,County_FIPS,unemployment_rate
Autauga County,Alabama,01,001,4.2
Baldwin County,Alabama,01,003,4.4
Barbour County,Alabama,01,005,9.5
Bibb County,Alabama,01,007,7.5
Blount County,Alabama,01,009,4.1
Bullock County,Alabama,01,011,11.1
Butler County,Alabama,01,013,6.7
Calhoun County,Alabama,01,015,8.8
Chambers County,Alabama,01,017,5.0
Cherokee County,Alabama,01,019,5.6
Chilton County,Alabama,01,021,7.1
Choctaw County,Alabama,01,023,10.6
Clarke County,Alabama,01,025,14.4
Clay County,Alabama,01,027,6.4
Cleburne County,Alabama,01,029,7.5
Coffee County,Alabama,01,031,5.9
Colbert County,Alabama,01,033,5.9
Conecuh County,Alabama,01,035,11.5
Coosa County,Alabama,01,037,5.8
Covington County,Alabama,01,039,8.7
Crenshaw County,Alabama,01,041,5.8
Cullman County,Alabama,01,043,5.5
Dale County,Alabama,01,045,8.8
Dallas County,Alabama,01,047,11.8
DeKalb County,Alabama,01,049,4.5
Elmore County,Alabama,01,051,6.2
Escambia County,Alabama,01,053,13.5
Etowah County,Alabama,01,055,6.5
Fayette County,Alabama,01,057,7.0
Franklin County,Alabama,01,059,6.1
Geneva County,Alabama,01,061,8.6
Greene County,Alabama,01,063,15.8
Hale County,Alabama,01,065,11.9
Henry County,Alabama,01,067,6.7
Houston County,Alabama,01,069,7.0
Jackson County,Alabama,01,071,5.9
Jefferson County,Alabama,01,073,7.3
Lamar County,Alabama,01,075,8.0
Lauderdale County,Alabama,01,077,5.3
Lawrence County,Alabama,01,079,5.7
Lee County,Alabama,01,081,5.7
Limestone County,Alabama,01,083,6.9
Lowndes County,Alabama,01,085,11.5
Macon County,Alabama,01,087,12.1
Madison County,Alabama,01,089,5.8
Marengo County,Alabama,01,091,9.7
Marion County,Alabama,01,093,5.6
Marshall County,Alabama,01,095,5.1
Mobile County,Alabama,01,097,6.2
Monroe County,Alabama,01,099,17.5
Montgomery County,Alabama,01,101,7.6
Morgan County,Alabama,01,103,5.2
Perry County,Alabama,01,105,12.3
Pickens County,Alabama,01,107,10.6
Pike County,Alabama,01,109,8.0
Randolph County,Alabama,01,111,5.0
Russell County,Alabama,01,113,7.8
Saint Clair County,Alabama,01,115,5.3
Shelby County,Alabama,01,117,4.0
Sumter County,Alabama,01,119,12.1
Talladega County,Alabama,01,121,8.8
Tallapoosa County,Alabama,01,123,10.4
Tuscaloosa County,Alabama,01,125,6.3
Walker County,Alabama,01,127,8.8
Washington County,Alabama,01,129,8.5
Wilcox County,Alabama,01,131,15.5
Winston County,Alabama,01,133,7.6
Anchorage Municipality,Alaska,02,020,5.6
Bethel Census Area,Alaska,02,050,18.3
Bristol Bay Borough,Alaska,02,060,8.1
Fairbanks North Star Borough,Alaska,02,090,7.0
Haines Borough,Alaska,02,100,3.7
Juneau City and Borough,Alaska,02,110,5.8
Kenai Peninsula Borough,Alaska,02,122,7.8
Kodiak Island Borough,Alaska,02,150,5.2
Matanuska-Susitna Borough,Alaska,02,170,9.5
Nome Census Area,Alaska,02,180,16.7
North Slope Borough,Alaska,02,185,9.0
