STATEFP,COUNTYFP,NAME,GEOID,year,Buffalo,Cattle,Chicken,Duck,Goat,Horse,Pig,Sheep
1,1,Autauga,1001,2015,104.3041930119579,751.91364,3564.1516,0.20250249,48.992966,76.93117,4.8612585,15.290756
1,3,Baldwin,1003,2015,0.0,365.0471,9.293694,2.3668876,15.742481,78.074905,2.870961,8.207922
1,5,Barbour,1005,2015,74.77706174135278,674.77893,171882.19,0.58179104,8.82038,30.14286,4.2026963,9.381777
1,7,Bibb,1007,2015,0.0,337.041,1210.5024,7.9254303,15.147767,59.926815,43.41419,0.79731464
1,9,Blount,1009,2015,0.0,1851.6372,637436.4,12.410425,26.274004,224.7308,11.894098,40.105366
1,11,Bullock,1011,2015,0.0,469.8213,24223.912,11.400855,21.771502,44.997787,1.0114806,3.0137408
1,13,Butler,1013,2015,0.0,433.07846,240392.55,6.613896,21.049307,60.965626,51.792286,2.4468534
1,15,Calhoun,1015,2015,157.19852335770295,842.51776,111145.445,6.839918,40.208683,249.15576,45.284874,8.09545
1,17,Chambers,1017,2015,0.0,865.1379,840.3012,0.29472035,25.947094,66.082924,3.6673708,5.0714073
1,19,Cherokee,1019,2015,0.0,597.39557,360466.9,13.259882,22.646198,86.735756,73.178085,12.076305
1,21,Chilton,1021,2015,96.95676495816478,512.16,68.98972,7.3213,28.977936,98.66841,7.4721723,13.787527
1,23,Choctaw,1023,2015,0.0,185.4596,13401.844,1.4833497,5.144751,15.013081,4.188423,2.9762204
1,25,Clarke,1025,2015,0.0,156.46527,65.14363,13.048937,11.807194,32.70282,0.84460163,6.008932
1,27,Clay,1027,2015,0.0,768.26715,203473.3,2.875341,11.130282,52.29625,1.8625991,15.4109125
1,29,Cleburne,1029,2015,0.0,634.04333,315153.6,2.0062473,15.991501,65.409195,9.31497,4.394237
1,31,Coffee,1031,2015,218.27143006999088,1204.7397,396927.7,5.535216,31.180147,88.475174,0.5622341,13.326968
1,33,Colbert,1033,2015,0.0,659.1858,54394.59,23.836952,16.237236,174.89882,6.861237,34.454052
1,35,Conecuh,1035,2015,0.0,366.62335,3504.796,4.8836102,15.202522,51.42919,39.24925,6.7322764
1,37,Coosa,1037,2015,0.0,227.40157,494.011,0.25977534,2.9734735,46.51236,4.2733736,4.735614
1,39,Covington,1039,2015,0.0,761.1026,146303.81,26.842262,28.850677,61.59172,5.8102913,15.524608
1,41,Crenshaw,1041,2015,0.0,970.96466,429897.5,11.892198,17.178392,63.75221,3.842243,4.134159
1,43,Cullman,1043,2015,121.87554327734276,1984.4983,879081.9,6.1052046,82.57634,230.18883,22.880648,24.750284
1,45,Dale,1045,2015,0.0,665.0212,478338.6,15.22961,24.776392,77.788826,1.1521575,14.987319
1,47,Dallas,1047,2015,0.0,705.59125,603.56006,0.48457533,12.219949,48.59845,5.7326803,4.1508555
1,49,DeKalb,1049,2015,93.50925698756208,2005.1227,891710.44,7.02423,69.40673,208.99762,572.7911,42.079796
1,51,Elmore,1051,2015,0.0,496.51056,239.3703,20.75891,35.498066,113.301216,8.576898,16.458559
1,53,Escambia,1053,2015,0.0,282.23242,940.3218,2.4473267,15.189692,52.50551,3.644896,3.341114
1,55,Etowah,1055,2015,0.0,912.1208,238638.53,17.185205,57.201164,139.60788,11.318195,29.581514
1,57,Fayette,1057,2015,0.0,434.46082,44045.19,11.811547,13.933599,48.770164,3.4011292,13.229578
1,59,Franklin,1059,2015,0.0,1036.5822,302131.7,3.6880233,39.118423,89.60757,2.3174498,46.397694
1,61,Geneva,1061,2015,1.124999955958458,1511.9103,275240.34,21.378195,48.70404,95.10639,2.8189933,8.080993
1,63,Greene,1063,2015,0.0,537.7152,1841.4012,2.26373,18.125345,25.301493,8.34237,0.6206634
1,65,Hale,1065,2015,0.0,1103.075,26.941694,1.1889917,6.371334,38.56165,8.13074,10.680079
1,67,Henry,1067,2015,0.0,924.14136,291674.7,2.216088,10.1799135,44.776985,9.267906,18.272196
1,69,Houston,1069,2015,0.0,1035.4142,20408.154,7.24753,37.766373,165.78099,8.075774,3.6722448
1,71,Jackson,1071,2015,0.4761904586110373,910.73083,186500.78,7.0766516,52.856045,117.096176,25.924007,40.98426
1,73,Jefferson,1073,2015,0.0,149.33531,7998.8506,9.628409,13.0532055,56.76191,7.6735134,5.923319
1,75,Lamar,1075,2015,0.0,274.30222,36298.094,9.898695,11.870502,46.22158,3.8762937,11.349082
1,77,Lauderdale,1077,2015,91.49279639824871,1094.8595,47806.613,11.229804,79.63106,268.47705,21.633904,37.780724
1,79,Lawrence,1079,2015,0.5833333612920178,1202.7382,347523.56,8.976703,46.263645,264.7664,28.268206,21.530313
1,81,Lee,1081,2015,0.0,361.9741,1880.2404,4.900105,24.829462,98.787796,45.042355,62.730846
1,83,Limestone,1083,2015,0.0,940.3853,97765.305,29.335737,102.23817,191.05296,89.24105,34.487217
1,85,Lowndes,1085,2015,0.0,1494.1609,115535.37,2.5741267,13.271697,82.38258,7.9861603,19.632519
1,87,Macon,1087,2015,0.0,529.7324,1108.8937,13.30914,27.324501,88.3306,3.6333892,14.128876
1,89,Madison,1089,2015,165.78503166346573,561.72797,7536.0205,13.444471,47.00519,203.70763,11.4028,14.444286
1,91,Marengo,1091,2015,0.0,558.27167,47.40481,12.446869,12.230252,40.7651,5.948497,2.3350747
1,93,Marion,1093,2015,0.0,556.34436,269827.56,3.9425395,12.52802,142.49472,7.4531713,6.2775397
1,95,Marshall,1095,2015,141.32174740662307,1625.8262,614520.25,20.570486,62.686245,313.33383,40.6542,38.305874
1,97,Mobile,1097,2015,0.0,398.11566,235.1466,9.339963,21.970606,80.28557,6.686398,11.443573
1,99,Monroe,1099,2015,0.0,410.21716,15.867501,2.1689136,40.010284,43.632477,4.3294983,5.3422165
1,101,Montgomery,1101,2015,0.0,1551.8693,33238.336,24.75225,40.571877,132.68523,7.632244,3.5034819
1,103,Morgan,1103,2015,0.0,1235.6871,183831.97,17.659548,53.073196,251.57838,32.971462,39.462387
1,105,Perry,1105,2015,0.0,596.9202,29.754057,8.81732,12.80286,43.513973,1.2692242,0.84539646
1,107,Pickens,1107,2015,0.0,417.25873,107513.94,1.7823453,12.52236,45.61556,95.50128,1.1742892
1,109,Pike,1109,2015,0.0,937.7216,265130.3,1.3262378,13.815708,88.4215,1.9189675,5.724697
1,111,Randolph,1111,2015,0.0,1136.9403,407052.28,1.2938622,19.534609,85.04597,9.084552,9.825185
1,113,Russell,1113,2015,95.82321584164528,321.58157,816.3356,0.3054542,18.341412,69.350845,3.761997,30.94024
1,115,St. Clair,1115,2015,0.0,481.88742,140364.84,17.419636,22.117275,112.591515,15.386234,7.447632
1,117,Shelby,1117,2015,141.98954134016782,305.204,682.68616,15.823898,21.925371,153.02565,11.360215,4.0429745
1,119,Sumter,1119,2015,0.0,572.51056,409.5423,2.3639696,1.1790814,48.315746,48.406116,9.7946205
1,121,Talladega,1121,2015,0.0,474.32687,36736.316,9.7724905,17.36144,111.315735,10.318255,9.286755
1,123,Tallapoosa,1123,2015,0.0,312.38443,28641.572,3.1722317,17.411903,84.26552,4.7971926,4.0383844
1,125,Tuscaloosa,1125,2015,93.88250614216275,210.29906,32787.902,9.577213,19.926262,76.96344,1.4996716,7.5995736
1,127,Walker,1127,2015,0.0,372.32358,98633.336,5.097599,16.45774,81.49422,4.754265,6.5429115
1,129,Washington,1129,2015,0.0,277.19772,13752.249,26.421188,23.005264,25.422255,5.012907,8.116519
1,131,Wilcox,1131,2015,55.281202839863134,504.0637,2298.1084,0.19239767,18.201986,24.910309,3.9493926,3.4131026
1,133,Winston,1133,2015,0.0,559.7506,97807.56,4.3067193,27.633999,79.5098,2.680432,10.829659
2,13,Aleutians East,2013,2015,0.0,18.592205,1.1620595,0.35602683,0.034983553,2.7979207,12.571028,6.330274
2,16,Aleutians West,2016,2015,0.0,19.088684,36.61541,12.173863,6.1613164,14.108816,9.619735,9.117733
2,20,Anchorage,2020,2015,0.0,7.178826,34.017178,2.9575233,2.4285805,7.4040203,4.247898,1.7586238
2,50,Bethel,2050,2015,0.0,13.087553,22.925688,14.550938,3.1302834,13.002102,13.880055,6.109637
2,60,Bristol Bay,2060,2015,0.0,10.850217,13.693623,19.795265,2.3870258,11.4615,9.690291,4.0636225
2,68,Denali,2068,2015,0.0,8.822029,14.885741,6.98503,2.1401932,8.091816,7.020595,3.188548
2,70,Dillingham,2070,2015,0.0,11.244733,24.95612,14.262101,2.7031884,11.305443,18.052052,5.7345715
2,90,Fairbanks North Star,2090,2015,1.058161355117091,3.2629712,5.038067,0.9534445,0.43932036,2.6261828,1.6844454,0.4991633
2,100,Haines,2100,2015,0.0,17.169018,36.5392,22.057335,4.8376613,16.745441,15.706643,8.749521
2,105,Hoonah-Angoon,2105,2015,0.0,2.7116146,6.3272634,4.6615477,0.83383346,2.2603114,2.6166744,1.4610131
2,110,Juneau,2110,2015,0.0,16.851831,4.6633205,1.2102609,5.3814883,1.5697169,13.443347,0.34714708
2,122,Kenai Peninsula,2122,2015,0.0,9.497443,1.5618587,0.26845536,3.0734637,0.5037105,0.09152641,4.3549557
2,130,Ketchikan Gateway,2130,2015,0.0,4.348517,12.851042,9.63262,1.4033093,3.3773146,2.5841136,2.468218
2,150,Kodiak Island,2150,2015,0.0,20.5771,33.664425,24.761986,6.1648455,17.313255,22.16812,9.730719
2,158,Kusilvak,2158,2015,0.0,11.475455,21.0427,15.382976,2.42875,12.644435,11.464051,5.6014576
2,164,Lake and Peninsula,2164,2015,0.0,13.687581,20.977015,13.569378,3.486171,13.418188,13.298788,5.5094066
2,170,Matanuska-Susitna,2170,2015,0.0,15.125042,32.16893,14.054548,3.6311905,14.988092,17.943039,7.3265405
2,180,Nome,2180,2015,0.0,13.209014,28.64358,13.924655,2.8517787,14.330611,14.036919,5.5624776
2,185,North Slope,2185,2015,0.0,6.0797725,12.399804,3.4778998,1.0498648,5.418379,7.4788637,2.588829
2,188,Northwest Arctic,2188,2015,0.0,9.051355,20.496983,9.230276,2.042553,9.788386,10.939689,4.2481337
2,195,Petersburg,2195,2015,0.0,13.195866,31.992641,17.398636,4.3953567,10.267159,7.4656515,6.0306425
2,198,Prince of Wales-Hyder,2198,2015,0.0,16.652702,41.13466,24.5505,4.6440153,9.657484,7.18775,8.007553
2,220,Sitka,2220,2015,0.0,12.971843,31.300034,20.15688,3.6245408,10.609575,8.75192,5.799569
2,230,Skagway,2230,2015,0.0,17.019835,30.047085,16.105614,4.1275563,16.20247,9.781408,8.426752
2,240,Southeast Fairbanks,2240,2015,0.0,12.451125,24.38599,13.434468,3.067476,12.327409,11.229782,5.451817
2,261,Valdez-Cordova,2261,2015,0.0,9.114635,17.736303,9.321309,2.3302767,8.154143,8.447446,4.2854514
2,275,Wrangell,2275,2015,0.0,14.680236,35.654846,24.198784,4.4363494,12.969472,9.707045,6.9400043
2,282,Yakutat,2282,2015,0.0,7.835445,16.528496,9.067905,2.2174807,7.3747354,5.726925,3.2250168
2,290,Yukon-Koyukuk,2290,2015,0.0,12.056501,22.560053,12.188045,2.647523,11.213564,10.754252,4.453422
4,1,Apache,4001,2015,0.0,87.53912,10.299281,1.8836459,54.167038,182.60774,0.7267618,158.71773
4,3,Cochise,4003,2015,0.0,542.7436,45.872902,4.972057,8.418398,48.548782,3.543752,5.557237
4,5,Coconino,4005,2015,0.0,58.723145,2.9639258,0.39989406,11.765482,32.35149,0.1042045,36.20255
4,7,Gila,4007,2015,0.0,85.67842,20.342384,6.5736165,1.8550922,42.758656,0.11995483,1.1860408
4,9,Graham,4009,2015,0.0,78.541,9.19342,1.2754366,1.7928203,24.372932,3.7866783,1.6332542
4,11,Greenlee,4011,2015,0.0,111.852455,6.3723593,0.040688056,3.0150335,24.749857,0.20341095,10.09096
4,12,La Paz,4012,2015,0.0,171.26949,18.341995,0.18846866,1.0414778,2.130379,3.2075598,2.7128477
4,13,Maricopa,4013,2015,53.49518459650874,562.9864,2.6108687,4.7576914,8.763306,108.08991,3.1410692,7.7289395
4,15,Mohave,4015,2015,0.0,37.722145,10.554648,7.1415634,0.63760054,8.8013,0.46722,32.876076
4,17,Navajo,4017,2015,0.0,76.18158,16.01688,1.5900221,43.046165,141.57211,19.85636,122.701836
4,19,Pima,4019,2015,64.50712875134859,50.81904,12.07533,2.854565,2.175245,47.137524,5.453054,1.812501
4,21,Pinal,4021,2015,0.2717948673385436,1364.6691,18.446238,1.3009492,3.3325799,51.251133,1.1549759,56.898453
4,23,Santa Cruz,4023,2015,0.0,346.6848,14.303285,0.12238288,5.262092,71.47417,0.4154606,1.5109589
4,25,Yavapai,4025,2015,35.44687046097546,138.77806,25.069681,3.222231,2.8487148,49.372665,0.30119908,2.7202759
4,27,Yuma,4027,2015,0.0,163.03473,71.44521,2.0049176,1.4001637,13.048377,2.102328,47.997814
5,1,Arkansas,5001,2015,0.0,64.19065,147.44183,7.6913977,1.1770439,14.485029,103.47407,0.3412689
5,3,Ashley,5003,2015,0.0,102.05866,675.2419,0.45240346,3.380769,46.25004,56.07394,1.6273631
5,5,Baxter,5005,2015,0.0,798.1088,3981.0378,0.23667958,21.76031,83.06802,2.6735225,17.785574
5,7,Benton,5007,2015,0.2580645151288283,2747.5605,703197.44,19.19744,43.823807,226.24019,113.25992,34.45488
5,9,Boone,5009,2015,18.27029373535616,3314.0757,126680.85,12.007006,97.19578,178.362,71.44288,38.44011
5,11,Bradley,5011,2015,0.0,151.58344,39240.457,2.8460395,6.506729,20.250788,1.868725,5.1628633
5,13,Calhoun,5013,2015,0.0,138.37683,6061.5845,4.572287,3.7081873,30.553545,2.8486962,7.780705
5,15,Carroll,5015,2015,17.854170114492998,3105.1978,419232.5,38.49783,57.65167,148.3879,7.7471485,19.710989
5,17,Chicot,5017,2015,0.0,161.85472,3.5827658,1.4788396,6.8370886,18.179813,9.820292,14.714168
5,19,Clark,5019,2015,0.0,383.88025,10098.219,7.142432,15.283911,58.346962,2.6470692,4.356979
5,21,Clay,5021,2015,0.0,270.19495,69144.34,2.3338072,3.5717404,70.39538,4.655711,15.954362
5,23,Cleburne,5023,2015,22.95495337320264,1201.1268,98233.02,2.0596774,23.861197,149.65572,5.8880005,11.807674
5,25,Cleveland,5025,2015,0.0,217.91916,294386.5,0.28009525,6.678977,24.81031,41.072845,0.6030212
5,27,Columbia,5027,2015,0.0,399.21848,85390.39,13.715688,7.6883283,64.787384,5.008897,1.0956602
5,29,Conway,5029,2015,0.0,1550.817,295875.06,4.6683908,25.974405,169.20726,539.64685,13.258991
5,31,Craighead,5031,2015,0.0,178.0367,496.94232,17.603304,10.680878,67.738396,5.5360346,6.5331225
5,33,Crawford,5033,2015,0.0,1167.8641,58353.598,13.038259,36.834923,136.80586,9.783684,16.21482
5,35,Crittenden,5035,2015,0.0,26.583666,38.06267,5.456699,4.28072,13.608001,1.1447074,4.883014
5,37,Cross,5037,2015,0.0,90.01825,18.826017,0.3358652,0.37323892,10.417828,5.640324,20.726374
5,39,Dallas,5039,2015,0.0,129.67284,3695.4312,0.46951494,7.0447264,23.829407,1.8478912,2.5748305
5,41,Desha,5041,2015,0.0,35.53174,705.8349,0.3389579,2.8836067,10.33217,7.879464,0.8692213
