Variable,Target_Correlation,Abs_Target_Correlation,VIF
Median Household Income,0.653324230152406,0.653324230152406,53.259542921453985
Poverty Rate,-0.6479477597353025,0.6479477597353025,38.203266348105956
Disability Rate,-0.640858022489069,0.640858022489069,36.006847103303016
Bachelor's Degree or Higher (%),0.6375632115443468,0.6375632115443468,17.56481969828122
High School Degree or Higher (%),0.5519478693663113,0.5519478693663113,278.7808604421424
Unemployment Rate,-0.43996451102706574,0.43996451102706574,10.117227479796203
Single Mother Families (%),-0.4273209240912949,0.4273209240912949,21.887669644167936
Black Population (%),-0.38351437510528397,0.38351437510528397,5.977963907606293
White Population (%),0.3351922122647391,0.3351922122647391,115.40953863848706
Households with No Vehicle (%),-0.2851393986510084,0.2851393986510084,6.787482893737178
Gini Index,-0.27813452373868436,0.27813452373868436,272.1306012000073
Total Population,0.20286558489276119,0.20286558489276119,1.4752582500596685
Hispanic Population (%),0.14995324936130983,0.14995324936130983,2.1481715171428313
Median Age,0.07514142578249153,0.07514142578249153,129.4005899074378
Rent Burden (+50% of HI),0.019499018417654782,0.019499018417654782,15.205859632113834
