Variable,VIF
High School Degree or Higher (%),278.7808604421424
Gini Index,272.1306012000073
Median Age,129.4005899074378
White Population (%),115.40953863848706
Median Household Income,53.259542921453985
Poverty Rate,38.203266348105956
Disability Rate,36.006847103303016
Single Mother Families (%),21.887669644167936
Bachelor's Degree or Higher (%),17.56481969828122
Rent Burden (+50% of HI),15.205859632113834
Unemployment Rate,10.117227479796203
Households with No Vehicle (%),6.787482893737178
Black Population (%),5.977963907606293
Hispanic Population (%),2.1481715171428313
Total Population,1.4752582500596685
