Correlated Pair,Correlation,Keep,Drop,Reason
Sea salt aerosol (0.03-0.5 µm) mixing ratio <-> Sea salt aerosol (0.5-5 µm) mixing ratio,0.9996370161552595,Sea salt aerosol (0.5-5 µm) mixing ratio,Sea salt aerosol (0.03-0.5 µm) mixing ratio,Higher target correlation (0.053 vs 0.044)
Wet bulb temperature <-> FoT Temperature below25ᵗʰ percentile,-0.9672763402148203,Wet bulb temperature,FoT Temperature below25ᵗʰ percentile,Higher target correlation (0.473 vs 0.450)
FoT Temperature above75ᵗʰ percentile <-> FoT Temperature below25ᵗʰ percentile,-0.9543401709082036,FoT Temperature below25ᵗʰ percentile,FoT Temperature above75ᵗʰ percentile,Higher target correlation (0.450 vs 0.434)
Isoprene <-> FoT Isoprene above75ᵗʰ percentile,0.9432423338713726,Isoprene,FoT Isoprene above75ᵗʰ percentile,Higher target correlation (0.507 vs 0.531)
Sea salt aerosol (0.5-5 µm) mixing ratio <-> Sea salt aerosol (5-20 µm) mixing ratio,0.9371211154939848,Sea salt aerosol (5-20 µm) mixing ratio,Sea salt aerosol (0.5-5 µm) mixing ratio,Higher target correlation (0.109 vs 0.053)
FoT Formaldehyde above75ᵗʰ percentile <-> FoT Isoprene above75ᵗʰ percentile,0.9346948858498866,FoT Isoprene above75ᵗʰ percentile,FoT Formaldehyde above75ᵗʰ percentile,Higher target correlation (0.531 vs 0.564)
Wet bulb temperature <-> FoT Temperature above75ᵗʰ percentile,0.9334750762582916,Wet bulb temperature,FoT Temperature above75ᵗʰ percentile,Higher target correlation (0.473 vs 0.434)
Sea salt aerosol (0.03-0.5 µm) mixing ratio <-> Sea salt aerosol (5-20 µm) mixing ratio,0.9314413078327572,Sea salt aerosol (5-20 µm) mixing ratio,Sea salt aerosol (0.03-0.5 µm) mixing ratio,Higher target correlation (0.109 vs 0.044)
FoT Hydrogen peroxide above75ᵗʰ percentile <-> FoT Temperature above75ᵗʰ percentile,0.9305227456464832,FoT Hydrogen peroxide above75ᵗʰ percentile,FoT Temperature above75ᵗʰ percentile,Higher target correlation (0.405 vs 0.434)
Hydrophilic organic matter aerosol mixing ratio <-> Hydrophobic organic matter aerosol mixing ratio,0.9298706819445653,Hydrophobic organic matter aerosol mixing ratio,Hydrophilic organic matter aerosol mixing ratio,Higher target correlation (0.123 vs 0.160)
FoT Formaldehyde above75ᵗʰ percentile <-> FoT Peroxyacetyl Nitrate above75ᵗʰ percentile,0.9193764463844738,FoT Formaldehyde above75ᵗʰ percentile,FoT Peroxyacetyl Nitrate above75ᵗʰ percentile,Higher target correlation (0.564 vs 0.499)
Dust AOD at 550 nm <-> Dust aerosol (0.55-0.9 µm) mixing ratio,0.9151636160199699,Dust AOD at 550 nm,Dust aerosol (0.55-0.9 µm) mixing ratio,Higher target correlation (0.350 vs 0.308)
Hydroxyl radical <-> FoT Hydroxyl radical above75ᵗʰ percentile,0.8930194596962183,Hydroxyl radical,FoT Hydroxyl radical above75ᵗʰ percentile,Higher target correlation (0.306 vs 0.147)
Sea salt AOD at 550 nm <-> Sea salt aerosol (0.03-0.5 µm) mixing ratio,0.8858403030978258,Sea salt AOD at 550 nm,Sea salt aerosol (0.03-0.5 µm) mixing ratio,Higher target correlation (0.086 vs 0.044)
Ethane <-> Hydrophobic organic matter aerosol mixing ratio,0.8856261832844385,Hydrophobic organic matter aerosol mixing ratio,Ethane,Higher target correlation (0.123 vs 0.195)
Sea salt AOD at 550 nm <-> Sea salt aerosol (0.5-5 µm) mixing ratio,0.8812026129925132,Sea salt AOD at 550 nm,Sea salt aerosol (0.5-5 µm) mixing ratio,Higher target correlation (0.086 vs 0.053)
Ethane <-> Hydrophobic black carbon aerosol mixing ratio,0.880629204647305,Hydrophobic black carbon aerosol mixing ratio,Ethane,Higher target correlation (0.114 vs 0.195)
FoT Ethane above75ᵗʰ percentile <-> FoT Propane above75ᵗʰ percentile,0.8769529925799212,FoT Propane above75ᵗʰ percentile,FoT Ethane above75ᵗʰ percentile,Higher target correlation (0.107 vs 0.120)
FoT Hydrogen peroxide above75ᵗʰ percentile <-> FoT Temperature below25ᵗʰ percentile,-0.8731809229902612,FoT Hydrogen peroxide above75ᵗʰ percentile,FoT Temperature below25ᵗʰ percentile,Higher target correlation (0.405 vs 0.450)
Dust AOD at 550 nm <-> FoT Hydrogen peroxide above75ᵗʰ percentile,0.8695371689345981,Dust AOD at 550 nm,FoT Hydrogen peroxide above75ᵗʰ percentile,Higher target correlation (0.350 vs 0.405)
Isoprene <-> FoT Formaldehyde above75ᵗʰ percentile,0.8676142966036455,Isoprene,FoT Formaldehyde above75ᵗʰ percentile,Higher target correlation (0.507 vs 0.564)
Sulphate AOD at 550 nm <-> Sulphate aerosol mixing ratio,0.8656495202019194,Sulphate aerosol mixing ratio,Sulphate AOD at 550 nm,Higher target correlation (0.315 vs 0.432)
Carbon monoxide <-> Ethane,0.8631933887957183,Ethane,Carbon monoxide,Higher target correlation (0.195 vs 0.030)
Carbon monoxide <-> Hydrophobic organic matter aerosol mixing ratio,0.8573557425472319,Hydrophobic organic matter aerosol mixing ratio,Carbon monoxide,Higher target correlation (0.123 vs 0.030)
Hydrophobic black carbon aerosol mixing ratio <-> Hydrophobic organic matter aerosol mixing ratio,0.8560576735301649,Hydrophobic black carbon aerosol mixing ratio,Hydrophobic organic matter aerosol mixing ratio,Higher target correlation (0.114 vs 0.123)
Wet bulb temperature <-> FoT Hydrogen peroxide above75ᵗʰ percentile,0.853367354358924,FoT Hydrogen peroxide above75ᵗʰ percentile,Wet bulb temperature,Higher target correlation (0.405 vs 0.473)
