County,State,mean_life_expectancy,State_FIPS,County_FIPS,Total Population
Autauga County,Alabama,75.836928054027,01,001,54907
Baldwin County,Alabama,77.8587885068867,01,003,187114
Barbour County,Alabama,75.6039658679806,01,005,27321
Bibb County,Alabama,73.8813807110977,01,007,22754
Blount County,Alabama,75.6352536319274,01,009,57623
Bullock County,Alabama,74.4021306908516,01,011,10746
Butler County,Alabama,73.935514642706,01,013,20624
Calhoun County,Alabama,73.6916993651565,01,015,117714
Chambers County,Alabama,74.3709084353389,01,017,34145
Cherokee County,Alabama,74.7690226049665,01,019,26034
Chilton County,Alabama,74.2037941937705,01,021,43744
Choctaw County,Alabama,74.7667739361553,01,023,13687
Clarke County,Alabama,75.3078949980348,01,025,25573
Clay County,Alabama,74.5125281044463,01,027,13703
Cleburne County,Alabama,74.2119718397456,01,029,14945
Coffee County,Alabama,76.8029854382398,01,031,50468
Colbert County,Alabama,74.7012544694018,01,033,54456
Conecuh County,Alabama,73.8578396157111,01,035,13104
Coosa County,Alabama,75.0708584990442,01,037,11198
Covington County,Alabama,74.939706372746,01,039,37847
Crenshaw County,Alabama,74.4540874550923,01,041,13955
Cullman County,Alabama,74.9509513238576,01,043,80499
Dale County,Alabama,76.1296959155196,01,045,50102
Dallas County,Alabama,72.2967105227705,01,047,43091
DeKalb County,Alabama,74.7966732959206,01,049,71076
Elmore County,Alabama,75.8412881424909,01,051,79895
Escambia County,Alabama,73.8523605614612,01,053,38169
Etowah County,Alabama,73.3079475598584,01,055,104260
Fayette County,Alabama,74.057058159905,01,057,17110
Franklin County,Alabama,73.349841367943,01,059,31666
Geneva County,Alabama,75.2540134208833,01,061,26791
Greene County,Alabama,74.5251950347399,01,063,8934
Hale County,Alabama,74.2120689147012,01,065,15594
Henry County,Alabama,75.9013490151937,01,067,17308
Houston County,Alabama,76.6049969181304,01,069,102326
Jackson County,Alabama,73.6075996652594,01,071,53171
Jefferson County,Alabama,75.0012975222472,01,073,658552
Lamar County,Alabama,74.594659571128,01,075,14396
Lauderdale County,Alabama,76.2574810844103,01,077,92666
Lawrence County,Alabama,74.025639809588,01,079,34009
