County,State,mean_life_expectancy,State_FIPS,County_FIPS,Poverty Rate,Black Population,High School Degree or Higher (%),Bachelor's Degree or Higher (%),Total Families,Gini Index,Median Age,Disability Rate,Rent Denominator,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Median Household Income,No Vehicle (Owner),Total Families (Single Mother),Total Occupied Households,No Vehicle (Renter),Unemployment Rate,Year
Autauga County,Alabama,75.836928054027,1,1,12.1,10076,84.8,22.6,14132,0.4031,37.5,15.3,4653,1365,1033,54907,42997,53682,447,1654,20071,498,9.4,2013
Baldwin County,Alabama,77.8587885068867,1,3,13.9,17733,87.9,28.5,51903,0.4455,41.5,14.0,20058,8322,3902,187114,161737,50221,1059,4376,73283,1176,9.2,2013
Barbour County,Alabama,75.6039658679806,1,5,26.7,12675,71.0,12.4,6062,0.4658,38.3,20.3,2973,1339,693,27321,12960,32911,253,1003,9200,621,14.3,2013
Bibb County,Alabama,73.8813807110977,1,7,18.1,4937,75.2,12.9,5337,0.45,39.4,16.3,1492,443,361,22754,17461,36447,175,589,7091,140,12.2,2013
Blount County,Alabama,75.6352536319274,1,9,15.8,818,75.2,11.7,15667,0.4144,39.6,16.8,4000,4800,601,57623,54890,44145,365,1214,21108,391,9.7,2013
Bullock County,Alabama,74.4021306908516,1,11,21.6,7614,68.1,8.4,2389,0.4899,39.6,18.5,960,611,244,10746,3001,32033,362,366,3741,275,15.0,2013
Butler County,Alabama,73.935514642706,1,13,28.4,9024,73.9,13.1,5346,0.4659,40.6,20.7,2447,220,570,20624,11300,29918,285,852,8235,559,14.8,2013
Calhoun County,Alabama,73.6916993651565,1,15,21.9,24385,78.5,16.8,29999,0.4594,38.7,18.9,14168,3953,3440,117714,88358,39962,1047,3323,45196,1832,14.2,2013
Chambers County,Alabama,74.3709084353389,1,17,24.1,13737,71.7,12.8,8999,0.4773,42.4,21.1,4398,174,1256,34145,19881,32402,476,1473,13722,705,17.2,2013
Cherokee County,Alabama,74.7690226049665,1,19,21.2,1257,80.1,12.1,8384,0.4639,45.0,21.7,2790,357,497,26034,24216,34907,163,800,11656,248,10.5,2013
Chilton County,Alabama,74.2037941937705,1,21,19.5,4358,73.2,12.3,12109,0.4356,38.0,17.4,4139,3356,895,43744,37447,41250,436,1185,16232,425,10.3,2013
Choctaw County,Alabama,74.7667739361553,1,23,21.5,5888,73.6,12.2,3552,0.4814,44.2,24.8,898,39,141,13687,7621,33941,249,382,5518,210,14.1,2013
Clarke County,Alabama,75.3078949980348,1,25,29.3,11336,79.0,10.3,6219,0.5205,40.3,18.3,2612,118,401,25573,13798,29357,467,1053,9631,623,18.9,2013
Clay County,Alabama,74.5125281044463,1,27,19.0,2090,72.9,7.3,3920,0.4322,42.1,20.0,1412,415,192,13703,11240,34002,117,502,5649,216,12.9,2013
Cleburne County,Alabama,74.2119718397456,1,29,18.4,530,74.3,8.2,4036,0.4346,41.3,18.9,1254,320,157,14945,14143,38019,176,329,5601,168,11.2,2013
Coffee County,Alabama,76.8029854382398,1,31,18.6,8563,81.5,24.1,12998,0.4509,37.8,17.3,5667,3217,1244,50468,38896,43768,345,1600,18820,807,7.7,2013
Colbert County,Alabama,74.7012544694018,1,33,17.9,8853,83.6,17.0,15112,0.4385,41.7,19.7,6212,1201,1233,54456,43672,39077,515,1461,22260,912,9.9,2013
Conecuh County,Alabama,73.8578396157111,1,35,32.7,5856,72.1,8.8,3438,0.5244,43.2,22.0,1044,191,234,13104,6836,24658,351,455,4994,251,24.8,2013
Coosa County,Alabama,75.0708584990442,1,37,20.9,3424,71.8,7.4,2891,0.4259,44.7,20.1,766,229,139,11198,7587,37277,131,257,4506,156,17.7,2013
Covington County,Alabama,74.939706372746,1,39,20.0,4799,77.4,13.0,10292,0.4568,42.4,21.9,3748,544,749,37847,31992,35869,359,1283,15041,531,11.0,2013
Crenshaw County,Alabama,74.4540874550923,1,41,19.1,3172,76.1,9.6,3700,0.4828,40.6,19.3,1685,231,295,13955,10131,36275,115,468,5601,257,9.5,2013
Cullman County,Alabama,74.9509513238576,1,43,18.8,917,77.6,14.7,22418,0.4489,40.4,17.1,7845,3451,1633,80499,77157,38847,527,2055,31342,990,9.7,2013
Dale County,Alabama,76.1296959155196,1,45,17.4,9690,84.4,17.2,12785,0.4434,36.1,19.7,7520,2845,1262,50102,37616,44889,343,1585,19345,832,10.4,2013
Dallas County,Alabama,72.2967105227705,1,47,35.5,29630,76.8,12.1,9770,0.5268,38.0,21.3,6326,340,1559,43091,12600,26519,670,2175,16173,1792,20.0,2013
DeKalb County,Alabama,74.7966732959206,1,49,19.9,1293,69.9,10.0,18179,0.4397,38.8,15.9,5901,9790,672,71076,64749,37851,460,1327,24923,515,11.4,2013
Elmore County,Alabama,75.8412881424909,1,51,13.4,16365,83.9,20.6,20863,0.4083,37.8,14.9,6927,2152,1231,79895,60425,54766,519,2122,28324,657,8.9,2013
Escambia County,Alabama,73.8523605614612,1,53,25.4,12370,71.8,10.5,9321,0.4777,39.4,20.3,3766,756,835,38169,23832,30687,497,1325,13681,467,15.8,2013
Etowah County,Alabama,73.3079475598584,1,55,19.0,15862,81.0,14.3,27863,0.4436,40.3,20.0,11094,3604,2069,104260,85307,38013,1021,3107,40217,1413,11.8,2013
