County,State,mean_life_expectancy,State_FIPS,County_FIPS,High School Degree or Higher (%),Black Population,Poverty Rate,Rent Denominator,Disability Rate,Total Families,Bachelor's Degree or Higher (%),Median Age,Gini Index,No Vehicle (Owner),Median Household Income,Total Families (Single Mother),White Population,Rent Burden Count (+50%),Total Population,Hispanic Population,Total Occupied Households,No Vehicle (Renter),Unemployment Rate,Year
Autauga County,Alabama,76.0923839492951,1,1,85.6,10257.0,12.8,5056.0,16.0,14272.0,23.9,37.9,0.41,470.0,52475.0,1380.0,43011.0,1184.0,55136.0,1391.0,20304.0,611.0,8.5,2014
Baldwin County,Alabama,77.9590260303945,1,3,87.6,17907.0,13.8,20855.0,14.1,50624.0,28.9,41.8,0.4517,983.0,50183.0,3809.0,165673.0,3989.0,191205.0,8630.0,73058.0,1259.0,8.6,2014
Barbour County,Alabama,75.723760010315,1,5,71.6,12565.0,24.1,2964.0,20.0,6003.0,12.9,38.3,0.4608,284.0,35634.0,997.0,12806.0,697.0,27119.0,1283.0,9145.0,518.0,14.2,2014
Bibb County,Alabama,74.0704786684836,1,7,75.5,4797.0,17.0,1629.0,15.8,5344.0,9.2,40.0,0.4365,161.0,37984.0,487.0,17379.0,230.0,22653.0,455.0,7078.0,138.0,10.9,2014
Blount County,Alabama,75.57623817677,1,9,76.2,885.0,17.3,4518.0,17.0,15682.0,11.5,40.2,0.4134,345.0,44409.0,1186.0,54927.0,695.0,57645.0,4880.0,20934.0,478.0,9.3,2014
Bullock County,Alabama,73.9667452558383,1,11,65.2,7640.0,20.5,1019.0,20.2,2265.0,10.8,38.5,0.446,362.0,34804.0,383.0,2803.0,231.0,10693.0,431.0,3746.0,341.0,17.4,2014
Butler County,Alabama,74.1879513563979,1,13,74.3,8975.0,25.9,2483.0,21.2,5384.0,13.3,40.5,0.4591,255.0,31571.0,897.0,11204.0,484.0,20523.0,233.0,8253.0,446.0,12.2,2014
Calhoun County,Alabama,73.7500629106712,1,15,80.6,24396.0,21.7,14271.0,18.7,30601.0,16.7,38.8,0.4545,927.0,40919.0,3577.0,88125.0,3672.0,117186.0,4017.0,45348.0,1635.0,13.5,2014
Chambers County,Alabama,74.4744393001101,1,17,74.1,13722.0,23.9,4570.0,19.9,8818.0,13.7,43.1,0.5023,456.0,32835.0,1446.0,19771.0,1095.0,34091.0,158.0,13901.0,782.0,12.7,2014
Cherokee County,Alabama,74.8083588255097,1,19,80.9,1283.0,21.0,2657.0,21.7,8543.0,12.8,45.2,0.4658,147.0,34983.0,855.0,24207.0,465.0,26042.0,375.0,11726.0,199.0,9.6,2014
Chilton County,Alabama,74.361687582335,1,21,74.8,4484.0,18.8,4011.0,17.1,12097.0,12.8,38.3,0.4517,461.0,41785.0,1170.0,37018.0,758.0,43781.0,3366.0,16281.0,376.0,9.7,2014
Choctaw County,Alabama,74.767407753043,1,23,72.3,5896.0,21.5,989.0,24.5,3621.0,11.8,44.6,0.4866,247.0,34325.0,472.0,7558.0,151.0,13546.0,56.0,5526.0,216.0,13.4,2014
Clarke County,Alabama,75.234900184891,1,25,81.4,11401.0,27.0,2923.0,15.7,6341.0,11.1,41.1,0.5249,438.0,30951.0,954.0,13613.0,431.0,25331.0,110.0,9791.0,736.0,19.9,2014
Clay County,Alabama,74.7573360142862,1,27,71.6,1986.0,18.7,1485.0,19.5,3834.0,6.3,43.6,0.4373,130.0,35286.0,527.0,11150.0,179.0,13617.0,424.0,5572.0,192.0,10.9,2014
Cleburne County,Alabama,74.1228766542021,1,29,72.6,430.0,18.1,1261.0,19.9,4006.0,8.5,41.3,0.4432,155.0,37008.0,339.0,14095.0,150.0,14990.0,331.0,5639.0,139.0,8.6,2014
Coffee County,Alabama,76.7812212244236,1,31,81.9,8671.0,18.8,5853.0,17.0,12973.0,23.9,38.2,0.4474,372.0,45558.0,1573.0,39064.0,1241.0,50726.0,3236.0,19086.0,634.0,7.3,2014
Colbert County,Alabama,74.7421988900332,1,33,82.7,8712.0,18.3,6466.0,19.9,15419.0,16.8,42.3,0.4361,499.0,39914.0,1494.0,43356.0,1393.0,54491.0,1276.0,22442.0,884.0,10.0,2014
Conecuh County,Alabama,73.8726045151823,1,35,68.8,5821.0,32.9,1147.0,22.9,3314.0,8.4,43.6,0.4952,275.0,24433.0,444.0,6778.0,310.0,12985.0,206.0,5030.0,226.0,26.7,2014
Coosa County,Alabama,75.2580877653134,1,37,73.2,3524.0,20.0,836.0,20.7,2875.0,5.3,44.8,0.4341,108.0,32340.0,269.0,7549.0,124.0,11247.0,238.0,4446.0,180.0,19.9,2014
Covington County,Alabama,74.8659701913572,1,39,79.7,4868.0,20.1,3650.0,20.9,10283.0,14.2,42.6,0.4637,406.0,36256.0,1252.0,32025.0,684.0,37881.0,564.0,14979.0,424.0,10.5,2014
Crenshaw County,Alabama,74.4189555245288,1,41,74.9,3269.0,17.2,1503.0,18.5,3619.0,9.6,41.0,0.4589,120.0,37349.0,553.0,10007.0,204.0,13938.0,229.0,5424.0,147.0,10.7,2014
Cullman County,Alabama,74.9300732935393,1,43,80.4,1096.0,18.0,7659.0,17.1,22013.0,15.1,40.5,0.4582,532.0,39415.0,1804.0,77079.0,1589.0,80668.0,3481.0,31160.0,931.0,9.0,2014
Dale County,Alabama,75.9998085962609,1,45,84.8,9712.0,18.7,7517.0,19.4,12958.0,17.5,36.6,0.434,312.0,44473.0,1567.0,37509.0,1357.0,50013.0,2929.0,19470.0,806.0,10.8,2014
Dallas County,Alabama,72.1686309532854,1,47,77.6,29758.0,35.9,6367.0,20.5,9762.0,12.7,37.9,0.5281,679.0,26494.0,2150.0,12318.0,1735.0,42743.0,160.0,16259.0,1706.0,18.0,2014
DeKalb County,Alabama,74.7318781453857,1,49,71.0,1279.0,20.1,6151.0,16.0,17854.0,10.2,38.8,0.4431,412.0,37977.0,1383.0,62960.0,738.0,71074.0,9922.0,24743.0,656.0,9.5,2014
Elmore County,Alabama,75.9399909370708,1,51,84.3,16631.0,12.9,6984.0,15.2,20673.0,20.4,37.6,0.4103,635.0,54159.0,2218.0,60602.0,1074.0,80321.0,2180.0,28617.0,609.0,8.6,2014
Escambia County,Alabama,73.7808302047218,1,53,73.6,12361.0,26.0,4060.0,20.0,9464.0,11.4,39.4,0.4742,414.0,31422.0,1345.0,23633.0,805.0,38042.0,768.0,13737.0,469.0,16.2,2014
Etowah County,Alabama,73.3708247850727,1,55,81.5,16000.0,19.6,11664.0,20.0,27577.0,15.1,40.5,0.4458,1153.0,38467.0,2876.0,84904.0,2195.0,104126.0,3669.0,40001.0,1638.0,10.7,2014
Fayette County,Alabama,74.0659626546655,1,57,76.2,2088.0,20.8,1909.0,24.7,4813.0,12.7,43.4,0.467,174.0,33144.0,519.0,14663.0,320.0,17019.0,128.0,6967.0,652.0,11.3,2014
Franklin County,Alabama,73.5137577154115,1,59,74.2,1545.0,24.3,3883.0,18.8,8438.0,10.0,38.5,0.4386,189.0,35450.0,826.0,28420.0,509.0,31663.0,4882.0,12247.0,560.0,9.5,2014
Geneva County,Alabama,75.0218977493571,1,61,78.3,2605.0,22.6,2926.0,22.2,7819.0,10.3,41.9,0.448,161.0,36268.0,827.0,23215.0,490.0,26816.0,947.0,10898.0,475.0,10.7,2014
Greene County,Alabama,74.4811078615176,1,63,69.2,7107.0,36.6,938.0,24.9,1984.0,7.2,42.5,0.4876,154.0,22170.0,364.0,1559.0,70.0,8798.0,39.0,3282.0,247.0,25.9,2014
Hale County,Alabama,74.1560323615994,1,65,76.4,8995.0,27.9,1375.0,21.7,3932.0,11.7,40.6,0.5082,418.0,30839.0,739.0,6133.0,272.0,15393.0,164.0,5931.0,424.0,13.4,2014
Henry County,Alabama,75.7543594558265,1,67,78.4,4777.0,14.8,1534.0,19.3,4709.0,15.6,43.1,0.4402,266.0,42926.0,462.0,12050.0,252.0,17270.0,418.0,6900.0,214.0,11.1,2014
Houston County,Alabama,76.559115914522,1,69,83.9,26960.0,18.4,13948.0,17.4,26351.0,20.6,38.7,0.473,811.0,41077.0,3845.0,72001.0,2919.0,103079.0,3251.0,39464.0,1708.0,8.1,2014
Jackson County,Alabama,73.5264035395202,1,71,74.8,1715.0,18.2,5212.0,18.5,14448.0,11.8,42.1,0.4473,553.0,36874.0,1145.0,48395.0,784.0,53012.0,1413.0,20425.0,521.0,10.4,2014
Jefferson County,Alabama,74.9798554080244,1,73,86.3,278587.0,18.7,93700.0,14.5,165855.0,30.8,37.4,0.497,5556.0,45239.0,24471.0,349052.0,25458.0,658834.0,25116.0,259397.0,15195.0,9.9,2014
Lamar County,Alabama,74.7116839103121,1,75,75.8,1659.0,22.6,1619.0,23.3,4497.0,10.7,42.6,0.4345,107.0,36021.0,452.0,12460.0,283.0,14268.0,195.0,6147.0,296.0,9.7,2014
