County,State,mean_life_expectancy,State_FIPS,County_FIPS,Black Population,High School Degree or Higher (%),Poverty Rate,Disability Rate,Rent Denominator,Bachelor's Degree or Higher (%),Total Families,Gini Index,Median Age,Median Household Income,No Vehicle (Owner),Total Families (Single Mother),Hispanic Population,Total Population,Rent Burden Count (+50%),White Population,Total Occupied Households,Unemployment Rate,No Vehicle (Renter),Year
Autauga County,Alabama,76.0037780188588,1,1,10315.0,87.2,12.9,17.3,5319.0,23.2,14213.0,0.4227,37.7,51281.0,353.0,1228.0,1440.0,55221.0,1432.0,42741.0,20396.0,7.6,557.0,2015
Baldwin County,Alabama,77.883491815899,1,3,18735.0,89.5,13.4,13.8,21107.0,29.0,50276.0,0.4564,42.2,50254.0,1035.0,3612.0,8776.0,195121.0,4239.0,168646.0,74104.0,7.5,1177.0,2015
Barbour County,Alabama,75.0673228497808,1,5,12595.0,73.3,26.7,23.0,3358.0,12.5,6059.0,0.4642,38.8,32964.0,246.0,1036.0,1241.0,26932.0,859.0,12756.0,9222.0,17.6,615.0,2015
Bibb County,Alabama,73.9292406132677,1,7,4846.0,80.7,16.8,14.5,1749.0,10.6,5296.0,0.441,38.9,38678.0,186.0,474.0,502.0,22604.0,215.0,17327.0,7027.0,8.3,186.0,2015
Blount County,Alabama,75.4045795365122,1,9,884.0,78.5,16.7,16.2,4393.0,12.9,15639.0,0.4037,40.7,45813.0,305.0,1101.0,4980.0,57710.0,657.0,54881.0,20816.0,7.7,465.0,2015
Bullock County,Alabama,73.9942587358532,1,11,7550.0,64.9,24.6,18.7,1074.0,13.9,2333.0,0.4648,39.3,31938.0,322.0,429.0,473.0,10678.0,299.0,2845.0,3683.0,18.0,419.0,2015
Butler County,Alabama,73.8747097831596,1,13,8961.0,77.8,25.4,20.4,2412.0,14.5,5271.0,0.4506,40.5,32229.0,293.0,804.0,240.0,20354.0,393.0,11023.0,8056.0,10.9,403.0,2015
Calhoun County,Alabama,73.4914898222883,1,15,23895.0,80.9,20.5,20.0,13975.0,17.6,30581.0,0.4464,39.1,41703.0,926.0,3692.0,4075.0,116648.0,3591.0,87615.0,45154.0,12.3,1739.0,2015
Chambers County,Alabama,74.3558450542163,1,17,13738.0,78.9,21.6,18.9,4469.0,11.6,8630.0,0.4831,43.0,34177.0,533.0,1267.0,152.0,34079.0,943.0,19652.0,13787.0,8.9,647.0,2015
Cherokee County,Alabama,74.3869269438084,1,19,1281.0,79.5,19.2,22.4,2517.0,13.8,8175.0,0.4573,45.4,36296.0,181.0,770.0,391.0,26008.0,409.0,24167.0,11278.0,7.9,221.0,2015
Chilton County,Alabama,74.1846042084152,1,21,4528.0,78.4,19.1,16.9,3827.0,14.1,11589.0,0.4462,38.8,41627.0,458.0,975.0,3350.0,43819.0,672.0,36828.0,16237.0,9.1,473.0,2015
Choctaw County,Alabama,74.4079125158607,1,23,5801.0,76.4,23.4,24.8,1028.0,11.8,3554.0,0.4849,44.9,33536.0,307.0,431.0,48.0,13395.0,179.0,7487.0,5575.0,13.6,259.0,2015
Clarke County,Alabama,75.0600852353112,1,25,11346.0,80.5,24.7,15.4,3250.0,12.9,6200.0,0.531,41.1,32011.0,365.0,726.0,85.0,25070.0,408.0,13427.0,9622.0,19.4,828.0,2015
Clay County,Alabama,74.5433505768891,1,27,1963.0,75.1,16.7,18.0,1390.0,9.6,3694.0,0.4217,43.8,35327.0,81.0,502.0,430.0,13537.0,142.0,11065.0,5419.0,9.4,141.0,2015
Cleburne County,Alabama,73.9868040627659,1,29,442.0,75.1,17.0,20.2,1306.0,12.1,4074.0,0.4381,41.3,38056.0,150.0,344.0,345.0,15002.0,100.0,14098.0,5776.0,8.3,138.0,2015
Coffee County,Alabama,76.3605391350353,1,31,8829.0,84.6,17.1,17.6,6200.0,23.9,13012.0,0.4476,38.8,46729.0,294.0,1493.0,3276.0,50884.0,1179.0,39067.0,19160.0,7.1,662.0,2015
Colbert County,Alabama,74.4371800102949,1,33,8478.0,83.9,17.4,20.0,6371.0,18.6,15087.0,0.4432,42.2,40576.0,521.0,1498.0,1321.0,54444.0,1272.0,43311.0,22204.0,9.0,818.0,2015
Conecuh County,Alabama,73.5347778763338,1,35,5752.0,78.1,33.8,24.7,1176.0,8.2,3434.0,0.5014,43.7,24900.0,211.0,456.0,210.0,12865.0,253.0,6710.0,5168.0,22.6,185.0,2015
Coosa County,Alabama,75.1708542815166,1,37,3384.0,74.1,19.3,22.1,920.0,8.5,2798.0,0.4207,45.1,31212.0,131.0,217.0,237.0,11027.0,141.0,7427.0,4450.0,17.0,176.0,2015
Covington County,Alabama,74.5258130018285,1,39,4933.0,79.8,20.2,21.5,3778.0,14.3,10401.0,0.4613,42.6,36444.0,354.0,1188.0,580.0,37886.0,662.0,31954.0,14949.0,11.2,432.0,2015
Crenshaw County,Alabama,74.3461382236033,1,41,3277.0,78.0,16.7,18.2,1596.0,14.3,3562.0,0.4756,41.3,36022.0,174.0,522.0,237.0,13938.0,203.0,9966.0,5383.0,9.7,161.0,2015
Cullman County,Alabama,74.594611891369,1,43,964.0,81.8,18.5,15.8,7739.0,14.6,21864.0,0.4517,40.5,38971.0,589.0,1802.0,3493.0,80965.0,1408.0,77478.0,31287.0,7.3,790.0,2015
Dale County,Alabama,75.8955853753065,1,45,9798.0,85.4,19.1,20.1,7226.0,16.4,12611.0,0.4426,36.8,45028.0,401.0,1311.0,2980.0,49866.0,1260.0,37232.0,19018.0,10.9,796.0,2015
Dallas County,Alabama,72.0822622575986,1,47,29164.0,78.1,35.0,19.5,6755.0,14.0,10242.0,0.5255,38.7,27306.0,564.0,2301.0,130.0,42154.0,1890.0,12085.0,16413.0,16.4,1915.0,2015
DeKalb County,Alabama,74.708246577618,1,49,1295.0,72.4,18.7,15.3,6691.0,11.2,17607.0,0.443,39.3,38192.0,349.0,1366.0,9957.0,71068.0,741.0,61415.0,25013.0,7.7,709.0,2015
Elmore County,Alabama,75.7371836971991,1,51,17137.0,86.6,13.6,17.1,7198.0,21.4,20655.0,0.4204,37.9,53555.0,596.0,2208.0,2229.0,80763.0,1147.0,60989.0,28651.0,8.3,641.0,2015
Escambia County,Alabama,73.4683660064676,1,53,12678.0,79.9,24.2,20.0,3885.0,12.5,9177.0,0.4645,40.3,32330.0,309.0,1188.0,466.0,37935.0,615.0,23303.0,13659.0,15.6,468.0,2015
Etowah County,Alabama,73.1955443341744,1,55,16025.0,82.5,19.7,20.3,11427.0,16.0,27595.0,0.4363,40.8,39220.0,1078.0,2803.0,3740.0,103766.0,2000.0,84312.0,39899.0,9.0,1526.0,2015
