County,State,mean_life_expectancy,State_FIPS,County_FIPS,Black Population,High School Degree or Higher (%),Poverty Rate,Disability Rate,Rent Denominator,Gini Index,Median Age,Bachelor's Degree or Higher (%),Total Families,Total Families (Single Mother),Median Household Income,No Vehicle (Owner),Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,No Vehicle (Renter),Unemployment Rate,Total Occupied Households,Year
Autauga County,Alabama,75.8778642323899,1,1,10196.0,87.6,12.3,18.4,5582.0,0.4295,37.8,24.6,14653.0,1250.0,53099.0,372.0,1416.0,1447.0,55049.0,42311.0,652.0,5.6,20800.0,2016
Baldwin County,Alabama,77.9130697620398,1,3,18594.0,90.0,13.0,13.9,21244.0,0.4608,42.3,29.5,50190.0,3464.0,51365.0,917.0,8712.0,4422.0,199510.0,172441.0,1386.0,6.3,75149.0,2016
Barbour County,Alabama,74.9198636240141,1,5,12756.0,73.8,26.4,21.5,3293.0,0.462,38.7,12.9,5968.0,999.0,33956.0,284.0,1147.0,843.0,26614.0,12430.0,605.0,12.8,9122.0,2016
Bibb County,Alabama,73.6673305057905,1,7,4788.0,80.7,16.5,14.8,1929.0,0.4494,40.2,12.0,5272.0,381.0,39776.0,209.0,502.0,267.0,22572.0,17370.0,234.0,7.1,7048.0,2016
Blount County,Alabama,75.0352199305904,1,9,905.0,80.0,16.5,14.9,4365.0,0.4165,40.8,13.0,15439.0,1197.0,46212.0,376.0,5036.0,614.0,57704.0,55073.0,440.0,6.0,20619.0,2016
Bullock County,Alabama,74.0743945438457,1,11,7967.0,66.6,26.9,17.6,956.0,0.4701,39.2,10.3,2318.0,397.0,29335.0,225.0,13.0,261.0,10552.0,2301.0,379.0,13.3,3556.0,2016
Butler County,Alabama,73.7224421194177,1,13,8875.0,81.1,25.7,19.4,2282.0,0.4588,40.6,16.1,5139.0,757.0,34315.0,212.0,253.0,369.0,20280.0,10876.0,323.0,9.8,7675.0,2016
Calhoun County,Alabama,73.2983281711204,1,15,23791.0,82.3,19.6,20.4,13964.0,0.4543,39.1,17.7,30700.0,3841.0,41954.0,988.0,3982.0,3246.0,115883.0,86777.0,1831.0,11.7,45071.0,2016
Chambers County,Alabama,74.35653924479,1,17,13779.0,80.3,20.3,17.7,4481.0,0.4734,43.1,12.5,8654.0,1136.0,36027.0,516.0,148.0,843.0,34018.0,19417.0,594.0,7.5,13851.0,2016
Cherokee County,Alabama,74.35852627411,1,19,1209.0,81.3,16.4,21.4,2291.0,0.4464,45.7,14.0,7919.0,726.0,38925.0,177.0,405.0,315.0,25897.0,24156.0,207.0,5.9,10999.0,2016
Chilton County,Alabama,74.0413531729133,1,21,4418.0,80.1,20.3,16.9,3984.0,0.4575,38.7,14.9,11631.0,1057.0,42594.0,416.0,3341.0,626.0,43817.0,36740.0,521.0,7.9,16619.0,2016
Choctaw County,Alabama,74.2486999564165,1,23,5658.0,78.9,21.0,26.3,1083.0,0.4799,45.1,12.0,3604.0,407.0,32622.0,324.0,74.0,188.0,13287.0,7495.0,253.0,13.6,5562.0,2016
Clarke County,Alabama,74.5765529742926,1,25,11304.0,81.0,24.6,15.8,3132.0,0.5259,42.0,12.1,6094.0,606.0,32735.0,360.0,43.0,400.0,24847.0,13253.0,762.0,17.1,9554.0,2016
Clay County,Alabama,74.369383765865,1,27,1993.0,74.6,16.7,16.4,1338.0,0.4497,43.7,11.1,3782.0,476.0,38815.0,74.0,419.0,75.0,13483.0,11177.0,145.0,6.6,5363.0,2016
