County,State,mean_life_expectancy,State_FIPS,County_FIPS,High School Degree or Higher (%),Black Population,Poverty Rate,Rent Denominator,Disability Rate,Median Age,Gini Index,Total Families,Bachelor's Degree or Higher (%),Total Families (Single Mother),No Vehicle (Owner),Median Household Income,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,Unemployment Rate,No Vehicle (Renter),Total Occupied Households,Year
Autauga County,Alabama,76.0246312323304,1,1,87.7,10510.0,13.7,5624.0,18.8,37.8,0.4501,14904.0,25.0,1317.0,465.0,55317.0,42159.0,55036.0,1478.0,1467.0,5.2,674.0,21054.0,2017
Baldwin County,Alabama,77.8952429034613,1,3,90.2,19414.0,11.8,20663.0,13.7,42.6,0.4618,50029.0,30.7,3185.0,1047.0,52562.0,175961.0,203360.0,4335.0,9029.0,5.5,1505.0,76133.0,2017
Barbour County,Alabama,74.6572190352659,1,5,73.1,12588.0,27.2,3446.0,22.1,39.7,0.4622,6041.0,12.0,1029.0,330.0,33368.0,12200.0,26201.0,727.0,1104.0,12.4,555.0,9191.0,2017
Bibb County,Alabama,73.6342805287431,1,7,82.1,4979.0,15.2,1704.0,15.9,39.8,0.4518,5302.0,13.2,454.0,127.0,43404.0,17323.0,22580.0,342.0,531.0,8.2,267.0,6916.0,2017
Blount County,Alabama,74.8974607079908,1,9,79.8,915.0,15.6,4444.0,14.7,40.9,0.4302,15309.0,13.1,1067.0,427.0,47412.0,55045.0,57667.0,593.0,5197.0,4.9,430.0,20690.0,2017
Bullock County,Alabama,73.7079253175275,1,11,71.4,7925.0,28.5,1100.0,17.4,40.8,0.482,2424.0,13.4,549.0,163.0,29655.0,2299.0,10478.0,417.0,35.0,12.1,446.0,3670.0,2017
Butler County,Alabama,73.7151229204611,1,13,81.1,9030.0,24.4,2110.0,19.3,40.7,0.4495,4565.0,16.1,627.0,190.0,36326.0,10547.0,20126.0,303.0,64.0,7.6,286.0,7050.0,2017
Calhoun County,Alabama,73.3078477077272,1,15,83.2,23735.0,18.6,13804.0,20.2,39.1,0.4629,30704.0,17.9,4016.0,892.0,43686.0,86136.0,115527.0,2920.0,4121.0,10.1,1772.0,45099.0,2017
Chambers County,Alabama,74.2425871374709,1,17,80.9,13335.0,18.8,4591.0,17.2,43.0,0.4592,8690.0,13.3,1110.0,513.0,37342.0,19552.0,33895.0,743.0,730.0,6.4,512.0,13694.0,2017
Cherokee County,Alabama,74.3480110237785,1,19,79.5,1287.0,16.1,2360.0,20.5,46.1,0.4534,7566.0,12.5,576.0,132.0,40041.0,24072.0,25855.0,443.0,409.0,5.3,270.0,10795.0,2017
Chilton County,Alabama,74.1052560370855,1,21,81.8,4184.0,19.4,4143.0,17.4,38.9,0.4693,11920.0,15.1,1409.0,343.0,43501.0,36497.0,43805.0,752.0,3371.0,6.7,491.0,16768.0,2017
Choctaw County,Alabama,74.2757388369681,1,23,80.1,5583.0,22.3,1084.0,27.0,45.8,0.486,3594.0,11.6,397.0,334.0,32122.0,7456.0,13188.0,172.0,71.0,9.8,233.0,5463.0,2017
Clarke County,Alabama,74.6238045774491,1,25,81.5,11246.0,25.3,3266.0,17.4,42.2,0.5194,6038.0,13.0,561.0,385.0,33827.0,13108.0,24625.0,430.0,58.0,15.2,758.0,9602.0,2017
Clay County,Alabama,74.3591398533707,1,27,73.3,1979.0,19.1,1256.0,16.9,43.8,0.4574,3742.0,10.3,500.0,42.0,37287.0,11148.0,13407.0,64.0,417.0,6.4,129.0,5338.0,2017
Cleburne County,Alabama,74.0840978801744,1,29,75.8,424.0,19.1,1477.0,22.7,41.7,0.4569,3879.0,12.4,235.0,174.0,37396.0,14127.0,14939.0,161.0,356.0,7.8,142.0,5773.0,2017
Coffee County,Alabama,76.2048720238035,1,31,85.4,8834.0,16.1,6798.0,17.9,39.3,0.4486,13431.0,22.7,1536.0,280.0,49821.0,38956.0,51073.0,1266.0,3402.0,6.0,803.0,19620.0,2017
Colbert County,Alabama,74.2982544702841,1,33,83.9,8722.0,16.8,5974.0,19.4,42.5,0.4383,14964.0,18.8,1425.0,417.0,45477.0,43315.0,54435.0,1394.0,1313.0,6.9,898.0,21983.0,2017
Conecuh County,Alabama,73.3561349626999,1,35,79.0,5879.0,26.4,1058.0,22.7,44.5,0.4552,3107.0,8.8,444.0,198.0,30434.0,6494.0,12649.0,167.0,231.0,14.5,91.0,4716.0,2017
