County,State,mean_life_expectancy,State_FIPS,County_FIPS,Unemployment Rate,No Vehicle (Renter),Total Occupied Households,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,Total Families (Single Mother),No Vehicle (Owner),Median Household Income,Median Age,Gini Index,Total Families,Bachelor's Degree or Higher (%),Rent Denominator,Disability Rate,Poverty Rate,High School Degree or Higher (%),Black Population,Year
Autauga County,Alabama,76.3458016126412,1,1,4.2,692.0,21115.0,42437.0,55200.0,1509.0,1528.0,1213.0,499.0,58786.0,37.8,0.4602,15161.0,27.7,5301.0,19.3,15.4,88.7,10565.0,2018
Baldwin County,Alabama,78.1131187069305,1,3,4.4,1522.0,78622.0,179526.0,208107.0,3961.0,9353.0,3414.0,1183.0,55962.0,42.8,0.4609,51359.0,31.3,20741.0,14.0,10.6,90.3,19764.0,2018
Barbour County,Alabama,74.7743309934985,1,5,9.5,528.0,9186.0,12216.0,25782.0,764.0,1106.0,1005.0,321.0,34186.0,39.9,0.4731,6030.0,12.2,3546.0,22.2,28.9,73.0,12266.0,2018
Bibb County,Alabama,73.7903133744892,1,7,7.5,263.0,6840.0,17268.0,22527.0,347.0,547.0,327.0,147.0,45340.0,39.9,0.4294,4947.0,11.5,1705.0,16.7,14.0,83.2,5018.0,2018
Blount County,Alabama,75.013449464969,1,9,4.1,455.0,20600.0,55054.0,57645.0,619.0,5261.0,949.0,401.0,48695.0,40.8,0.4331,15104.0,12.6,4403.0,14.2,14.4,80.2,862.0,2018
Bullock County,Alabama,73.6842860486569,1,11,11.1,339.0,3609.0,2276.0,10352.0,329.0,51.0,551.0,84.0,32152.0,39.6,0.5174,2481.0,13.3,883.0,14.4,31.4,75.2,7893.0,2018
Butler County,Alabama,73.9019445955979,1,13,6.7,316.0,6708.0,10414.0,20025.0,306.0,67.0,612.0,204.0,39109.0,40.7,0.4708,4429.0,16.1,2016.0,17.7,23.5,84.6,9055.0,2018
Calhoun County,Alabama,73.4088629777792,1,15,8.8,1728.0,45033.0,85558.0,115098.0,2940.0,4203.0,3830.0,871.0,45197.0,39.7,0.4676,30833.0,18.0,13747.0,20.8,18.6,84.1,23676.0,2018
Chambers County,Alabama,74.5258741295021,1,17,5.0,487.0,13516.0,19483.0,33826.0,669.0,768.0,1054.0,502.0,39872.0,43.0,0.4568,8659.0,13.2,4357.0,16.7,16.6,81.4,13319.0,2018
Cherokee County,Alabama,74.4293661472186,1,19,5.6,278.0,10606.0,23997.0,25853.0,341.0,398.0,433.0,157.0,41014.0,45.9,0.4539,7332.0,12.9,2232.0,20.0,15.0,80.2,1267.0,2018
