County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Renter),Unemployment Rate,Total Occupied Households,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Total Families (Single Mother),Median Household Income,No Vehicle (Owner),Gini Index,Median Age,Bachelor's Degree or Higher (%),Total Families,Disability Rate,Rent Denominator,Poverty Rate,Black Population,High School Degree or Higher (%),Year
Autauga County,Alabama,76.5932651350438,1,1,546.0,3.7,21397.0,1565.0,1443.0,55380.0,42527.0,1214.0,58731.0,395.0,0.4542,38.2,26.6,15076.0,19.0,5715.0,15.2,10538.0,88.5,2019
Baldwin County,Alabama,78.2935223384932,1,3,1348.0,4.3,80930.0,9711.0,3792.0,212830.0,183471.0,3608.0,58320.0,1308.0,0.4587,43.0,31.9,53467.0,14.2,20034.0,10.4,19718.0,90.8,2019
Barbour County,Alabama,74.8145320945807,1,5,639.0,9.2,9345.0,1105.0,755.0,25361.0,11869.0,953.0,32525.0,311.0,0.4883,40.4,11.6,6187.0,21.4,3654.0,30.7,12066.0,73.2,2019
Bibb County,Alabama,73.9200538034534,1,7,323.0,7.3,6891.0,579.0,379.0,22493.0,17272.0,301.0,47542.0,102.0,0.4487,40.9,10.4,4789.0,17.2,1763.0,18.1,5014.0,79.1,2019
Blount County,Alabama,75.0291855488467,1,9,490.0,3.4,20847.0,5342.0,683.0,57681.0,55062.0,930.0,49358.0,370.0,0.457,40.7,13.1,14874.0,14.1,4424.0,13.6,928.0,80.5,2019
Bullock County,Alabama,73.9493288862537,1,11,279.0,3.9,3521.0,262.0,292.0,10248.0,2244.0,407.0,37785.0,98.0,0.4731,40.2,12.1,2504.0,12.0,1017.0,28.9,7666.0,74.7,2019
Butler County,Alabama,74.1389189035864,1,13,266.0,6.8,6506.0,277.0,299.0,19828.0,10280.0,529.0,40688.0,222.0,0.4619,40.8,16.1,4331.0,16.5,1955.0,22.5,9001.0,85.0,2019
Calhoun County,Alabama,73.5629066906819,1,15,1721.0,8.1,44605.0,4352.0,2660.0,114618.0,84439.0,3593.0,47255.0,938.0,0.4633,39.6,18.5,29960.0,21.2,13351.0,17.9,23830.0,84.4,2019
Chambers County,Alabama,74.7026464205289,1,17,515.0,3.9,13448.0,800.0,652.0,33660.0,19423.0,974.0,42289.0,465.0,0.423,42.0,13.3,8553.0,18.1,4376.0,17.3,13316.0,81.6,2019
Cherokee County,Alabama,74.6131502945787,1,19,305.0,4.4,10737.0,413.0,245.0,25903.0,24052.0,347.0,41919.0,175.0,0.4515,46.5,12.8,7307.0,17.8,2433.0,13.9,1191.0,81.6,2019
