County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,asian_population,per_capita_income,total_population_race,median_home_value,black_population,age_18_and_under_percentage
Autauga County,Alabama,1,1,43084.0,,,,,,,,,,,,,,
Baldwin County,Alabama,1,3,158259.0,,,,,,,,,,,,,,
Barbour County,Alabama,1,5,13448.0,,,,,,,,,,,,,,
Bibb County,Alabama,1,7,17459.0,,,,,,,,,,,,,,
Blount County,Alabama,1,9,54507.0,,,,,,,,,,,,,,
Bullock County,Alabama,1,11,3028.0,,,,,,,,,,,,,,
Butler County,Alabama,1,13,11380.0,,,,,,,,,,,,,,
Calhoun County,Alabama,1,15,88405.0,,,,,,,,,,,,,,
Chambers County,Alabama,1,17,20171.0,,,,,,,,,,,,,,
Cherokee County,Alabama,1,19,24074.0,,,,,,,,,,,,,,
Chilton County,Alabama,1,21,37872.0,,,,,,,,,,,,,,
Choctaw County,Alabama,1,23,7670.0,,,,,,,,,,,,,,
Clarke County,Alabama,1,25,14015.0,,,,,,,,,,,,,,
Clay County,Alabama,1,27,11332.0,,,,,,,,,,,,,,
Cleburne County,Alabama,1,29,14122.0,,,,,,,,,,,,,,
Coffee County,Alabama,1,31,38651.0,,,,,,,,,,,,,,
Colbert County,Alabama,1,33,43915.0,,,,,,,,,,,,,,
Conecuh County,Alabama,1,35,6794.0,,,,,,,,,,,,,,
Coosa County,Alabama,1,37,7647.0,,,,,,,,,,,,,,
Covington County,Alabama,1,39,32054.0,,,,,,,,,,,,,,
Crenshaw County,Alabama,1,41,10142.0,,,,,,,,,,,,,,
Cullman County,Alabama,1,43,77178.0,,,,,,,,,,,,,,
Dale County,Alabama,1,45,37588.0,,,,,,,,,,,,,,
Dallas County,Alabama,1,47,12738.0,,,,,,,,,,,,,,
DeKalb County,Alabama,1,49,64778.0,,,,,,,,,,,,,,
Elmore County,Alabama,1,51,60119.0,,,,,,,,,,,,,,
Escambia County,Alabama,1,53,24024.0,,,,,,,,,,,,,,
Etowah County,Alabama,1,55,85430.0,,,,,,,,,,,,,,
Fayette County,Alabama,1,57,14921.0,,,,,,,,,,,,,,
Franklin County,Alabama,1,59,28001.0,,,,,,,,,,,,,,
Geneva County,Alabama,1,61,23239.0,,,,,,,,,,,,,,
Greene County,Alabama,1,63,1608.0,,,,,,,,,,,,,,
Hale County,Alabama,1,65,6292.0,,,,,,,,,,,,,,
Henry County,Alabama,1,67,11888.0,,,,,,,,,,,,,,
Houston County,Alabama,1,69,71132.0,,,,,,,,,,,,,,
Jackson County,Alabama,1,71,49024.0,,,,,,,,,,,,,,
Jefferson County,Alabama,1,73,351974.0,,,,,,,,,,,,,,
Lamar County,Alabama,1,75,12655.0,,,,,,,,,,,,,,
Lauderdale County,Alabama,1,77,80665.0,,,,,,,,,,,,,,
Lawrence County,Alabama,1,79,26490.0,,,,,,,,,,,,,,
Lee County,Alabama,1,81,101299.0,,,,,,,,,,,,,,
Limestone County,Alabama,1,83,68300.0,,,,,,,,,,,,,,
Lowndes County,Alabama,1,85,2874.0,,,,,,,,,,,,,,
Macon County,Alabama,1,87,3365.0,,,,,,,,,,,,,,
Madison County,Alabama,1,89,232397.0,,,,,,,,,,,,,,
Marengo County,Alabama,1,91,9688.0,,,,,,,,,,,,,,
Marion County,Alabama,1,93,28907.0,,,,,,,,,,,,,,
Marshall County,Alabama,1,95,87176.0,,,,,,,,,,,,,,
Mobile County,Alabama,1,97,250617.0,,,,,,,,,,,,,,
Monroe County,Alabama,1,99,12748.0,,,,,,,,,,,,,,
Montgomery County,Alabama,1,101,93483.0,,,,,,,,,,,,,,
Morgan County,Alabama,1,103,98477.0,,,,,,,,,,,,,,
Perry County,Alabama,1,105,3185.0,,,,,,,,,,,,,,
Pickens County,Alabama,1,107,11249.0,,,,,,,,,,,,,,
Pike County,Alabama,1,109,19268.0,,,,,,,,,,,,,,
Randolph County,Alabama,1,111,17656.0,,,,,,,,,,,,,,
Russell County,Alabama,1,113,29342.0,,,,,,,,,,,,,,
Saint Clair County,Alabama,1,115,74235.0,,,,,,,,,,,,,,
Shelby County,Alabama,1,117,162400.0,,,,,,,,,,,,,,
Sumter County,Alabama,1,119,3327.0,,,,,,,,,,,,,,
Talladega County,Alabama,1,121,53935.0,,,,,,,,,,,,,,
Tallapoosa County,Alabama,1,123,29403.0,,,,,,,,,,,,,,
Tuscaloosa County,Alabama,1,125,130821.0,,,,,,,,,,,,,,
Walker County,Alabama,1,127,61305.0,,,,,,,,,,,,,,
Washington County,Alabama,1,129,11389.0,,,,,,,,,,,,,,
Wilcox County,Alabama,1,131,3132.0,,,,,,,,,,,,,,
Winston County,Alabama,1,133,23567.0,,,,,,,,,,,,,,
Anchorage Municipality,Alaska,2,20,194690.0,,,,,,,,,,,,,,
Bethel Census Area,Alaska,2,50,2007.0,,,,,,,,,,,,,,
Bristol Bay Borough,Alaska,2,60,507.0,,,,,,,,,,,,,,
