County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value
Autauga County,Alabama,1,1,11.1,,,,,,,,,,,,,,
Baldwin County,Alabama,1,3,16.3,,,,,,,,,,,,,,
Barbour County,Alabama,1,5,12.2,,,,,,,,,,,,,,
Bibb County,Alabama,1,7,11.2,,,,,,,,,,,,,,
Blount County,Alabama,1,9,13.6,,,,,,,,,,,,,,
Bullock County,Alabama,1,11,10.8,,,,,,,,,,,,,,
Butler County,Alabama,1,13,14.6,,,,,,,,,,,,,,
Calhoun County,Alabama,1,15,12.8,,,,,,,,,,,,,,
Chambers County,Alabama,1,17,14.7,,,,,,,,,,,,,,
Cherokee County,Alabama,1,19,16.8,,,,,,,,,,,,,,
Chilton County,Alabama,1,21,12.7,,,,,,,,,,,,,,
Choctaw County,Alabama,1,23,17.1,,,,,,,,,,,,,,
Clarke County,Alabama,1,25,15.0,,,,,,,,,,,,,,
Clay County,Alabama,1,27,16.1,,,,,,,,,,,,,,
Cleburne County,Alabama,1,29,15.4,,,,,,,,,,,,,,
Coffee County,Alabama,1,31,12.8,,,,,,,,,,,,,,
Colbert County,Alabama,1,33,15.4,,,,,,,,,,,,,,
Conecuh County,Alabama,1,35,17.1,,,,,,,,,,,,,,
Coosa County,Alabama,1,37,15.4,,,,,,,,,,,,,,
Covington County,Alabama,1,39,16.4,,,,,,,,,,,,,,
Crenshaw County,Alabama,1,41,13.8,,,,,,,,,,,,,,
Cullman County,Alabama,1,43,14.4,,,,,,,,,,,,,,
Dale County,Alabama,1,45,12.2,,,,,,,,,,,,,,
Dallas County,Alabama,1,47,12.8,,,,,,,,,,,,,,
DeKalb County,Alabama,1,49,12.6,,,,,,,,,,,,,,
Elmore County,Alabama,1,51,11.5,,,,,,,,,,,,,,
Escambia County,Alabama,1,53,13.0,,,,,,,,,,,,,,
Etowah County,Alabama,1,55,14.0,,,,,,,,,,,,,,
Fayette County,Alabama,1,57,16.5,,,,,,,,,,,,,,
