County,State,State_FIPS,County_FIPS,median_gross_rent,age_15_to_44_percentage,white_population,total_population,age_60_and_over,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,median_home_value,black_population,age_18_and_under_percentage,asian_population,per_capita_income
Autauga County,Alabama,1,1,876.0,,,,,,,,,,,,,,
Baldwin County,Alabama,1,3,882.0,,,,,,,,,,,,,,
Barbour County,Alabama,1,5,608.0,,,,,,,,,,,,,,
Bibb County,Alabama,1,7,610.0,,,,,,,,,,,,,,
Blount County,Alabama,1,9,609.0,,,,,,,,,,,,,,
Bullock County,Alabama,1,11,570.0,,,,,,,,,,,,,,
Butler County,Alabama,1,13,581.0,,,,,,,,,,,,,,
Calhoun County,Alabama,1,15,634.0,,,,,,,,,,,,,,
Chambers County,Alabama,1,17,664.0,,,,,,,,,,,,,,
Cherokee County,Alabama,1,19,619.0,,,,,,,,,,,,,,
Chilton County,Alabama,1,21,629.0,,,,,,,,,,,,,,
Choctaw County,Alabama,1,23,573.0,,,,,,,,,,,,,,
Clarke County,Alabama,1,25,557.0,,,,,,,,,,,,,,
Clay County,Alabama,1,27,451.0,,,,,,,,,,,,,,
Cleburne County,Alabama,1,29,604.0,,,,,,,,,,,,,,
Coffee County,Alabama,1,31,676.0,,,,,,,,,,,,,,
Colbert County,Alabama,1,33,655.0,,,,,,,,,,,,,,
Conecuh County,Alabama,1,35,521.0,,,,,,,,,,,,,,
Coosa County,Alabama,1,37,612.0,,,,,,,,,,,,,,
Covington County,Alabama,1,39,585.0,,,,,,,,,,,,,,
Crenshaw County,Alabama,1,41,507.0,,,,,,,,,,,,,,
Cullman County,Alabama,1,43,621.0,,,,,,,,,,,,,,
Dale County,Alabama,1,45,621.0,,,,,,,,,,,,,,
Dallas County,Alabama,1,47,564.0,,,,,,,,,,,,,,
DeKalb County,Alabama,1,49,528.0,,,,,,,,,,,,,,
Elmore County,Alabama,1,51,792.0,,,,,,,,,,,,,,
Escambia County,Alabama,1,53,579.0,,,,,,,,,,,,,,
Etowah County,Alabama,1,55,627.0,,,,,,,,,,,,,,
Fayette County,Alabama,1,57,474.0,,,,,,,,,,,,,,
Franklin County,Alabama,1,59,546.0,,,,,,,,,,,,,,
Geneva County,Alabama,1,61,572.0,,,,,,,,,,,,,,
Greene County,Alabama,1,63,434.0,,,,,,,,,,,,,,
Hale County,Alabama,1,65,442.0,,,,,,,,,,,,,,
Henry County,Alabama,1,67,570.0,,,,,,,,,,,,,,
Houston County,Alabama,1,69,682.0,,,,,,,,,,,,,,
Jackson County,Alabama,1,71,550.0,,,,,,,,,,,,,,
Jefferson County,Alabama,1,73,811.0,,,,,,,,,,,,,,
Lamar County,Alabama,1,75,473.0,,,,,,,,,,,,,,
Lauderdale County,Alabama,1,77,587.0,,,,,,,,,,,,,,
Lawrence County,Alabama,1,79,564.0,,,,,,,,,,,,,,
Lee County,Alabama,1,81,777.0,,,,,,,,,,,,,,
Limestone County,Alabama,1,83,626.0,,,,,,,,,,,,,,
Lowndes County,Alabama,1,85,566.0,,,,,,,,,,,,,,
Macon County,Alabama,1,87,595.0,,,,,,,,,,,,,,
Madison County,Alabama,1,89,751.0,,,,,,,,,,,,,,
Marengo County,Alabama,1,91,517.0,,,,,,,,,,,,,,
Marion County,Alabama,1,93,482.0,,,,,,,,,,,,,,
Marshall County,Alabama,1,95,593.0,,,,,,,,,,,,,,
Mobile County,Alabama,1,97,773.0,,,,,,,,,,,,,,
