County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,age_60_and_over,total_population,white_population,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,per_capita_income,asian_population
Autauga County,Alabama,1,1,76.8,,,,,,,,,,,,,,
Baldwin County,Alabama,1,3,79.4,,,,,,,,,,,,,,
Barbour County,Alabama,1,5,81.3,,,,,,,,,,,,,,
Bibb County,Alabama,1,7,82.4,,,,,,,,,,,,,,
Blount County,Alabama,1,9,78.9,,,,,,,,,,,,,,
Bullock County,Alabama,1,11,82.1,,,,,,,,,,,,,,
Butler County,Alabama,1,13,77.2,,,,,,,,,,,,,,
Calhoun County,Alabama,1,15,78.3,,,,,,,,,,,,,,
Chambers County,Alabama,1,17,79.7,,,,,,,,,,,,,,
Cherokee County,Alabama,1,19,80.8,,,,,,,,,,,,,,
Chilton County,Alabama,1,21,77.9,,,,,,,,,,,,,,
Choctaw County,Alabama,1,23,79.8,,,,,,,,,,,,,,
Clarke County,Alabama,1,25,79.3,,,,,,,,,,,,,,
Clay County,Alabama,1,27,79.3,,,,,,,,,,,,,,
Cleburne County,Alabama,1,29,78.0,,,,,,,,,,,,,,
Coffee County,Alabama,1,31,78.1,,,,,,,,,,,,,,
Colbert County,Alabama,1,33,80.0,,,,,,,,,,,,,,
Conecuh County,Alabama,1,35,78.6,,,,,,,,,,,,,,
Coosa County,Alabama,1,37,83.6,,,,,,,,,,,,,,
Covington County,Alabama,1,39,79.1,,,,,,,,,,,,,,
Crenshaw County,Alabama,1,41,77.9,,,,,,,,,,,,,,
Cullman County,Alabama,1,43,79.2,,,,,,,,,,,,,,
Dale County,Alabama,1,45,77.8,,,,,,,,,,,,,,
Dallas County,Alabama,1,47,74.1,,,,,,,,,,,,,,
DeKalb County,Alabama,1,49,76.3,,,,,,,,,,,,,,
Elmore County,Alabama,1,51,78.7,,,,,,,,,,,,,,
Escambia County,Alabama,1,53,81.2,,,,,,,,,,,,,,
Etowah County,Alabama,1,55,79.1,,,,,,,,,,,,,,
Fayette County,Alabama,1,57,78.0,,,,,,,,,,,,,,
Franklin County,Alabama,1,59,78.7,,,,,,,,,,,,,,
Geneva County,Alabama,1,61,79.4,,,,,,,,,,,,,,
Greene County,Alabama,1,63,78.2,,,,,,,,,,,,,,
Hale County,Alabama,1,65,77.8,,,,,,,,,,,,,,
Henry County,Alabama,1,67,80.0,,,,,,,,,,,,,,
Houston County,Alabama,1,69,77.2,,,,,,,,,,,,,,
Jackson County,Alabama,1,71,79.6,,,,,,,,,,,,,,
Jefferson County,Alabama,1,73,77.8,,,,,,,,,,,,,,
Lamar County,Alabama,1,75,80.1,,,,,,,,,,,,,,
Lauderdale County,Alabama,1,77,80.4,,,,,,,,,,,,,,
Lawrence County,Alabama,1,79,79.9,,,,,,,,,,,,,,
Lee County,Alabama,1,81,80.0,,,,,,,,,,,,,,
Limestone County,Alabama,1,83,79.4,,,,,,,,,,,,,,
Lowndes County,Alabama,1,85,76.3,,,,,,,,,,,,,,
Macon County,Alabama,1,87,82.5,,,,,,,,,,,,,,
Madison County,Alabama,1,89,79.4,,,,,,,,,,,,,,
Marengo County,Alabama,1,91,78.9,,,,,,,,,,,,,,
Marion County,Alabama,1,93,80.2,,,,,,,,,,,,,,
Marshall County,Alabama,1,95,76.9,,,,,,,,,,,,,,
Mobile County,Alabama,1,97,77.2,,,,,,,,,,,,,,
Monroe County,Alabama,1,99,77.8,,,,,,,,,,,,,,
Montgomery County,Alabama,1,101,77.0,,,,,,,,,,,,,,
Morgan County,Alabama,1,103,78.6,,,,,,,,,,,,,,
Perry County,Alabama,1,105,78.8,,,,,,,,,,,,,,
Pickens County,Alabama,1,107,80.4,,,,,,,,,,,,,,
Pike County,Alabama,1,109,81.7,,,,,,,,,,,,,,
Randolph County,Alabama,1,111,77.5,,,,,,,,,,,,,,
Russell County,Alabama,1,113,76.1,,,,,,,,,,,,,,
Saint Clair County,Alabama,1,115,78.0,,,,,,,,,,,,,,
Shelby County,Alabama,1,117,77.2,,,,,,,,,,,,,,
Sumter County,Alabama,1,119,83.1,,,,,,,,,,,,,,
Talladega County,Alabama,1,121,79.6,,,,,,,,,,,,,,
Tallapoosa County,Alabama,1,123,81.0,,,,,,,,,,,,,,
Tuscaloosa County,Alabama,1,125,80.2,,,,,,,,,,,,,,
Walker County,Alabama,1,127,79.4,,,,,,,,,,,,,,
Washington County,Alabama,1,129,77.9,,,,,,,,,,,,,,
Wilcox County,Alabama,1,131,75.7,,,,,,,,,,,,,,
Winston County,Alabama,1,133,80.7,,,,,,,,,,,,,,
Anchorage Municipality,Alaska,2,20,77.3,,,,,,,,,,,,,,
Bethel Census Area,Alaska,2,50,67.9,,,,,,,,,,,,,,
Bristol Bay Borough,Alaska,2,60,80.1,,,,,,,,,,,,,,
Fairbanks North Star Borough,Alaska,2,90,78.7,,,,,,,,,,,,,,
Haines Borough,Alaska,2,100,85.3,,,,,,,,,,,,,,
Juneau City and Borough,Alaska,2,110,80.0,,,,,,,,,,,,,,
Kenai Peninsula Borough,Alaska,2,122,80.3,,,,,,,,,,,,,,
Kodiak Island Borough,Alaska,2,150,75.2,,,,,,,,,,,,,,
Matanuska-Susitna Borough,Alaska,2,170,75.6,,,,,,,,,,,,,,
Nome Census Area,Alaska,2,180,70.0,,,,,,,,,,,,,,
North Slope Borough,Alaska,2,185,81.5,,,,,,,,,,,,,,
Sitka City and Borough,Alaska,2,220,79.3,,,,,,,,,,,,,,
Southeast Fairbanks Census Area,Alaska,2,240,77.1,,,,,,,,,,,,,,
Valdez-Cordova Census Area,Alaska,2,261,78.3,,,,,,,,,,,,,,
Wade Hampton Census Area,Alaska,2,270,,,,,,,,,,,,,,,
Northwest Arctic Borough,Alaska,2,188,68.8,,,,,,,,,,,,,,
Aleutians East Borough,Alaska,2,13,90.5,,,,,,,,,,,,,,
Aleutians West Census Area,Alaska,2,16,89.1,,,,,,,,,,,,,,
Dillingham Census Area,Alaska,2,70,72.6,,,,,,,,,,,,,,
Lake and Peninsula Borough,Alaska,2,164,75.6,,,,,,,,,,,,,,
Denali Borough,Alaska,2,68,79.7,,,,,,,,,,,,,,
Yukon-Koyukuk Census Area,Alaska,2,290,76.4,,,,,,,,,,,,,,
Hoonah-Angoon Census Area,Alaska,2,105,88.0,,,,,,,,,,,,,,
Skagway Municipality,Alaska,2,230,89.9,,,,,,,,,,,,,,
Yakutat City and Borough,Alaska,2,282,85.0,,,,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,2,130,80.2,,,,,,,,,,,,,,
Petersburg Borough,Alaska,2,195,82.1,,,,,,,,,,,,,,
Prince of Wales-Hyder Census Area,Alaska,2,198,79.0,,,,,,,,,,,,,,
Wrangell City and Borough,Alaska,2,275,83.4,,,,,,,,,,,,,,
Apache County,Arizona,4,1,73.5,,,,,,,,,,,,,,
Cochise County,Arizona,4,3,79.6,,,,,,,,,,,,,,
Coconino County,Arizona,4,5,79.8,,,,,,,,,,,,,,
Gila County,Arizona,4,7,81.0,,,,,,,,,,,,,,
Graham County,Arizona,4,9,76.9,,,,,,,,,,,,,,
Greenlee County,Arizona,4,11,73.9,,,,,,,,,,,,,,
Maricopa County,Arizona,4,13,76.8,,,,,,,,,,,,,,
Mohave County,Arizona,4,15,83.2,,,,,,,,,,,,,,
Navajo County,Arizona,4,17,74.3,,,,,,,,,,,,,,
Pima County,Arizona,4,19,79.7,,,,,,,,,,,,,,
Pinal County,Arizona,4,21,78.1,,,,,,,,,,,,,,
Santa Cruz County,Arizona,4,23,72.1,,,,,,,,,,,,,,
Yavapai County,Arizona,4,25,84.0,,,,,,,,,,,,,,
La Paz County,Arizona,4,12,84.7,,,,,,,,,,,,,,
Yuma County,Arizona,4,27,76.7,,,,,,,,,,,,,,
Arkansas County,Arkansas,5,1,79.2,,,,,,,,,,,,,,
Ashley County,Arkansas,5,3,78.5,,,,,,,,,,,,,,
Baxter County,Arkansas,5,5,83.4,,,,,,,,,,,,,,
Benton County,Arkansas,5,7,74.7,,,,,,,,,,,,,,
Boone County,Arkansas,5,9,78.9,,,,,,,,,,,,,,
Bradley County,Arkansas,5,11,76.1,,,,,,,,,,,,,,
Calhoun County,Arkansas,5,13,82.5,,,,,,,,,,,,,,
Carroll County,Arkansas,5,15,79.9,,,,,,,,,,,,,,
Chicot County,Arkansas,5,17,78.5,,,,,,,,,,,,,,
Clark County,Arkansas,5,19,82.2,,,,,,,,,,,,,,
Clay County,Arkansas,5,21,80.9,,,,,,,,,,,,,,
Cleburne County,Arkansas,5,23,82.5,,,,,,,,,,,,,,
Cleveland County,Arkansas,5,25,78.7,,,,,,,,,,,,,,
Columbia County,Arkansas,5,27,79.4,,,,,,,,,,,,,,
Conway County,Arkansas,5,29,79.0,,,,,,,,,,,,,,
Craighead County,Arkansas,5,31,76.5,,,,,,,,,,,,,,
Crawford County,Arkansas,5,33,76.6,,,,,,,,,,,,,,
Crittenden County,Arkansas,5,35,73.4,,,,,,,,,,,,,,
Cross County,Arkansas,5,37,77.4,,,,,,,,,,,,,,
Dallas County,Arkansas,5,39,76.0,,,,,,,,,,,,,,
Desha County,Arkansas,5,41,76.3,,,,,,,,,,,,,,
Drew County,Arkansas,5,43,78.9,,,,,,,,,,,,,,
Faulkner County,Arkansas,5,45,77.6,,,,,,,,,,,,,,
Franklin County,Arkansas,5,47,77.8,,,,,,,,,,,,,,
Fulton County,Arkansas,5,49,80.9,,,,,,,,,,,,,,
Garland County,Arkansas,5,51,80.5,,,,,,,,,,,,,,
Grant County,Arkansas,5,53,79.9,,,,,,,,,,,,,,
Greene County,Arkansas,5,55,77.9,,,,,,,,,,,,,,
Hempstead County,Arkansas,5,57,74.9,,,,,,,,,,,,,,
Hot Spring County,Arkansas,5,59,80.8,,,,,,,,,,,,,,
Howard County,Arkansas,5,61,75.3,,,,,,,,,,,,,,
Independence County,Arkansas,5,63,77.3,,,,,,,,,,,,,,
Izard County,Arkansas,5,65,82.6,,,,,,,,,,,,,,
Jackson County,Arkansas,5,67,81.1,,,,,,,,,,,,,,
Jefferson County,Arkansas,5,69,78.1,,,,,,,,,,,,,,
Johnson County,Arkansas,5,71,78.4,,,,,,,,,,,,,,
Lafayette County,Arkansas,5,73,80.7,,,,,,,,,,,,,,
Lawrence County,Arkansas,5,75,78.3,,,,,,,,,,,,,,
Lee County,Arkansas,5,77,84.7,,,,,,,,,,,,,,
Lincoln County,Arkansas,5,79,86.7,,,,,,,,,,,,,,
Little River County,Arkansas,5,81,75.5,,,,,,,,,,,,,,
Logan County,Arkansas,5,83,79.9,,,,,,,,,,,,,,
Lonoke County,Arkansas,5,85,74.8,,,,,,,,,,,,,,
Madison County,Arkansas,5,87,79.2,,,,,,,,,,,,,,
Marion County,Arkansas,5,89,85.0,,,,,,,,,,,,,,
Miller County,Arkansas,5,91,77.4,,,,,,,,,,,,,,
Mississippi County,Arkansas,5,93,74.8,,,,,,,,,,,,,,
Monroe County,Arkansas,5,95,80.0,,,,,,,,,,,,,,
Montgomery County,Arkansas,5,97,81.1,,,,,,,,,,,,,,
Nevada County,Arkansas,5,99,74.9,,,,,,,,,,,,,,
Newton County,Arkansas,5,101,81.1,,,,,,,,,,,,,,
Ouachita County,Arkansas,5,103,78.4,,,,,,,,,,,,,,
Perry County,Arkansas,5,105,80.4,,,,,,,,,,,,,,
Phillips County,Arkansas,5,107,73.0,,,,,,,,,,,,,,
Pike County,Arkansas,5,109,78.3,,,,,,,,,,,,,,
Poinsett County,Arkansas,5,111,77.2,,,,,,,,,,,,,,
Polk County,Arkansas,5,113,77.9,,,,,,,,,,,,,,
Pope County,Arkansas,5,115,79.4,,,,,,,,,,,,,,
Prairie County,Arkansas,5,117,81.5,,,,,,,,,,,,,,
Pulaski County,Arkansas,5,119,77.7,,,,,,,,,,,,,,
Randolph County,Arkansas,5,121,78.4,,,,,,,,,,,,,,
Saint Francis County,Arkansas,5,123,81.3,,,,,,,,,,,,,,
Saline County,Arkansas,5,125,77.7,,,,,,,,,,,,,,
Scott County,Arkansas,5,127,76.6,,,,,,,,,,,,,,
Searcy County,Arkansas,5,129,78.8,,,,,,,,,,,,,,
Sebastian County,Arkansas,5,131,77.2,,,,,,,,,,,,,,
Sevier County,Arkansas,5,133,72.3,,,,,,,,,,,,,,
Sharp County,Arkansas,5,135,81.3,,,,,,,,,,,,,,
Stone County,Arkansas,5,137,80.4,,,,,,,,,,,,,,
Union County,Arkansas,5,139,77.9,,,,,,,,,,,,,,
