County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,housing_cost_burden,age_60_and_over,total_population,white_population,median_household_income,native_american_population,gini_index,age_18_and_under_percentage,black_population,median_home_value,total_population_race,per_capita_income,asian_population
Autauga County,Alabama,1,1,76.8,,,,,,,,,,,,,,
Baldwin County,Alabama,1,3,79.6,,,,,,,,,,,,,,
Barbour County,Alabama,1,5,81.0,,,,,,,,,,,,,,
Bibb County,Alabama,1,7,82.6,,,,,,,,,,,,,,
Blount County,Alabama,1,9,79.2,,,,,,,,,,,,,,
Bullock County,Alabama,1,11,82.2,,,,,,,,,,,,,,
Butler County,Alabama,1,13,76.9,,,,,,,,,,,,,,
Calhoun County,Alabama,1,15,79.2,,,,,,,,,,,,,,
Chambers County,Alabama,1,17,79.4,,,,,,,,,,,,,,
Cherokee County,Alabama,1,19,81.2,,,,,,,,,,,,,,
Chilton County,Alabama,1,21,77.8,,,,,,,,,,,,,,
Choctaw County,Alabama,1,23,79.8,,,,,,,,,,,,,,
Clarke County,Alabama,1,25,79.6,,,,,,,,,,,,,,
Clay County,Alabama,1,27,80.4,,,,,,,,,,,,,,
Cleburne County,Alabama,1,29,77.2,,,,,,,,,,,,,,
Coffee County,Alabama,1,31,78.3,,,,,,,,,,,,,,
Colbert County,Alabama,1,33,80.3,,,,,,,,,,,,,,
Conecuh County,Alabama,1,35,79.8,,,,,,,,,,,,,,
Coosa County,Alabama,1,37,85.1,,,,,,,,,,,,,,
Covington County,Alabama,1,39,78.9,,,,,,,,,,,,,,
Crenshaw County,Alabama,1,41,77.6,,,,,,,,,,,,,,
Cullman County,Alabama,1,43,79.5,,,,,,,,,,,,,,
Dale County,Alabama,1,45,78.7,,,,,,,,,,,,,,
Dallas County,Alabama,1,47,75.2,,,,,,,,,,,,,,
DeKalb County,Alabama,1,49,77.2,,,,,,,,,,,,,,
Elmore County,Alabama,1,51,78.8,,,,,,,,,,,,,,
Escambia County,Alabama,1,53,81.4,,,,,,,,,,,,,,
Etowah County,Alabama,1,55,79.7,,,,,,,,,,,,,,
Fayette County,Alabama,1,57,79.6,,,,,,,,,,,,,,
Franklin County,Alabama,1,59,77.3,,,,,,,,,,,,,,
Geneva County,Alabama,1,61,79.8,,,,,,,,,,,,,,
Greene County,Alabama,1,63,77.8,,,,,,,,,,,,,,
Hale County,Alabama,1,65,77.9,,,,,,,,,,,,,,
Henry County,Alabama,1,67,80.5,,,,,,,,,,,,,,
Houston County,Alabama,1,69,77.3,,,,,,,,,,,,,,
Jackson County,Alabama,1,71,80.3,,,,,,,,,,,,,,
Jefferson County,Alabama,1,73,77.9,,,,,,,,,,,,,,
Lamar County,Alabama,1,75,80.2,,,,,,,,,,,,,,
Lauderdale County,Alabama,1,77,80.5,,,,,,,,,,,,,,
Lawrence County,Alabama,1,79,80.0,,,,,,,,,,,,,,
Lee County,Alabama,1,81,79.9,,,,,,,,,,,,,,
Limestone County,Alabama,1,83,79.4,,,,,,,,,,,,,,
Lowndes County,Alabama,1,85,76.5,,,,,,,,,,,,,,
Macon County,Alabama,1,87,82.7,,,,,,,,,,,,,,
Madison County,Alabama,1,89,79.5,,,,,,,,,,,,,,
Marengo County,Alabama,1,91,79.3,,,,,,,,,,,,,,
Marion County,Alabama,1,93,79.6,,,,,,,,,,,,,,
Marshall County,Alabama,1,95,77.1,,,,,,,,,,,,,,
Mobile County,Alabama,1,97,77.5,,,,,,,,,,,,,,
Monroe County,Alabama,1,99,76.7,,,,,,,,,,,,,,
Montgomery County,Alabama,1,101,77.9,,,,,,,,,,,,,,
Morgan County,Alabama,1,103,78.6,,,,,,,,,,,,,,
Perry County,Alabama,1,105,77.3,,,,,,,,,,,,,,
Pickens County,Alabama,1,107,80.4,,,,,,,,,,,,,,
Pike County,Alabama,1,109,81.1,,,,,,,,,,,,,,
Randolph County,Alabama,1,111,78.4,,,,,,,,,,,,,,
Russell County,Alabama,1,113,76.4,,,,,,,,,,,,,,
Saint Clair County,Alabama,1,115,78.6,,,,,,,,,,,,,,
Shelby County,Alabama,1,117,77.5,,,,,,,,,,,,,,
Sumter County,Alabama,1,119,80.3,,,,,,,,,,,,,,
Talladega County,Alabama,1,121,79.8,,,,,,,,,,,,,,
Tallapoosa County,Alabama,1,123,82.0,,,,,,,,,,,,,,
Tuscaloosa County,Alabama,1,125,80.1,,,,,,,,,,,,,,
Walker County,Alabama,1,127,79.2,,,,,,,,,,,,,,
Washington County,Alabama,1,129,79.1,,,,,,,,,,,,,,
Wilcox County,Alabama,1,131,79.7,,,,,,,,,,,,,,
Winston County,Alabama,1,133,81.3,,,,,,,,,,,,,,
Anchorage Municipality,Alaska,2,20,77.3,,,,,,,,,,,,,,
Bethel Census Area,Alaska,2,50,67.6,,,,,,,,,,,,,,
Bristol Bay Borough,Alaska,2,60,81.7,,,,,,,,,,,,,,
Fairbanks North Star Borough,Alaska,2,90,78.8,,,,,,,,,,,,,,
Haines Borough,Alaska,2,100,81.2,,,,,,,,,,,,,,
Juneau City and Borough,Alaska,2,110,80.3,,,,,,,,,,,,,,
Kenai Peninsula Borough,Alaska,2,122,80.1,,,,,,,,,,,,,,
Kodiak Island Borough,Alaska,2,150,76.1,,,,,,,,,,,,,,
Matanuska-Susitna Borough,Alaska,2,170,75.8,,,,,,,,,,,,,,
Nome Census Area,Alaska,2,180,69.2,,,,,,,,,,,,,,
North Slope Borough,Alaska,2,185,81.0,,,,,,,,,,,,,,
Sitka City and Borough,Alaska,2,220,80.0,,,,,,,,,,,,,,
