County,State,State_FIPS,County_FIPS,median_gross_rent,age_15_to_44_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,median_household_income,native_american_population,gini_index,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income
Autauga County,Alabama,1,1,932.0,,,,,,,,,,,,,,
Baldwin County,Alabama,1,3,904.0,,,,,,,,,,,,,,
Barbour County,Alabama,1,5,569.0,,,,,,,,,,,,,,
Bibb County,Alabama,1,7,710.0,,,,,,,,,,,,,,
Blount County,Alabama,1,9,649.0,,,,,,,,,,,,,,
Bullock County,Alabama,1,11,611.0,,,,,,,,,,,,,,
Butler County,Alabama,1,13,585.0,,,,,,,,,,,,,,
Calhoun County,Alabama,1,15,645.0,,,,,,,,,,,,,,
Chambers County,Alabama,1,17,684.0,,,,,,,,,,,,,,
Cherokee County,Alabama,1,19,596.0,,,,,,,,,,,,,,
Chilton County,Alabama,1,21,678.0,,,,,,,,,,,,,,
Choctaw County,Alabama,1,23,521.0,,,,,,,,,,,,,,
Clarke County,Alabama,1,25,546.0,,,,,,,,,,,,,,
Clay County,Alabama,1,27,482.0,,,,,,,,,,,,,,
Cleburne County,Alabama,1,29,549.0,,,,,,,,,,,,,,
Coffee County,Alabama,1,31,731.0,,,,,,,,,,,,,,
Colbert County,Alabama,1,33,655.0,,,,,,,,,,,,,,
Conecuh County,Alabama,1,35,566.0,,,,,,,,,,,,,,
Coosa County,Alabama,1,37,547.0,,,,,,,,,,,,,,
Covington County,Alabama,1,39,589.0,,,,,,,,,,,,,,
Crenshaw County,Alabama,1,41,532.0,,,,,,,,,,,,,,
Cullman County,Alabama,1,43,644.0,,,,,,,,,,,,,,
Dale County,Alabama,1,45,672.0,,,,,,,,,,,,,,
Dallas County,Alabama,1,47,599.0,,,,,,,,,,,,,,
DeKalb County,Alabama,1,49,579.0,,,,,,,,,,,,,,
Elmore County,Alabama,1,51,825.0,,,,,,,,,,,,,,
Escambia County,Alabama,1,53,580.0,,,,,,,,,,,,,,
Etowah County,Alabama,1,55,634.0,,,,,,,,,,,,,,
Fayette County,Alabama,1,57,523.0,,,,,,,,,,,,,,
Franklin County,Alabama,1,59,596.0,,,,,,,,,,,,,,
Geneva County,Alabama,1,61,589.0,,,,,,,,,,,,,,
Greene County,Alabama,1,63,533.0,,,,,,,,,,,,,,
Hale County,Alabama,1,65,483.0,,,,,,,,,,,,,,
Henry County,Alabama,1,67,603.0,,,,,,,,,,,,,,
Houston County,Alabama,1,69,725.0,,,,,,,,,,,,,,
Jackson County,Alabama,1,71,607.0,,,,,,,,,,,,,,
Jefferson County,Alabama,1,73,847.0,,,,,,,,,,,,,,
Lamar County,Alabama,1,75,409.0,,,,,,,,,,,,,,
Lauderdale County,Alabama,1,77,633.0,,,,,,,,,,,,,,
Lawrence County,Alabama,1,79,531.0,,,,,,,,,,,,,,
Lee County,Alabama,1,81,818.0,,,,,,,,,,,,,,
Limestone County,Alabama,1,83,622.0,,,,,,,,,,,,,,
Lowndes County,Alabama,1,85,624.0,,,,,,,,,,,,,,
Macon County,Alabama,1,87,603.0,,,,,,,,,,,,,,
Madison County,Alabama,1,89,801.0,,,,,,,,,,,,,,
Marengo County,Alabama,1,91,552.0,,,,,,,,,,,,,,
Marion County,Alabama,1,93,517.0,,,,,,,,,,,,,,
Marshall County,Alabama,1,95,615.0,,,,,,,,,,,,,,
Mobile County,Alabama,1,97,828.0,,,,,,,,,,,,,,
Monroe County,Alabama,1,99,499.0,,,,,,,,,,,,,,
Montgomery County,Alabama,1,101,846.0,,,,,,,,,,,,,,
Morgan County,Alabama,1,103,622.0,,,,,,,,,,,,,,
Perry County,Alabama,1,105,512.0,,,,,,,,,,,,,,
Pickens County,Alabama,1,107,429.0,,,,,,,,,,,,,,
Pike County,Alabama,1,109,637.0,,,,,,,,,,,,,,
Randolph County,Alabama,1,111,588.0,,,,,,,,,,,,,,
Russell County,Alabama,1,113,759.0,,,,,,,,,,,,,,
Saint Clair County,Alabama,1,115,723.0,,,,,,,,,,,,,,
Shelby County,Alabama,1,117,975.0,,,,,,,,,,,,,,
Sumter County,Alabama,1,119,534.0,,,,,,,,,,,,,,
Talladega County,Alabama,1,121,598.0,,,,,,,,,,,,,,
Tallapoosa County,Alabama,1,123,614.0,,,,,,,,,,,,,,
Tuscaloosa County,Alabama,1,125,816.0,,,,,,,,,,,,,,
Walker County,Alabama,1,127,609.0,,,,,,,,,,,,,,
Washington County,Alabama,1,129,657.0,,,,,,,,,,,,,,
Wilcox County,Alabama,1,131,494.0,,,,,,,,,,,,,,
Winston County,Alabama,1,133,528.0,,,,,,,,,,,,,,
Anchorage Municipality,Alaska,2,20,1261.0,,,,,,,,,,,,,,
Bethel Census Area,Alaska,2,50,1253.0,,,,,,,,,,,,,,
Bristol Bay Borough,Alaska,2,60,1051.0,,,,,,,,,,,,,,
Fairbanks North Star Borough,Alaska,2,90,1272.0,,,,,,,,,,,,,,
Haines Borough,Alaska,2,100,1016.0,,,,,,,,,,,,,,
Juneau City and Borough,Alaska,2,110,1181.0,,,,,,,,,,,,,,
Kenai Peninsula Borough,Alaska,2,122,994.0,,,,,,,,,,,,,,
Kodiak Island Borough,Alaska,2,150,1294.0,,,,,,,,,,,,,,
Matanuska-Susitna Borough,Alaska,2,170,1098.0,,,,,,,,,,,,,,
Nome Census Area,Alaska,2,180,1343.0,,,,,,,,,,,,,,
North Slope Borough,Alaska,2,185,1029.0,,,,,,,,,,,,,,
Sitka City and Borough,Alaska,2,220,1104.0,,,,,,,,,,,,,,
Southeast Fairbanks Census Area,Alaska,2,240,1088.0,,,,,,,,,,,,,,
Valdez-Cordova Census Area,Alaska,2,261,974.0,,,,,,,,,,,,,,
Wade Hampton Census Area,Alaska,2,270,,,,,,,,,,,,,,,
Northwest Arctic Borough,Alaska,2,188,1229.0,,,,,,,,,,,,,,
Aleutians East Borough,Alaska,2,13,989.0,,,,,,,,,,,,,,
Aleutians West Census Area,Alaska,2,16,1277.0,,,,,,,,,,,,,,
Dillingham Census Area,Alaska,2,70,1039.0,,,,,,,,,,,,,,
Lake and Peninsula Borough,Alaska,2,164,746.0,,,,,,,,,,,,,,
Denali Borough,Alaska,2,68,871.0,,,,,,,,,,,,,,
Yukon-Koyukuk Census Area,Alaska,2,290,653.0,,,,,,,,,,,,,,
Hoonah-Angoon Census Area,Alaska,2,105,850.0,,,,,,,,,,,,,,
Skagway Municipality,Alaska,2,230,1069.0,,,,,,,,,,,,,,
Yakutat City and Borough,Alaska,2,282,1030.0,,,,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,2,130,1139.0,,,,,,,,,,,,,,
Petersburg Borough,Alaska,2,195,885.0,,,,,,,,,,,,,,
Prince of Wales-Hyder Census Area,Alaska,2,198,840.0,,,,,,,,,,,,,,
Wrangell City and Borough,Alaska,2,275,793.0,,,,,,,,,,,,,,
Apache County,Arizona,4,1,487.0,,,,,,,,,,,,,,
Cochise County,Arizona,4,3,805.0,,,,,,,,,,,,,,
Coconino County,Arizona,4,5,1079.0,,,,,,,,,,,,,,
Gila County,Arizona,4,7,767.0,,,,,,,,,,,,,,
Graham County,Arizona,4,9,793.0,,,,,,,,,,,,,,
Greenlee County,Arizona,4,11,429.0,,,,,,,,,,,,,,
Maricopa County,Arizona,4,13,1033.0,,,,,,,,,,,,,,
Mohave County,Arizona,4,15,786.0,,,,,,,,,,,,,,
Navajo County,Arizona,4,17,690.0,,,,,,,,,,,,,,
Pima County,Arizona,4,19,861.0,,,,,,,,,,,,,,
Pinal County,Arizona,4,21,1014.0,,,,,,,,,,,,,,
Santa Cruz County,Arizona,4,23,627.0,,,,,,,,,,,,,,
Yavapai County,Arizona,4,25,919.0,,,,,,,,,,,,,,
La Paz County,Arizona,4,12,570.0,,,,,,,,,,,,,,
Yuma County,Arizona,4,27,830.0,,,,,,,,,,,,,,
Arkansas County,Arkansas,5,1,660.0,,,,,,,,,,,,,,
Ashley County,Arkansas,5,3,608.0,,,,,,,,,,,,,,
Baxter County,Arkansas,5,5,667.0,,,,,,,,,,,,,,
Benton County,Arkansas,5,7,845.0,,,,,,,,,,,,,,
Boone County,Arkansas,5,9,631.0,,,,,,,,,,,,,,
Bradley County,Arkansas,5,11,567.0,,,,,,,,,,,,,,
Calhoun County,Arkansas,5,13,611.0,,,,,,,,,,,,,,
Carroll County,Arkansas,5,15,592.0,,,,,,,,,,,,,,
Chicot County,Arkansas,5,17,564.0,,,,,,,,,,,,,,
Clark County,Arkansas,5,19,594.0,,,,,,,,,,,,,,
Clay County,Arkansas,5,21,557.0,,,,,,,,,,,,,,
Cleburne County,Arkansas,5,23,676.0,,,,,,,,,,,,,,
Cleveland County,Arkansas,5,25,621.0,,,,,,,,,,,,,,
Columbia County,Arkansas,5,27,664.0,,,,,,,,,,,,,,
Conway County,Arkansas,5,29,627.0,,,,,,,,,,,,,,
Craighead County,Arkansas,5,31,731.0,,,,,,,,,,,,,,
Crawford County,Arkansas,5,33,667.0,,,,,,,,,,,,,,
Crittenden County,Arkansas,5,35,713.0,,,,,,,,,,,,,,
Cross County,Arkansas,5,37,663.0,,,,,,,,,,,,,,
Dallas County,Arkansas,5,39,655.0,,,,,,,,,,,,,,
Desha County,Arkansas,5,41,533.0,,,,,,,,,,,,,,
Drew County,Arkansas,5,43,647.0,,,,,,,,,,,,,,
Faulkner County,Arkansas,5,45,777.0,,,,,,,,,,,,,,
Franklin County,Arkansas,5,47,598.0,,,,,,,,,,,,,,
Fulton County,Arkansas,5,49,504.0,,,,,,,,,,,,,,
Garland County,Arkansas,5,51,721.0,,,,,,,,,,,,,,
Grant County,Arkansas,5,53,727.0,,,,,,,,,,,,,,
Greene County,Arkansas,5,55,717.0,,,,,,,,,,,,,,
Hempstead County,Arkansas,5,57,624.0,,,,,,,,,,,,,,
Hot Spring County,Arkansas,5,59,655.0,,,,,,,,,,,,,,
Howard County,Arkansas,5,61,555.0,,,,,,,,,,,,,,
Independence County,Arkansas,5,63,618.0,,,,,,,,,,,,,,
Izard County,Arkansas,5,65,576.0,,,,,,,,,,,,,,
Jackson County,Arkansas,5,67,576.0,,,,,,,,,,,,,,
Jefferson County,Arkansas,5,69,702.0,,,,,,,,,,,,,,
Johnson County,Arkansas,5,71,605.0,,,,,,,,,,,,,,
Lafayette County,Arkansas,5,73,406.0,,,,,,,,,,,,,,
Lawrence County,Arkansas,5,75,529.0,,,,,,,,,,,,,,
Lee County,Arkansas,5,77,542.0,,,,,,,,,,,,,,
Lincoln County,Arkansas,5,79,539.0,,,,,,,,,,,,,,
Little River County,Arkansas,5,81,543.0,,,,,,,,,,,,,,
Logan County,Arkansas,5,83,562.0,,,,,,,,,,,,,,
Lonoke County,Arkansas,5,85,764.0,,,,,,,,,,,,,,
Madison County,Arkansas,5,87,644.0,,,,,,,,,,,,,,
Marion County,Arkansas,5,89,586.0,,,,,,,,,,,,,,
Miller County,Arkansas,5,91,710.0,,,,,,,,,,,,,,
Mississippi County,Arkansas,5,93,619.0,,,,,,,,,,,,,,
Monroe County,Arkansas,5,95,492.0,,,,,,,,,,,,,,
Montgomery County,Arkansas,5,97,551.0,,,,,,,,,,,,,,
Nevada County,Arkansas,5,99,661.0,,,,,,,,,,,,,,
Newton County,Arkansas,5,101,474.0,,,,,,,,,,,,,,
Ouachita County,Arkansas,5,103,542.0,,,,,,,,,,,,,,
Perry County,Arkansas,5,105,663.0,,,,,,,,,,,,,,
Phillips County,Arkansas,5,107,571.0,,,,,,,,,,,,,,
Pike County,Arkansas,5,109,512.0,,,,,,,,,,,,,,
Poinsett County,Arkansas,5,111,564.0,,,,,,,,,,,,,,
Polk County,Arkansas,5,113,539.0,,,,,,,,,,,,,,
Pope County,Arkansas,5,115,660.0,,,,,,,,,,,,,,
Prairie County,Arkansas,5,117,539.0,,,,,,,,,,,,,,
Pulaski County,Arkansas,5,119,825.0,,,,,,,,,,,,,,
Randolph County,Arkansas,5,121,578.0,,,,,,,,,,,,,,
Saint Francis County,Arkansas,5,123,593.0,,,,,,,,,,,,,,
Saline County,Arkansas,5,125,812.0,,,,,,,,,,,,,,
Scott County,Arkansas,5,127,492.0,,,,,,,,,,,,,,
Searcy County,Arkansas,5,129,500.0,,,,,,,,,,,,,,
Sebastian County,Arkansas,5,131,655.0,,,,,,,,,,,,,,
Sevier County,Arkansas,5,133,547.0,,,,,,,,,,,,,,
Sharp County,Arkansas,5,135,578.0,,,,,,,,,,,,,,
Stone County,Arkansas,5,137,585.0,,,,,,,,,,,,,,
Union County,Arkansas,5,139,650.0,,,,,,,,,,,,,,
Van Buren County,Arkansas,5,141,616.0,,,,,,,,,,,,,,
Washington County,Arkansas,5,143,743.0,,,,,,,,,,,,,,
White County,Arkansas,5,145,686.0,,,,,,,,,,,,,,
Woodruff County,Arkansas,5,147,484.0,,,,,,,,,,,,,,
Yell County,Arkansas,5,149,595.0,,,,,,,,,,,,,,
Alameda County,California,6,1,1547.0,,,,,,,,,,,,,,
Alpine County,California,6,3,1083.0,,,,,,,,,,,,,,
Amador County,California,6,5,1056.0,,,,,,,,,,,,,,
Butte County,California,6,7,970.0,,,,,,,,,,,,,,
Calaveras County,California,6,9,1195.0,,,,,,,,,,,,,,
Colusa County,California,6,11,896.0,,,,,,,,,,,,,,
Contra Costa County,California,6,13,1600.0,,,,,,,,,,,,,,
Del Norte County,California,6,15,826.0,,,,,,,,,,,,,,
El Dorado County,California,6,17,1122.0,,,,,,,,,,,,,,
Fresno County,California,6,19,931.0,,,,,,,,,,,,,,
Glenn County,California,6,21,775.0,,,,,,,,,,,,,,
Humboldt County,California,6,23,914.0,,,,,,,,,,,,,,
Imperial County,California,6,25,805.0,,,,,,,,,,,,,,
Inyo County,California,6,27,875.0,,,,,,,,,,,,,,
Kern County,California,6,29,933.0,,,,,,,,,,,,,,
Kings County,California,6,31,918.0,,,,,,,,,,,,,,
Lake County,California,6,33,914.0,,,,,,,,,,,,,,
