County,State,State_FIPS,County_FIPS,asian_population,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,total_population_race,native_american_population,gini_index,median_household_income,housing_cost_burden,white_population,total_population,age_60_and_over,median_gross_rent,age_15_to_44_percentage
Autauga County,Alabama,1,1,42437.0,,,,,,,,,,,,,,
Baldwin County,Alabama,1,3,179526.0,,,,,,,,,,,,,,
Barbour County,Alabama,1,5,12216.0,,,,,,,,,,,,,,
Bibb County,Alabama,1,7,17268.0,,,,,,,,,,,,,,
Blount County,Alabama,1,9,55054.0,,,,,,,,,,,,,,
Bullock County,Alabama,1,11,2276.0,,,,,,,,,,,,,,
Butler County,Alabama,1,13,10414.0,,,,,,,,,,,,,,
Calhoun County,Alabama,1,15,85558.0,,,,,,,,,,,,,,
Chambers County,Alabama,1,17,19483.0,,,,,,,,,,,,,,
Cherokee County,Alabama,1,19,23997.0,,,,,,,,,,,,,,
Chilton County,Alabama,1,21,36599.0,,,,,,,,,,,,,,
Choctaw County,Alabama,1,23,7420.0,,,,,,,,,,,,,,
Clarke County,Alabama,1,25,12935.0,,,,,,,,,,,,,,
Clay County,Alabama,1,27,11106.0,,,,,,,,,,,,,,
Cleburne County,Alabama,1,29,14068.0,,,,,,,,,,,,,,
Coffee County,Alabama,1,31,38923.0,,,,,,,,,,,,,,
Colbert County,Alabama,1,33,43288.0,,,,,,,,,,,,,,
Conecuh County,Alabama,1,35,6369.0,,,,,,,,,,,,,,
Coosa County,Alabama,1,37,7133.0,,,,,,,,,,,,,,
Covington County,Alabama,1,39,31624.0,,,,,,,,,,,,,,
Crenshaw County,Alabama,1,41,9938.0,,,,,,,,,,,,,,
Cullman County,Alabama,1,43,78392.0,,,,,,,,,,,,,,
Dale County,Alabama,1,45,35889.0,,,,,,,,,,,,,,
Dallas County,Alabama,1,47,11257.0,,,,,,,,,,,,,,
DeKalb County,Alabama,1,49,60972.0,,,,,,,,,,,,,,
Elmore County,Alabama,1,51,60824.0,,,,,,,,,,,,,,
Escambia County,Alabama,1,53,23095.0,,,,,,,,,,,,,,
Etowah County,Alabama,1,55,82710.0,,,,,,,,,,,,,,
Fayette County,Alabama,1,57,14095.0,,,,,,,,,,,,,,
Franklin County,Alabama,1,59,26467.0,,,,,,,,,,,,,,
Geneva County,Alabama,1,61,22871.0,,,,,,,,,,,,,,
Greene County,Alabama,1,63,1445.0,,,,,,,,,,,,,,
Hale County,Alabama,1,65,5898.0,,,,,,,,,,,,,,
Henry County,Alabama,1,67,12179.0,,,,,,,,,,,,,,
Houston County,Alabama,1,69,72387.0,,,,,,,,,,,,,,
