County,State,State_FIPS,County_FIPS,per_capita_income,asian_population,black_population,age_18_and_under_percentage,median_home_value,total_population_race,native_american_population,gini_index,median_household_income,housing_cost_burden,age_60_and_over,total_population,white_population,age_15_to_44_percentage,median_gross_rent
Autauga County,Alabama,1,1,29819.0,,,,,,,,,,,,,,
Baldwin County,Alabama,1,3,32626.0,,,,,,,,,,,,,,
Barbour County,Alabama,1,5,18473.0,,,,,,,,,,,,,,
Bibb County,Alabama,1,7,20778.0,,,,,,,,,,,,,,
Blount County,Alabama,1,9,24747.0,,,,,,,,,,,,,,
Bullock County,Alabama,1,11,20877.0,,,,,,,,,,,,,,
Butler County,Alabama,1,13,21038.0,,,,,,,,,,,,,,
Calhoun County,Alabama,1,15,25345.0,,,,,,,,,,,,,,
Chambers County,Alabama,1,17,22729.0,,,,,,,,,,,,,,
Cherokee County,Alabama,1,19,24301.0,,,,,,,,,,,,,,
Chilton County,Alabama,1,21,24658.0,,,,,,,,,,,,,,
Choctaw County,Alabama,1,23,22308.0,,,,,,,,,,,,,,
Clarke County,Alabama,1,25,22225.0,,,,,,,,,,,,,,
Clay County,Alabama,1,27,23519.0,,,,,,,,,,,,,,
Cleburne County,Alabama,1,29,23142.0,,,,,,,,,,,,,,
Coffee County,Alabama,1,31,27806.0,,,,,,,,,,,,,,
Colbert County,Alabama,1,33,25536.0,,,,,,,,,,,,,,
Conecuh County,Alabama,1,35,19769.0,,,,,,,,,,,,,,
Coosa County,Alabama,1,37,23694.0,,,,,,,,,,,,,,
Covington County,Alabama,1,39,23687.0,,,,,,,,,,,,,,
Crenshaw County,Alabama,1,41,24563.0,,,,,,,,,,,,,,
Cullman County,Alabama,1,43,23468.0,,,,,,,,,,,,,,
Dale County,Alabama,1,45,24645.0,,,,,,,,,,,,,,
Dallas County,Alabama,1,47,19612.0,,,,,,,,,,,,,,
DeKalb County,Alabama,1,49,21907.0,,,,,,,,,,,,,,
Elmore County,Alabama,1,51,29052.0,,,,,,,,,,,,,,
Escambia County,Alabama,1,53,19028.0,,,,,,,,,,,,,,
Etowah County,Alabama,1,55,24883.0,,,,,,,,,,,,,,
Fayette County,Alabama,1,57,22483.0,,,,,,,,,,,,,,
Franklin County,Alabama,1,59,21641.0,,,,,,,,,,,,,,
Geneva County,Alabama,1,61,21711.0,,,,,,,,,,,,,,
Greene County,Alabama,1,63,14884.0,,,,,,,,,,,,,,
Hale County,Alabama,1,65,21191.0,,,,,,,,,,,,,,
Henry County,Alabama,1,67,25276.0,,,,,,,,,,,,,,
Houston County,Alabama,1,69,27097.0,,,,,,,,,,,,,,
Jackson County,Alabama,1,71,22596.0,,,,,,,,,,,,,,
Jefferson County,Alabama,1,73,32098.0,,,,,,,,,,,,,,
Lamar County,Alabama,1,75,22636.0,,,,,,,,,,,,,,
Lauderdale County,Alabama,1,77,28033.0,,,,,,,,,,,,,,
Lawrence County,Alabama,1,79,23450.0,,,,,,,,,,,,,,
Lee County,Alabama,1,81,27860.0,,,,,,,,,,,,,,
Limestone County,Alabama,1,83,28411.0,,,,,,,,,,,,,,
